system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
Index-TTS-1.5,-11.09735,2.74406,0.5347772883016054,0.5999999999999996,0.4766275085658345,0.3758443465491923,0.569273127753304,0.5225770925110133,0.5395449620801733,0.0606717226435536
FireRedTTS-2.0,-9.67617,2.74047,0.5648861967692181,0.6249999999999997,0.39764592511013214,0.3053414096916299,0.5206038913362702,0.5049559471365639,0.31926406926406925,0.027056277056277
Higgs-Audio-V2,-11.109,2.80124,0.5002713401014883,0.4347826086956909,0.5389612462491221,0.6046734342080062,0.6088393028155527,0.6251436506416395,0.8431793770139636,0.7647690655209453
ZipVoice,-10.86822,2.80332,0.4166666666667682,0.3469162995605787,0.6513705335291239,0.6422540381791483,0.6463534018600098,0.6598751835535976,0.572463768115942,0.6532608695652173
Spark-TTS-0.5B,-10.85044,2.8038,0.5110132158585614,0.625,0.4243070851688693,0.3876651982378855,0.5496971365638766,0.5272577092511013,0.4166666666666667,0.9155844155844156
VoxCPM-1.5,-11.05028,2.80275,0.4761904761904335,0.4779735682815185,0.552915880008391,0.5553807426054123,0.6140130060834906,0.6141441157960982,0.74765003615329,0.8633405639913232
griffin_lim,-10.82422,2.8566,0.4394028389621065,0.4,0.6102300538423887,0.6585168869309839,0.6361845325501713,0.6355726872246696,0.6496930299747201,0.8634886240520043
OuteTTS,-10.98285,2.79802,0.4085903083689158,0.3931718061669267,0.6639133627019089,0.6662995594713657,0.6542684554799093,0.6472266720064077,0.8301075268817204,0.5709677419354838
f5-tts,-10.75229,2.70689,0.3790273818780443,0.3898678414094841,0.6472099853157122,0.6410987302409951,0.6627256629524055,0.6362723503498315,0.7722522522522522,0.9091891891891892
WhisperSpeech,-11.26201,2.76802,0.3674743024969315,0.3809523809525412,0.6962624991259352,0.6815082861338368,0.6753810922313125,0.6428309209146214,0.6533907427341227,0.8019375672766416
FishTTS,-11.17461,2.7008,0.3204845814971521,0.2666666666666666,0.7497552618697992,0.8086637298091043,0.7287077826725404,0.7683553597650514,0.7887323943661971,0.866738894907909
Nari Dia2,-11.16706,2.70401,0.35682819383244535,0.2819383259912535,0.6907622480309706,0.7294753704445334,0.6940495260979844,0.722667200640769,0.6024664490388103,0.7181719260065288
