system,eer,auc,acc,bal_acc,n_spoof
Spark-TTS-0.5B,0.5969162995583734,0.2882709251101322,0.02922077922077922,0.5060572687224669,16
FireRedTTS-2.0,0.560572687223228,0.4185022026431718,0.8376623376623377,0.5183094713656388,16
Index-TTS-1.5,0.5484581497803456,0.4529368575624082,0.11267605633802817,0.5490088105726872,15
VoxCPM-1.5,0.5,0.49606670862177465,0.8731019522776573,0.5839364380113279,14
Higgs-Audio-V2,0.4988986784147733,0.5099118942731278,0.7465091299677766,0.5945939475196322,23
VoxCPM-0.5B,0.47826086956521735,0.6021356062057076,0.8582169709989259,0.6518626699865926,23
griffin_lim,0.4666666666666667,0.587885462555066,0.9068255687973997,0.6248164464023495,15
Openaudio-S1-Mini,0.41740088105764456,0.5938325991189428,0.77491961414791,0.6315198237885462,25
Chatterbox,0.4174008810566494,0.6491504090623034,0.8503253796095445,0.6426998112020138,14
ZipVoice,0.41666666666696023,0.641795154185022,0.4771739130434783,0.611784140969163,12
Voxtream,0.3888888888888889,0.6754160548213411,0.7483801295896328,0.6538790993636809,18
OuteTTS,0.38656387665072706,0.6663496195434522,0.8161290322580645,0.6618942731277533,22
sesame_csm,0.3846153846153846,0.6849373093866487,0.7220412595005429,0.6694764486614707,13
Microsoft VibeVoice 1.5B,0.3846153846151861,0.6055574381565572,0.6590662323561346,0.6375381226702812,13
Nari Dia2,0.3645374449343477,0.6460752903484182,0.5538628944504896,0.6395174209050861,11
f5-tts,0.3579295154188018,0.6298911635138637,0.7113513513513513,0.6509458408914226,17
Index-TTS-2.0,0.3529411764706197,0.6304742161181653,0.6508108108108108,0.6489699403990672,17
Mars5,0.30176211453733287,0.7878579295154184,0.8528138528138528,0.7409140969162995,16
WhisperSpeech,0.28854625550736346,0.7259807006503042,0.7061356297093649,0.7333752884413678,21
Qwen2.5-Omni,0.2857142857142447,0.8097860289490245,0.8731019522776573,0.794918187539333,14
Llasa-8B,0.2777777777777778,0.7769823788546256,0.7580993520518359,0.7405163974547234,18
e2-tts,0.27312775330486805,0.7453882158590308,0.7272727272727273,0.7384361233480177,16
SoulX-Podcast,0.2731277533040243,0.7226505139500734,0.9097826086956522,0.7898311306901615,12
Kani-TTS-370M,0.27272727272728975,0.7850420504605526,0.9662676822633297,0.8033139767721266,11
MeloTTS,0.26982378854525857,0.8400542189088445,0.8675352877307275,0.7811758725855642,13
MiniCPM-o-2.6,0.2654185022032345,0.8296255506607929,0.7058189655172413,0.7518722466960353,20
Metavoice-1B,0.2654185022023926,0.8292951541850221,0.6399132321041214,0.8171806167400881,14
Step-Audio-EditX,0.2599118942720273,0.868742490989187,0.6398258977149075,0.8177312775330396,11
NeuTTS-Air,0.25000000000000244,0.8128441629955947,0.9231601731601732,0.8074063876651982,16
minimax_speech-2.6-hd,0.25000000000000194,0.8434287812041116,0.9347826086956522,0.8436123348017621,12
microsoft_speecht5_tts,0.25,0.8098384728340676,0.8728260869565218,0.8122246696035242,12
vixTTS,0.25,0.7958425110132159,0.7283549783549783,0.7696861233480177,16
RVC,0.2477973568284958,0.778791692888609,0.7527114967462039,0.7689584644430459,14
"Resemble.ai (April 12th, 2025)",0.222222222222222,0.8924375917767988,0.8682505399568035,0.823910915320607,18
Edge-TTS,0.2202643171805156,0.9001468428781204,0.742639040348964,0.8700440528634361,9
Nari Dia-1.6B,0.21585903083790747,0.8489187024429314,0.7845484221980413,0.8011613936724069,11
MegaTTS3,0.21428571428573637,0.8568281938325991,0.7885032537960954,0.7871302706104468,14
suno_bark,0.21428571428571427,0.8469949653870358,0.7809110629067245,0.8184392699811202,14
parler_tts_large_v1,0.21428571428571425,0.9318753933291378,0.9425162689804772,0.8653241032095658,14
FishTTS,0.20154185022036328,0.7899412628487519,0.7984832069339112,0.7992290748898678,15
Cartesia.ai (Sonic-3),0.1818181818181817,0.9235082098518221,0.9727965179542981,0.8964257108530236,11
Microsoft VibeVoice Large,0.17647058823530015,0.91066338429645,0.8108108108108109,0.8459121534076186,17
suno_bark-small,0.176211453746131,0.9046570169918187,0.9685466377440347,0.8433763373190686,14
kokoro,0.16629955947311123,0.949455135636448,0.749730312837109,0.8722466960352423,19
parler_tts_mini_v1,0.15308370043929814,0.9528267254038179,0.8479212253829321,0.9234581497797356,6
Kyutai-TTS,0.14427312775274914,0.951078135868305,0.8478964401294499,0.8965916995130999,19
parler_tts_mini_v0.1,0.14317180616878655,0.9114407877688521,0.9221621621621622,0.8737691111686965,17
