system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
Mars5,-11.32011,2.84054,0.4374999999999708,0.3333333333334838,-0.104166666666487,0.5824614537444934,0.7216180249632892,0.13915657121879577,0.08828928046989715,0.33441558441558444,True,True
Marvis-TTS,-11.07228,2.7861,0.2000000000003107,0.11659324522747803,-0.08340675477283267,0.9240088105726872,0.9458883994126285,0.021879588839941233,0.06659324522760646,-0.06535231836436639,True,True
MegaTTS3,-10.87811,2.81748,0.3571428571428213,0.28408852527752465,-0.07305433186529664,0.7709251101321586,0.8399150409062303,0.06898993077407167,0.06830816026851272,0.15762834417932042,True,True
Spark-TTS-0.5B,-10.85044,2.8038,0.625,0.5593795888402505,-0.06562041115974948,0.3876651982378855,0.3751835535976505,-0.01248164464023499,-0.0030745227606460146,-0.38816738816738816,True,False
OpenVoiceV2,-11.36205,2.6472,0.2621145374449449,0.19955947136558216,-0.06255506607936273,0.7904552129221734,0.889990210474792,0.09953499755261863,0.07509789525208033,0.06175514626218859,True,True
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.3846153846153616,0.3361854738508428,-0.0484299107645188,0.646645205015249,0.7129504122896194,0.06630520727437039,0.06660171693211359,0.10640608034744836,True,True
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.2777777777775597,0.23890520476427435,-0.03887257301328534,0.8188325991189427,0.8586841246532876,0.0398515255343449,0.03322320117474287,-0.09503239740820724,True,True
FireRedTTS-2.0,-9.67617,2.74047,0.6249999999999997,0.5870961820853458,-0.037903817914653914,0.3053414096916299,0.39445668135095446,0.08911527165932459,0.01684104258443464,0.25432900432900435,True,True
RVC,-11.10697,2.72935,0.2857142857142856,0.2485315712183576,-0.037182714495928,0.7556639395846445,0.8167348437172226,0.0610709041325781,0.05089679043423534,-0.015184381778741818,True,True
Microsoft VibeVoice Large,-11.20791,2.80826,0.2352941176470588,0.19819469638078288,-0.03709942126627591,0.8701736201088366,0.8597650513950074,-0.010408568713829225,0.0003994990066512605,0.0385585585585585,True,False
Index-TTS-2.0,-11.02141,2.74238,0.428414096917327,0.3922432409083771,-0.036170856008949925,0.6142135268204197,0.6417681610088969,0.027554634188477145,0.015677636693443908,0.01189189189189177,True,True
Supertonic,-11.13805,2.78536,0.125,0.0945301027901649,-0.030469897209835103,0.969920154185022,0.9482837738619677,-0.02163638032305426,0.0009636563876649351,-0.05844155844155852,True,False
minimax_speech-2.6-hd,-11.40033,2.69219,0.2500000000001466,0.22222222222223528,-0.027777777777911322,0.8198421439060205,0.8434593734703867,0.023617229564366182,-0.006852667645619204,-0.12173913043478268,True,True
