system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
Index-TTS-1.5,-11.09735,2.74406,0.5791483113074163,0.5999999999999996,0.4077581987273617,0.3758443465491923,0.5361845325501714,0.5225770925110133,0.6464427591188154,0.0606717226435536
FireRedTTS-2.0,-9.67617,2.74047,0.5870961820853458,0.6249999999999997,0.39445668135095446,0.3053414096916299,0.5217969897209985,0.5049559471365639,0.28138528138528135,0.027056277056277
Spark-TTS-0.5B,-10.85044,2.8038,0.5593795888402505,0.625,0.3751835535976505,0.3876651982378855,0.5241831864904553,0.5272577092511013,0.5274170274170275,0.9155844155844156
f5-tts,-10.75229,2.70689,0.44961993607964884,0.3898678414094841,0.5760559730500129,0.6410987302409951,0.6102185367539086,0.6362723503498315,0.7636036036036037,0.9091891891891892
Higgs-Audio-V2,-11.109,2.80124,0.5145885207182067,0.4347826086956909,0.5205739641192619,0.6046734342080062,0.5875550660792952,0.6251436506416395,0.8292158968850698,0.7647690655209453
ZipVoice,-10.86822,2.80332,0.44444444444444436,0.3469162995605787,0.6097038668624571,0.6422540381791483,0.6327704356338718,0.6598751835535976,0.4644927536231884,0.6532608695652173
VoxCPM-1.5,-11.05028,2.80275,0.5066079295162965,0.4779735682815185,0.5135567442836165,0.5553807426054123,0.5859030837004405,0.6141441157960982,0.8308026030368764,0.8633405639913232
griffin_lim,-10.82422,2.8566,0.42657856093987706,0.4,0.6084924131179638,0.6585168869309839,0.6376040137053353,0.6355726872246696,0.501986276634164,0.8634886240520043
VoxCPM-0.5B,-10.66426,2.74095,0.4057971014492598,0.4140969162984599,0.6465715380195365,0.6096533231181767,0.6407856093979442,0.6245929898486879,0.6161833154314357,0.7636949516648764
Chatterbox,-11.13056,2.82544,0.38782252989325056,0.285714285714382,0.6754772393538913,0.7168030207677785,0.656912104048668,0.7244336060415355,0.6243673174258858,0.7342733188720173
OuteTTS,-10.98285,2.79802,0.38119076224806064,0.3931718061669267,0.6509144306501135,0.6662995594713657,0.6402516352956881,0.6472266720064077,0.7161290322580646,0.5709677419354838
SoulX-Podcast,-10.93597,2.76337,0.3482623592754825,0.3333333333333337,0.6821463534018601,0.6994309838472834,0.7171439060205581,0.7523861967694567,0.7663043478260869,0.8358695652173913
Openaudio-S1-Mini,-10.82325,2.85961,0.42666666666664427,0.3999999999999531,0.6211747430249632,0.6790748898678415,0.6251248164464024,0.6518722466960352,0.5984280100035727,0.7009646302250804
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.3361854738508428,0.3846153846153616,0.7129504122896194,0.646645205015249,0.721295041228962,0.6546933242968485,0.8740499457111834,0.7676438653637351
WhisperSpeech,-11.26201,2.76802,0.36413537514849453,0.3809523809525412,0.708324592685826,0.6815082861338368,0.6726714915040906,0.6428309209146214,0.6329386437029063,0.8019375672766416
e2-tts,-10.92617,2.76124,0.3827092511010693,0.3711453744483705,0.6666666666666666,0.7031938325991189,0.6560205580029369,0.6925936123348018,0.48484848484848486,0.5768398268398268
Voxtream,-10.93791,2.77738,0.3422254853970594,0.3270925110123337,0.7149004731603851,0.7098017621145374,0.7063142437591777,0.6975648556045031,0.5842332613390929,0.673866090712743
Nari Dia2,-11.16706,2.70401,0.3946068615672423,0.2819383259912535,0.6668669069550127,0.7294753704445334,0.6777466292884795,0.722667200640769,0.7772941603191875,0.7181719260065288
Index-TTS-2.0,-11.02141,2.74238,0.3922432409083771,0.428414096917327,0.6417681610088969,0.6142135268204197,0.6612464369007515,0.6455688002073076,0.5427027027027026,0.5308108108108108
FishTTS,-11.17461,2.7008,0.31576113558539737,0.2666666666666666,0.750758688203622,0.8086637298091043,0.7236172295643661,0.7683553597650514,0.9292163235825207,0.866738894907909
microsoft_speecht5_tts,-11.04778,2.79557,0.3126529613318529,0.2500000000002551,0.7447075379344102,0.7678964757709251,0.7266886930983848,0.7615638766519823,0.6228260869565218,0.7728260869565218
Mars5,-11.32011,2.84054,0.3333333333334838,0.4374999999999708,0.7216180249632892,0.5824614537444934,0.7055800293685756,0.6172907488986784,0.5822510822510822,0.2478354978354978
vixTTS,-11.27667,2.78681,0.2844162995596221,0.2257709251091819,0.7754680616740087,0.8531112334801761,0.7714757709251101,0.8235132158590308,0.6313131313131314,0.7738095238095238
sesame_csm,-10.80728,2.79118,0.30769230769219563,0.2830396475764219,0.7689483790805377,0.800152490681125,0.750098836552581,0.7699932226363944,0.7564241766196164,0.6959826275787188
MeloTTS,-11.02763,2.75371,0.24339207048498723,0.2307692307692276,0.8381057268722466,0.912741443578448,0.7982604766745736,0.8639867841409692,0.7517191458559537,0.7318132464712269
Metavoice-1B,-11.26542,2.78059,0.29032934759812895,0.2857142857140903,0.7979074889867842,0.776431718061674,0.775907279211244,0.7857929515418502,0.5817064352856111,0.5780911062906724
suno_bark,-10.55239,2.80122,0.2619047619049437,0.2511013215846743,0.8190423746591148,0.8059314033983637,0.7969372771134885,0.7673064820641913,0.8770788141720898,0.7494577006507592
suno_bark-small,-10.97017,2.74983,0.23458149779740398,0.2147577092521519,0.8786186280679673,0.8414096916299559,0.8281413887140759,0.8381843926998112,0.776934201012292,0.7505422993492408
