system,eer,auc,acc,bal_acc,n_spoof
Index-TTS-1.5,0.6666666666666653,0.389647577092511,0.8743228602383532,0.5427312775330396,15
FireRedTTS-2.0,0.625,0.348568281938326,0.03896103896103896,0.5110132158590308,16
Spark-TTS-0.5B,0.5341409691629329,0.42435297356828194,0.6439393939393939,0.5425385462555066,16
f5-tts,0.5253303964742551,0.5531225706141487,0.8951351351351351,0.5713915522155999,17
Higgs-Audio-V2,0.5217391304347826,0.5244206090787205,0.748657357679914,0.5745067994637043,23
ZipVoice,0.5,0.5533223201174743,0.2717391304347826,0.5899412628487518,12
VoxCPM-1.5,0.5,0.5491661422278162,0.8611713665943601,0.6130427942101951,14
griffin_lim,0.43942731277479347,0.6073421439060205,0.4420368364030336,0.6508443465491924,15
VoxCPM-0.5B,0.43478260869560514,0.6411606971844475,0.43609022556390975,0.6261492051331162,23
Chatterbox,0.4285714285714274,0.705081812460667,0.4088937093275488,0.6647262429200755,14
OuteTTS,0.41629955947143527,0.6410692831397677,0.8924731182795699,0.6344613536243493,22
SoulX-Podcast,0.4162995594712614,0.6257342143906021,0.75,0.6677679882525698,12
Openaudio-S1-Mini,0.39999999999995317,0.6562995594713656,0.5755627009646302,0.6457929515418501,25
Microsoft VibeVoice 1.5B,0.3846153846153845,0.7173839376482549,0.9001085776330076,0.6839630633683498,13
WhisperSpeech,0.38095238095233236,0.6871197818334382,0.7072120559741658,0.6641493601846025,21
e2-tts,0.3750000000000016,0.6432406387665198,0.5032467532467533,0.655148678414097,16
Voxtream,0.367841409691368,0.7025208027410671,0.5550755939524838,0.7186735193343123,18
Nari Dia2,0.3656387665199022,0.6571886263516219,0.9096844396082698,0.6848718462154585,11
Index-TTS-2.0,0.35294117647059065,0.6701217932106763,0.5416216216216216,0.6799365120497538,17
FishTTS,0.34691629956051817,0.6972099853157122,0.9458288190682557,0.6774229074889868,15
microsoft_speecht5_tts,0.3333333333333278,0.7344897209985316,0.5869565217391305,0.7085168869309839,12
Mars5,0.3125000000004299,0.7370594713656388,0.6796536796536796,0.7449063876651982,16
vixTTS,0.3125000000000003,0.7585352422907489,0.5844155844155844,0.7578469162995595,16
sesame_csm,0.3076923076919716,0.7624534056252118,0.6623235613463626,0.7529227380548966,13
MeloTTS,0.30176211453677093,0.8439512029820401,0.6829533116178067,0.801296170789563,13
Metavoice-1B,0.29955947136600003,0.790119572057898,0.5390455531453362,0.7659691629955947,14
suno_bark,0.2857142857145803,0.8039647577092511,0.8481561822125814,0.7822529893014474,14
suno_bark-small,0.2857142857142857,0.8528949024543739,0.665943600867679,0.7952328508495909,14
MegaTTS3,0.28571428571428564,0.808291378225299,0.6811279826464208,0.8029421019509125,14
Qwen2.5-Omni,0.28571428571428564,0.7551132787916929,0.8297180043383948,0.737728130899937,14
"Resemble.ai (April 12th, 2025)",0.28414096916349985,0.836820851688693,0.9233261339092873,0.7703132648066568,18
Llasa-8B,0.2777777777777778,0.8187102300538424,0.8131749460043196,0.7686000978952521,18
MiniCPM-o-2.6,0.2764317180610878,0.8032488986784141,0.6842672413793104,0.7653083700440528,20
OpenVoiceV2,0.25330396475675154,0.8710719530102791,0.7378114842903575,0.8011747430249634,15
minimax_speech-2.6-hd,0.2500000000000392,0.8085535976505139,0.9097826086956522,0.7898311306901615,12
NeuTTS-Air,0.2499999999998488,0.7968061674008811,0.7846320346320347,0.7676211453744494,16
minimax_speech-02-turbo,0.24779735682782736,0.8720464557468963,0.7170837867247007,0.8119243091710051,11
Cartesia.ai (Sonic-3),0.24559471365631438,0.9020824989987986,0.7562568008705114,0.8317480977172607,11
Kani-TTS-370M,0.24008810572646333,0.82889467360833,0.7606093579978237,0.7890468562274731,11
Microsoft VibeVoice Large,0.23529411764705885,0.8515159367711842,0.652972972972973,0.7943767815496243,17
Maya1 TTS,0.23458149779681856,0.8791785436641617,0.8551351351351352,0.8107670380927701,17
Nari Dia-1.6B,0.22907488986772812,0.8567280736884261,0.7714907508161044,0.7945534641569885,11
Edge-TTS,0.22222222222229424,0.8420215369554577,0.9040348964013086,0.8415320606950563,9
optispeech,0.2142857142857142,0.9152769037130271,0.6876355748373102,0.8414096916299559,14
MatchaTTS,0.18832599118850304,0.8919603524229075,0.7603485838779956,0.8788546255506609,10
RVC,0.1883259911882618,0.8575361862806796,0.8123644251626898,0.834408432976715,14
Step-Audio-EditX,0.1850220264333048,0.841509811774129,0.8150163220892275,0.8165798958750501,11
Kyutai-TTS,0.17400881057307593,0.9324715974959426,0.8101402373247033,0.877318571759796,19
parler_tts_large_v1,0.17070484581591844,0.8940371302706105,0.8167028199566161,0.8717747010698553,14
kokoro,0.15789473684246405,0.9060398794342684,0.8619201725997843,0.8522200324600047,19
facebook_mms-tts-eng,0.15308370044013417,0.9331253059226627,0.8412526997840173,0.8918257464512971,18
Llasa-1B-Multilingual,0.14867841409802007,0.903978524229075,0.801948051948052,0.8685297356828194,16
parler_tts_mini_v0.1,0.13436123348102866,0.8893495724280901,0.865945945945946,0.8739958538481472,17
Ringg Squirrel TTS v1.0,0.13105726872300083,0.9402227116984826,0.8488120950323974,0.8956803720019579,18
DeepGram,0.1277533039654889,0.9346549192364171,0.7699018538713195,0.8838105726872247,9
Veena,0.12004405286325762,0.953125,0.8809523809523809,0.9087279735682819,16
