system,C,T,raw_eer,raw_auc,raw_bal_acc,cal_wavlm_eer,cal_wavlm_auc,cal_wavlm_bal_acc,cal_ensemble_eer,cal_ensemble_auc,cal_ensemble_bal_acc
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.09090909090909088,0.9535442531037245,0.9204044853824589,0.3436123348007728,0.710652783340008,0.7596115338406086,0.3557268722462592,0.7006407689227071,0.7601621946335603
Chatterbox,-11.13056,2.82544,0.28571428571438207,0.7168030207677785,0.7244336060415355,0.5,0.5049559471365639,0.6069855254877281,0.5,0.486312146003776,0.5937696664568911
DeepGram,-11.17381,2.62221,0.15748898678490608,0.9358786098874204,0.9140969162995595,0.4063876651976278,0.6642192853646598,0.7615638766519823,0.40638766519786756,0.6514929025942242,0.7433920704845816
Edge-TTS,-10.92675,2.75393,0.2059471365635573,0.8947626040137053,0.8584801762114538,0.42070484581390744,0.6308125305922663,0.724669603524229,0.4151982378853556,0.6294664708761625,0.730726872246696
FireRedTTS-2.0,-9.67617,2.74047,0.6249999999999997,0.30534140969162993,0.5049559471365639,0.6861233480164932,0.26762114537444937,0.5534140969162995,0.6784140969158156,0.26624449339207046,0.5578193832599119
FishTTS,-11.17461,2.7008,0.26666666666666666,0.8086637298091043,0.7683553597650514,0.4,0.5806167400881057,0.63571953010279,0.40418502202719997,0.5809838472834068,0.6362701908957415
Higgs-Audio-V2,-11.109,2.80124,0.43478260869569096,0.6046734342080062,0.6251436506416395,0.5217391304347826,0.4466577284045202,0.573237885462555,0.5217391304347826,0.438230224095001,0.5699339207048458
Index-TTS-1.5,-11.09735,2.74406,0.5999999999999996,0.3758443465491923,0.5225770925110133,0.6541850220256334,0.32709251101321585,0.5831497797356828,0.6666666666666667,0.30330396475770927,0.5754405286343612
Index-TTS-2.0,-11.02141,2.74238,0.42841409691732707,0.6142135268204197,0.6455688002073076,0.5539647577102407,0.4271184244622959,0.5966895568800208,0.5770925110132381,0.412153407618554,0.5988922000518269
Indri-TTS-0.1,-11.05397,2.73531,0.0814977973582911,0.9693989930774072,0.9553964757709251,0.3436123348007331,0.6891126494650723,0.7654185022026432,0.33920704845734256,0.6989458779106357,0.7835903083700441
Kani-TTS-370M,-11.07769,2.78509,0.22026431718065453,0.8433119743692431,0.8036143372046456,0.43171806167319576,0.5984181017220664,0.6541850220264317,0.41740088105644196,0.5950140168201843,0.6557869443331998
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.04955947136537816,0.9904027690371303,0.9752202643171806,0.2753303964752522,0.7863436123348018,0.8111233480176212,0.2665198237882908,0.789018250471995,0.8248898678414097
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.06250000000000003,0.9734306167400881,0.9456222466960352,0.30616740088085626,0.7588105726872246,0.7969438325991189,0.3124999999999997,0.7438050660792952,0.7842786343612335
Kyutai-TTS,-11.10458,2.69058,0.15418502202550724,0.9363552051936007,0.914647577092511,0.3898678414103309,0.668386274055182,0.7533039647577093,0.39207048458286553,0.6629955947136563,0.7472466960352423
Llasa-1B-Multilingual,-11.06328,2.67872,0.1574889867839805,0.9290335903083701,0.8828469162995595,0.37665198237950803,0.6793089207048458,0.7407764317180616,0.39757709251240403,0.6565253303964758,0.7230176211453745
Llasa-8B,-11.13795,2.7481,0.26211453744385876,0.7773494860499266,0.7578316201664219,0.4427312775326825,0.5780714635340186,0.6294664708761625,0.4444444444444364,0.5596549192364171,0.6242657856093979
Mars5,-11.32011,2.84054,0.4374999999999708,0.5824614537444934,0.6172907488986784,0.6002202643164369,0.3865638766519824,0.581635462555066,0.5759911894280015,0.40267070484581496,0.612885462555066
Marvis-TTS,-11.07228,2.7861,0.20000000000031073,0.9240088105726872,0.873568281938326,0.3425110132156638,0.6651982378854626,0.7287444933920705,0.3788546255500287,0.657488986784141,0.7125550660792952
MatchaTTS,-11.11983,2.76045,0.10000000000000266,0.9284140969162995,0.9026431718061674,0.39096916299499584,0.6610132158590308,0.746806167400881,0.39207048458091487,0.6527533039647577,0.7286343612334802
Maya1 TTS,-10.7007,2.72062,0.1764705882351814,0.8826768592899714,0.8633065561026172,0.3480176211446689,0.6823011142783104,0.7091215340761855,0.3529411764706506,0.6666882612075667,0.6992096398030578
MegaTTS3,-10.87811,2.81748,0.3571428571428213,0.7709251101321586,0.736784140969163,0.5,0.4956733794839522,0.6640969162995595,0.5,0.5155758338577722,0.670704845814978
MeloTTS,-11.02763,2.75371,0.2307692307692276,0.912741443578448,0.8639867841409692,0.3821585903073787,0.6391053880040665,0.7109030837004405,0.3846153846153846,0.6268214164689936,0.7164096916299559
Metavoice-1B,-11.26542,2.78059,0.28571428571409035,0.776431718061674,0.7857929515418502,0.5714285714285714,0.3940371302706105,0.631686595342983,0.534140969163996,0.42762743864065456,0.643801132787917
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.3846153846153616,0.646645205015249,0.6546933242968485,0.5506607929523596,0.4684852592341579,0.5919603524229075,0.5385462555071594,0.46374110471026775,0.5814977973568282
Microsoft VibeVoice Large,-11.20791,2.80826,0.23529411764705888,0.8701736201088366,0.8268657683337652,0.4317180616746246,0.5839595750194351,0.7279735682819384,0.4416299559469315,0.5711324177247992,0.711453744493392
MiniCPM-o-2.6,-10.42072,2.73015,0.3303964757709247,0.7543502202643172,0.7407488986784141,0.44999999999999996,0.5394273127753304,0.6014317180616741,0.45925110132086855,0.5393171806167402,0.6079295154185023
Nari Dia-1.6B,-11.2362,2.78417,0.2290748898677189,0.8932719263115739,0.8367040448538245,0.4328193832598858,0.6485782939527434,0.7050961153384061,0.4526431718061029,0.631457749299159,0.6888766519823788
Nari Dia2,-11.16706,2.70401,0.28193832599125357,0.7294753704445334,0.722667200640769,0.5165198237882331,0.4952943532238686,0.6032238686423708,0.5165198237883681,0.5025030036043252,0.6070784941930316
