type,pair_id,ablated_heads,in_dist_eer,cross_lang_eer,in_dist_delta,cross_lang_delta,xl_reduction
baseline,baseline,[],0.360237,0.67739,0.0,0.0,0.0
null_pair,h0_h1,"[0, 1]",0.342364,0.541006,-0.017872,-0.136384,0.136384
null_pair,h0_h2,"[0, 2]",0.381911,0.509288,0.021674,-0.168102,0.168102
null_pair,h0_h3,"[0, 3]",0.348867,0.55913,-0.01137,-0.11826,0.11826
null_pair,h0_h4,"[0, 4]",0.379743,0.572723,0.019507,-0.104667,0.104667
null_pair,h0_h5,"[0, 5]",0.350483,0.603537,-0.009753,-0.073852,0.073852
null_pair,h1_h2,"[1, 2]",0.366739,0.526961,0.006502,-0.150429,0.150429
null_pair,h1_h3,"[1, 3]",0.342364,0.590396,-0.017872,-0.086994,0.086994
null_pair,h1_h4,"[1, 4]",0.358069,0.590847,-0.002167,-0.086542,0.086542
null_pair,h1_h5,"[1, 5]",0.345615,0.622565,-0.014621,-0.054825,0.054825
null_pair,h2_h3,"[2, 3]",0.36999,0.523333,0.009753,-0.154057,0.154057
null_pair,h2_h5,"[2, 5]",0.367823,0.586316,0.007586,-0.091073,0.091073
null_pair,h3_h4,"[3, 4]",0.36132,0.596282,0.001084,-0.081108,0.081108
null_pair,h3_h5,"[3, 5]",0.34995,0.645672,-0.010286,-0.031718,0.031718
null_pair,h4_h5,"[4, 5]",0.372157,0.655638,0.011921,-0.021752,0.021752
single_or_pair,top1_only,[2],0.376492,0.618034,0.016256,-0.059356,0.059356
single_or_pair,top2_only,[4],0.36999,0.678293,0.009753,0.000903,-0.000903
single_or_pair,top1_top2,"[2, 4]",0.417656,0.51835,0.057419,-0.15904,0.15904
