system,group,observed_eer,pred_eer_lr,pred_eer_lasso,pred_eer_rf,pred_eer_ensemble,residual,phoneme_var_mean,phoneme_var_median,frame_mean_dist_mean,frame_var_dist_mean,per_utt_cosine_mean,cosine_centroid,mean_entropy_mean,var_entropy_mean,mean_gini_mean
Kitten-TTS-Nano-0.2,easy,0.10401,0.36894,0.35411,0.32113,0.34806,-0.24405,0.36452,0.36259,15.38169,38.05485,0.11389,0.08200,1.62668,0.22249,0.47061
Kitten-TTS-Nano-0.1,easy,0.07729,0.33401,0.32581,0.27020,0.31001,-0.23272,0.37102,0.37681,15.91347,34.90494,0.10636,0.07209,1.71203,0.19208,0.45122
Indri-TTS-0.1,easy,0.13861,0.34089,0.33138,0.20621,0.29282,-0.15422,0.36945,0.37091,15.93840,30.82303,0.09756,0.03730,1.75923,0.17810,0.43117
orpheus-tts-0.1-finetune,easy,0.08634,0.25583,0.25407,0.17137,0.22709,-0.14075,0.44441,0.43973,15.95067,59.12810,0.09450,0.04454,1.73310,0.19249,0.43711
Veena,easy,0.08611,0.23365,0.23631,0.16446,0.21147,-0.12536,0.44805,0.44325,16.76417,74.55349,0.11117,0.08639,1.79109,0.16259,0.41944
kokoro,easy,0.12636,0.24801,0.24905,0.25348,0.25018,-0.12382,0.43216,0.42656,16.98502,55.63458,0.08435,0.02856,1.64737,0.21596,0.47959
Edge-TTS,mid,0.20610,0.29044,0.28649,0.35922,0.31205,-0.10595,0.40620,0.41841,15.11837,76.02008,0.11201,0.04138,1.65578,0.17146,0.42598
Llasa-1B-Multilingual,mid,0.22402,0.31707,0.30378,0.33017,0.31701,-0.09299,0.41891,0.41039,14.61815,49.97519,0.10292,0.02503,1.65112,0.20885,0.46388
suno_bark,mid,0.24642,0.36025,0.34250,0.30019,0.33431,-0.08789,0.35744,0.38330,14.21986,43.04804,0.13936,0.02769,1.64513,0.17641,0.39740
MatchaTTS,mid,0.16996,0.22811,0.23701,0.30644,0.25719,-0.08723,0.41862,0.42182,18.19304,37.27378,0.09463,0.04154,1.75787,0.17901,0.42920
facebook_mms-tts-eng,easy,0.13800,0.20566,0.22048,0.24676,0.22430,-0.08630,0.42177,0.42705,19.21700,40.72575,0.08949,0.06321,1.74199,0.17834,0.44674
suno_bark-small,mid,0.24243,0.36909,0.35140,0.26272,0.32774,-0.08531,0.34924,0.36944,14.57749,35.27339,0.14399,0.03231,1.65532,0.17561,0.38512
parler_tts_mini_v0.1,mid,0.12950,0.20135,0.21375,0.22499,0.21336,-0.08386,0.44149,0.44240,18.32986,39.30123,0.09302,0.03159,1.76856,0.17957,0.42769
Kyutai-TTS,mid,0.20235,0.27235,0.27076,0.31317,0.28542,-0.08308,0.41456,0.41195,16.49918,40.31618,0.09605,0.02316,1.72292,0.17785,0.44699
