system,group,observed_eer,residual,phoneme_var_mean,frame_mean_dist_mean,knn_entropy_norm,mutual_nn_rate,neighbor_switch_rate,cosine_rank_vol,knn_density,intrinsic_dim,var_entropy_mean,max_entropy_mean,mean_gini_mean,edge_density_mean,condition_number_log,cosine_sim_entropy,eigenvalue_decay_exp,sv_entropy,effective_rank,pca_var1,per_utt_cosine_mean,per_utt_cosine_std,cosine_centroid,cosine_attention_ratio,utt_cos_x_entropy
Index-TTS-1.5,hard,0.55377,0.20955,0.38385,15.36390,0.98269,0.74667,0.02074,0.00156,0.11421,9.35487,0.18524,2.26014,0.46291,0.23088,1.91507,1.74275,1.63496,2.06058,7.85051,0.30565,0.10197,0.02563,0.04696,16.48969,0.17146
VoxCPM-1.5,hard,0.50537,0.20769,0.39902,16.15841,0.98390,0.74286,0.00635,0.00212,0.09234,8.71187,0.18470,2.26482,0.44871,0.21455,1.70853,1.86910,1.46735,2.10816,8.23310,0.24744,0.09381,0.02777,0.01617,18.32504,0.16127
FireRedTTS-2.0,hard,0.52764,0.19481,0.39292,15.22304,0.96795,0.65000,0.02361,0.00131,0.10990,6.69853,0.17269,2.25987,0.43813,0.24140,1.85552,1.95873,1.67601,2.08457,8.04112,0.29607,0.09954,0.04013,0.03345,17.34923,0.17190
Spark-TTS-0.5B,hard,0.51552,0.18309,0.37786,15.49883,0.96158,0.67500,0.00833,0.00129,0.11597,5.34339,0.18856,2.26352,0.47361,0.21905,1.92270,2.03421,1.71531,1.95587,7.07009,0.36886,0.10319,0.01146,0.04000,16.18600,0.17235
Microsoft VibeVoice 1.5B,mid,0.36001,0.16633,0.43999,17.01640,0.96140,0.73846,0.01538,0.00169,0.11878,6.65786,0.18640,2.26959,0.44501,0.20960,1.66067,1.73263,1.60424,1.88763,6.60368,0.32571,0.09141,0.02465,0.03690,18.98688,0.15865
OuteTTS,hard,0.41641,0.15337,0.41989,15.80200,0.96561,0.80000,0.02424,0.00075,0.12231,9.04883,0.16978,2.27267,0.42677,0.20586,2.41529,1.97717,1.83189,2.09498,8.12526,0.34322,0.09022,0.02952,0.01464,19.63246,0.15980
ZipVoice,hard,0.43833,0.14816,0.41924,13.46409,0.97440,0.73333,0.02778,0.00162,0.11311,4.99351,0.19355,2.21541,0.44710,0.25985,1.75102,1.71147,1.62296,1.76157,5.82160,0.43563,0.09676,0.02947,0.05129,16.86640,0.15791
Index-TTS-2.0,mid,0.39484,0.14659,0.41653,17.22016,0.98347,0.56471,0.01569,0.00111,0.12379,7.76609,0.18829,2.26360,0.45746,0.19686,1.91380,1.90710,1.55206,2.08332,8.03111,0.34300,0.09059,0.02317,0.03702,18.95773,0.15558
Metavoice-1B,mid,0.30253,0.12290,0.42121,18.03492,0.98916,0.60000,0.01746,0.00141,0.11520,10.32462,0.16151,2.27288,0.40294,0.21285,1.91910,1.87822,1.67220,1.73937,5.69375,0.49048,0.10344,0.05262,0.04867,17.55503,0.18784
Higgs-Audio-V2,hard,0.43930,0.11265,0.40444,15.25706,0.97886,0.76522,0.00000,0.00049,0.10549,8.20374,0.17853,2.26198,0.44989,0.22126,2.27830,1.87760,1.59818,2.38791,10.89069,0.26045,0.09313,0.02316,0.01542,18.42244,0.15978
VoxCPM-0.5B,mid,0.39623,0.10724,0.40284,16.68187,0.96307,0.74783,0.01836,0.00093,0.10699,6.58542,0.17904,2.26237,0.44643,0.20956,2.18155,1.97046,1.67698,2.37352,10.73514,0.22043,0.10717,0.03506,0.02654,16.06778,0.18455
e2-tts,mid,0.36691,0.10146,0.37310,17.19339,0.98608,0.65000,0.00694,0.00119,0.11022,10.51865,0.17561,2.27443,0.43889,0.18896,1.90844,1.77991,1.43234,2.20689,9.08738,0.30114,0.11779,0.02190,0.05448,14.95318,0.20747
SoulX-Podcast,mid,0.33200,0.09949,0.42291,16.92054,0.97398,0.86667,0.01481,0.00096,0.11064,9.52036,0.18951,2.26678,0.45683,0.20173,1.73207,1.51761,1.51727,1.80597,6.08589,0.43340,0.08716,0.02320,0.02157,19.66614,0.14940
f5-tts,mid,0.35158,0.08052,0.39510,18.24052,0.96523,0.68235,0.01961,0.00112,0.12820,5.72894,0.18838,2.27113,0.47135,0.18081,2.18957,1.79301,1.65474,2.01952,7.53471,0.39930,0.10536,0.02284,0.04587,16.14772,0.17925
Openaudio-S1-Mini,mid,0.36493,0.06292,0.39330,16.86842,0.98471,0.72000,0.00622,0.00060,0.11607,10.71786,0.17593,2.26727,0.45500,0.18519,2.55320,1.89035,1.77689,2.33887,10.36949,0.29301,0.10500,0.02799,0.03299,16.48108,0.18171
Llasa-8B,mid,0.30930,0.06241,0.43527,14.84733,0.97092,0.55556,0.01235,0.00096,0.09497,8.42015,0.18506,2.25020,0.44519,0.24448,2.10011,2.09622,1.56832,2.16855,8.74556,0.33326,0.09201,0.05472,0.01048,18.18880,0.15399
griffin_lim,hard,0.37524,0.06035,0.35594,16.51631,0.97017,0.66667,0.00741,0.00217,0.12071,8.68582,0.15596,2.27490,0.41831,0.19904,1.71750,1.52466,1.44689,2.17433,8.79631,0.28275,0.11019,0.02157,0.06182,16.36195,0.19867
Marvis-TTS,mid,0.17806,0.04473,0.48995,19.25816,0.97719,1.00000,0.00000,0.00000,0.16409,18.85382,0.18269,2.26125,0.44826,0.18019,0.61819,0.00000,0.83579,1.27591,3.58195,0.45819,0.12413,0.01476,0.10959,14.03308,0.21623
Chatterbox,mid,0.35848,0.04081,0.39542,16.74301,0.96730,0.62857,0.00635,0.00139,0.11987,6.69243,0.18163,2.26766,0.45908,0.20585,1.70528,1.85876,1.44925,2.02456,7.57279,0.32967,0.08783,0.02315,0.03250,19.45498,0.15008
Voxtream,mid,0.31570,0.03913,0.36690,15.47980,0.97853,0.75556,0.00000,0.00064,0.10764,7.95300,0.18980,2.27232,0.44084,0.22091,2.20889,1.94378,1.58342,2.18060,8.85165,0.34694,0.09627,0.02427,0.02805,17.92284,0.16611
Kani-TTS-370M,mid,0.33125,0.03656,0.40014,16.69010,0.96327,0.76364,0.00404,0.00169,0.09977,6.64609,0.18075,2.26818,0.44929,0.22144,1.44501,1.33610,1.39087,1.85103,6.36635,0.36389,0.09436,0.02095,0.02373,18.17520,0.16183
NeuTTS-Air,mid,0.32761,0.03137,0.41132,15.60317,0.99042,0.65000,0.01528,0.00149,0.11103,9.91305,0.19092,2.27015,0.45254,0.22539,1.89291,1.75667,1.53123,2.14290,8.52413,0.29816,0.08472,0.02034,0.02872,20.07188,0.14407
Microsoft VibeVoice Large,mid,0.22345,0.02669,0.45175,16.55166,0.97726,0.80000,0.00131,0.00080,0.12693,9.56694,0.19246,2.26915,0.44699,0.21328,1.91763,1.83772,1.61879,1.97910,7.23623,0.40713,0.09259,0.02206,0.03437,18.57524,0.15925
RVC,mid,0.30377,0.02445,0.40929,16.00415,0.99160,0.62857,0.01587,0.00065,0.09331,11.17160,0.17157,2.27196,0.40120,0.22541,1.51826,1.86796,1.34668,2.16092,8.67915,0.23585,0.11004,0.03664,0.03353,16.32201,0.19764
MiniCPM-o-2.6,mid,0.31718,0.02297,0.42124,14.56939,0.99083,0.76000,0.00000,0.00085,0.10646,17.74173,0.18640,2.27107,0.43388,0.24718,2.02163,2.04800,1.60397,2.15830,8.65637,0.33219,0.10864,0.03800,0.03835,15.81907,0.18671
Mars5,mid,0.35562,0.01847,0.39150,15.69052,0.97188,0.72500,0.00694,0.00077,0.09661,11.26453,0.17716,2.26938,0.39902,0.25223,2.11799,2.07784,1.63777,2.06580,7.89162,0.33948,0.10405,0.03103,0.01799,17.07701,0.18488
Nari Dia-1.6B,mid,0.24469,0.01380,0.42074,17.44015,0.97747,0.58182,0.01414,0.00140,0.10621,7.65044,0.16449,2.16974,0.41363,0.20587,1.56940,1.57615,1.53920,1.73413,5.66400,0.42876,0.10924,0.06501,0.03884,15.29856,0.18257
Qwen2.5-Omni,mid,0.23006,0.01338,0.43665,17.25303,0.97733,0.82857,0.00000,0.00099,0.16288,8.31357,0.19977,2.26614,0.45948,0.22708,2.10874,1.65186,1.73037,1.69111,5.42552,0.50029,0.07760,0.02220,0.03680,21.76828,0.13109
microsoft_speecht5_tts,mid,0.31287,0.00225,0.34383,14.66312,0.95882,0.83333,0.00000,0.00061,0.10318,5.24379,0.18876,2.25554,0.45812,0.23142,1.69945,1.78607,1.65637,1.78133,5.93772,0.35158,0.10996,0.04523,0.03751,15.30906,0.18511
Nari Dia2,mid,0.32099,-0.00667,0.36011,16.18501,0.96915,0.83636,0.00404,0.00220,0.09191,5.17244,0.17199,2.27530,0.42831,0.19941,1.40618,1.37553,1.39163,1.82722,6.21655,0.38719,0.12111,0.02823,0.03955,14.60049,0.21416
parler_tts_mini_v1,mid,0.16552,-0.02267,0.43793,18.65741,0.98095,1.00000,0.00000,0.00222,0.09237,9.00715,0.15516,2.28105,0.40656,0.17561,0.85084,0.57992,1.02552,1.45545,4.28641,0.37934,0.07892,0.01322,0.02079,23.26630,0.14491
"Resemble.ai (April 12th, 2025)",mid,0.24306,-0.02386,0.43120,14.89569,0.97114,0.71111,0.00864,0.00127,0.11301,5.48605,0.17754,2.27291,0.43018,0.23518,1.72676,1.73252,1.48487,2.26482,9.62935,0.24458,0.10737,0.02798,0.05106,16.12791,0.18593
OpenVoiceV2,mid,0.24807,-0.02460,0.41486,17.20873,0.98303,0.85333,0.01926,0.00209,0.13242,8.62843,0.17367,2.27447,0.43465,0.19877,1.86406,1.58849,1.50530,2.02790,7.59814,0.37744,0.07203,0.02198,0.01754,24.43115,0.12676
MeloTTS,mid,0.27118,-0.02661,0.39181,17.46938,0.87217,0.73846,0.01368,0.00161,0.13303,2.60017,0.19311,2.26474,0.45330,0.19638,2.14507,1.81919,1.99017,1.65441,5.22997,0.40622,0.12474,0.02833,0.06444,13.76556,0.21419
FishTTS,mid,0.34336,-0.02712,0.38037,15.20743,0.98029,0.80000,0.00000,0.00059,0.11046,9.79705,0.19446,2.26457,0.43277,0.25358,1.90027,1.94967,1.57901,1.90455,6.71641,0.43365,0.09336,0.02093,0.02425,18.36773,0.16010
WhisperSpeech,mid,0.32539,-0.03507,0.39641,15.24417,0.98353,0.66667,0.00952,0.00074,0.11744,11.08868,0.18371,2.26825,0.42869,0.22909,2.41840,1.95108,1.69476,2.21098,9.12470,0.33917,0.09021,0.02323,0.01931,19.35474,0.15751
minimax_speech-02-turbo,mid,0.18590,-0.03592,0.43294,17.49618,0.98299,0.76364,0.00606,0.00279,0.10273,7.42804,0.17771,2.26866,0.44373,0.21564,1.31953,1.21283,1.24204,1.94718,7.00890,0.31707,0.09122,0.02644,0.03083,18.93884,0.15759
Maya1 TTS,mid,0.15935,-0.03891,0.44692,16.15771,0.98079,0.77647,0.01176,0.00134,0.12474,8.38424,0.19118,2.25219,0.44280,0.24324,1.80857,1.89401,1.58909,2.10903,8.24023,0.27499,0.09321,0.03391,0.02850,18.02094,0.15657
vixTTS,mid,0.28641,-0.04064,0.38165,16.84647,0.96961,0.67500,0.02500,0.00146,0.12304,5.78395,0.17093,2.27825,0.39958,0.22254,1.66901,1.58925,1.40585,2.21871,9.19546,0.25755,0.09602,0.02428,0.05072,18.69862,0.17240
Supertonic,easy,0.12830,-0.04192,0.48399,17.20850,0.98050,0.72500,0.00000,0.00071,0.15971,10.68033,0.19605,2.26414,0.46034,0.21064,2.04992,1.58467,1.60419,1.96950,7.16708,0.41006,0.07044,0.02086,0.02855,24.03558,0.11926
Step-Audio-EditX,mid,0.25482,-0.04720,0.41846,16.66132,0.96588,0.80000,0.00202,0.00125,0.11445,5.67864,0.19469,2.26917,0.45748,0.21384,1.24477,0.97765,1.17558,2.00435,7.42130,0.27862,0.09624,0.01919,0.04976,17.64487,0.16343
