hypothesis,feature,pearson_r,pearson_p,spearman_r,spearman_p,n
BASE,phoneme_var_mean,-0.02801,0.82750,-0.11170,0.38343,63
BASE,frame_mean_dist_mean,-0.06150,0.63208,-0.02146,0.86743,63
H1,knn_entropy_norm,0.21936,0.08410,0.08329,0.51637,63
H1,mutual_nn_rate,0.03911,0.76090,0.03914,0.76069,63
H1,neighbor_switch_rate,0.16582,0.19400,0.12867,0.31488,63
H1,cosine_rank_vol,-0.19300,0.12964,-0.22777,0.07259,63
H1,knn_density,-0.21618,0.08881,-0.00869,0.94612,63
H1,intrinsic_dim,0.07961,0.53510,0.06658,0.60414,63
H2,var_entropy_mean,-0.20193,0.11250,-0.09217,0.47248,63
H2,max_entropy_mean,0.06271,0.62538,-0.11905,0.35273,63
H2,mean_gini_mean,0.15455,0.22649,0.22442,0.07702,63
H2,edge_density_mean,-0.11830,0.35580,-0.09533,0.45734,63
H3,condition_number_log,0.13579,0.28864,0.21035,0.09798,63
H3,cosine_sim_entropy,0.24244,0.05557,0.33213,0.00783,63
H3,eigenvalue_decay_exp,0.01627,0.89929,0.06768,0.59814,63
H3,sv_entropy,0.11801,0.35696,0.11847,0.35508,63
H3,effective_rank,0.12601,0.32507,0.11847,0.35508,63
H3,pca_var1,-0.02770,0.82937,-0.00835,0.94820,63
H4,per_utt_cosine_mean,-0.13349,0.29696,-0.11420,0.37282,63
H4,per_utt_cosine_std,-0.02789,0.82820,0.06936,0.58907,63
H4,cosine_centroid,-0.25273,0.04568,-0.17939,0.15949,63
H4,cosine_attention_ratio,0.09679,0.45049,0.08996,0.48321,63
H4,utt_cos_x_entropy,-0.11907,0.35264,-0.11689,0.36160,63
