seed,condition,kl_range,delta_eer,baseline_eer,ablated_eer,top2_mean_entropy,top2,best_val_eer,training_time_s
42,goat,1.4452,-0.061754,0.364571,0.426325,1.56784,"[2, 1]",0.2913,1334.1
42,robust_goat,1.6035,-0.02871,0.377576,0.406286,1.35182,"[4, 2]",0.303,1331.8
123,goat,2.2567,-0.016789,0.409537,0.426325,1.250378,"[4, 0]",0.3165,1336.3
123,robust_goat,1.9678,-0.007586,0.393281,0.400867,1.373965,"[4, 0]",0.3192,1336.0
456,goat,1.4717,-0.117005,0.401951,0.518956,1.434408,"[2, 0]",0.303,1341.3
456,robust_goat,1.0732,-0.002167,0.463705,0.465872,2.044941,"[0, 2]",nan,nan
789,goat,1.1686,-0.001084,0.3987,0.399783,1.821944,"[3, 2]",0.3174,2745.2
789,robust_goat,1.0893,-0.023291,0.429576,0.452867,1.891422,"[3, 2]",0.3354,2749.8
1024,goat,1.3881,-0.042798,0.386779,0.429576,1.451227,"[0, 2]",0.284,2748.9
1024,robust_goat,1.3662,0.0,0.375409,0.375409,1.591655,"[2, 0]",0.2976,2738.9
