system,group,seed,baseline_eer,smoothaug_eer,delta_eer
FireRedTTS-2.0,hard,42,0.5648403083700441,0.5801211453744494,0.015280837004405301
FireRedTTS-2.0,hard,123,0.5824614537444934,0.5907213656387665,0.008259911894273109
FireRedTTS-2.0,hard,1024,0.5940253303964758,0.6390418502202644,0.045016519823788625
Higgs-Audio-V2,hard,42,0.4847251484389964,0.46765466385749854,-0.017070484581497847
Higgs-Audio-V2,hard,123,0.44151024707910363,0.43820628232139436,-0.0033039647577092768
Higgs-Audio-V2,hard,1024,0.47316127178701395,0.5213321202834706,0.0481708484964567
Index-TTS-1.5,hard,42,0.5188693098384729,0.5161160058737151,-0.002753303964757814
Index-TTS-1.5,hard,123,0.4855359765051395,0.40154185022026434,-0.08399412628487518
Index-TTS-1.5,hard,1024,0.45029368575624085,0.45855359765051396,0.008259911894273109
Kitten-TTS-Nano-0.1,easy,42,0.19965387035871618,0.21947765890497167,0.019823788546255494
Kitten-TTS-Nano-0.1,easy,123,0.1474197608558842,0.30365009439899304,0.15623033354310883
Kitten-TTS-Nano-0.1,easy,1024,0.16889553178099437,0.2222309628697294,0.053335431088735036
Kitten-TTS-Nano-0.2,easy,42,0.24559471365638766,0.12527533039647576,-0.1203193832599119
Kitten-TTS-Nano-0.2,easy,123,0.20112885462555066,0.09347466960352423,-0.10765418502202644
Kitten-TTS-Nano-0.2,easy,1024,0.3054790748898678,0.18736233480176212,-0.11811674008810569
OuteTTS,hard,42,0.3552763315979175,0.4966960352422908,0.14141970364437328
OuteTTS,hard,123,0.40553664397276734,0.3994793752503003,-0.006057268722467035
OuteTTS,hard,1024,0.3193331998398078,0.4917400881057269,0.1724068882659191
Ringg Squirrel TTS v1.0,easy,42,0.27765540871267747,0.35334067547723935,0.07568526676456189
Ringg Squirrel TTS v1.0,easy,123,0.3329662261380323,0.38111845325501714,0.04815222711698486
Ringg Squirrel TTS v1.0,easy,1024,0.3904796867351933,0.27985805188448365,-0.11062163485070964
Spark-TTS-0.5B,hard,42,0.6192180616740088,0.6456497797356828,0.026431718061673992
Spark-TTS-0.5B,hard,123,0.6302312775330396,0.5060572687224669,-0.12417400881057272
Spark-TTS-0.5B,hard,1024,0.5675936123348018,0.6199063876651982,0.052312775330396466
Supertonic,easy,42,0.25,0.15267070484581496,-0.09732929515418504
Supertonic,easy,123,0.2566079295154185,0.2422907488986784,-0.014317180616740088
Supertonic,easy,1024,0.31428964757709255,0.20223017621145373,-0.11205947136563882
Veena,easy,42,0.4235958149779736,0.32254955947136565,-0.10104625550660795
Veena,easy,123,0.36316079295154186,0.43626101321585903,0.07310022026431717
Veena,easy,1024,0.43571035242290745,0.36095814977973567,-0.07475220264317178
VoxCPM-1.5,hard,42,0.5247797356828194,0.5242290748898679,-0.0005506607929515184
VoxCPM-1.5,hard,123,0.486784140969163,0.5363436123348018,0.04955947136563876
VoxCPM-1.5,hard,1024,0.5038546255506609,0.4196821900566394,-0.08417243549402142
ZipVoice,hard,42,0.5752569750367107,0.43135095447870775,-0.14390602055800295
ZipVoice,hard,123,0.584618208516887,0.41483113069016153,-0.16978707782672542
ZipVoice,hard,1024,0.5912261380323054,0.4845814977973568,-0.10664464023494857
griffin_lim,hard,42,0.38557268722466964,0.41200440528634363,0.026431718061673992
griffin_lim,hard,123,0.4629588839941263,0.4734214390602056,0.010462555066079293
griffin_lim,hard,1024,0.4618575624082232,0.5265785609397944,0.0647209985315712
kokoro,easy,42,0.3620739624391375,0.28521330860190125,-0.07686065383723623
kokoro,easy,123,0.22530721075817295,0.21209135172733595,-0.013215859030836996
kokoro,easy,1024,0.27309877115696735,0.19557152793878968,-0.07752724321817767
orpheus-tts-0.1-finetune,easy,42,0.26962354825790946,0.25585702843412095,-0.013766519823788514
orpheus-tts-0.1-finetune,easy,123,0.3202843412094514,0.3076191429715659,-0.012665198237885478
orpheus-tts-0.1-finetune,easy,1024,0.30872046455746893,0.23823588305967158,-0.07048458149779735
