system,group,pvar_group,phoneme_var_mean,frame_mean_dist_mean,baseline_eer_mean,smoothaug_eer_mean,delta_eer_mean
ZipVoice,hard,Middle (Q1–Q3),0.41924,13.46409,0.58370,0.44359,-0.14011
minimax_speech-02-turbo,mid,Middle (Q1–Q3),0.43294,17.49618,0.35518,0.21656,-0.13862
Kitten-TTS-Nano-0.2,easy,Low (≤Q1),0.36452,15.38169,0.25073,0.13537,-0.11536
microsoft_speecht5_tts,mid,Low (≤Q1),0.34383,14.66312,0.47051,0.36613,-0.10438
Supertonic,easy,High (≥Q3),0.48399,17.20850,0.27363,0.19906,-0.07457
Chatterbox,mid,Middle (Q1–Q3),0.39542,16.74301,0.42005,0.34870,-0.07135
optispeech,mid,High (≥Q3),0.44708,17.78467,0.23230,0.17144,-0.06086
Llasa-8B,mid,High (≥Q3),0.43527,14.84733,0.41387,0.35369,-0.06019
kokoro,easy,Middle (Q1–Q3),0.43216,16.98502,0.28683,0.23096,-0.05587
Microsoft VibeVoice Large,mid,High (≥Q3),0.45175,16.55166,0.39608,0.35176,-0.04431
DeepGram,easy,High (≥Q3),0.45162,16.74966,0.36030,0.31993,-0.04036
SoulX-Podcast,mid,Middle (Q1–Q3),0.42291,16.92054,0.36301,0.32397,-0.03904
Veena,easy,High (≥Q3),0.44805,16.76417,0.40749,0.37326,-0.03423
orpheus-tts-0.1-finetune,easy,High (≥Q3),0.44441,15.95067,0.29954,0.26724,-0.03231
Microsoft VibeVoice 1.5B,mid,High (≥Q3),0.43999,17.01640,0.47618,0.44498,-0.03120
VoxCPM-0.5B,mid,Middle (Q1–Q3),0.40284,16.68187,0.43454,0.40389,-0.03065
Kyutai-TTS,mid,Middle (Q1–Q3),0.41456,16.49918,0.44140,0.41413,-0.02727
Indri-TTS-0.1,easy,Low (≤Q1),0.36945,15.93840,0.40340,0.37642,-0.02698
Index-TTS-1.5,hard,Low (≤Q1),0.38385,15.36390,0.48490,0.45874,-0.02616
Qwen2.5-Omni,mid,High (≥Q3),0.43665,17.25303,0.34762,0.32214,-0.02549
Llasa-1B-Multilingual,mid,Middle (Q1–Q3),0.41891,14.61815,0.31007,0.29194,-0.01813
Spark-TTS-0.5B,hard,Low (≤Q1),0.37786,15.49883,0.60568,0.59054,-0.01514
VoxCPM-1.5,hard,Middle (Q1–Q3),0.39902,16.15841,0.50514,0.49342,-0.01172
OpenVoiceV2,mid,Middle (Q1–Q3),0.41486,17.20873,0.47654,0.46847,-0.00808
facebook_mms-tts-eng,easy,Middle (Q1–Q3),0.42177,19.21700,0.23840,0.23472,-0.00367
Step-Audio-EditX,mid,Middle (Q1–Q3),0.41846,16.66132,0.35087,0.35362,0.00275
suno_bark,mid,Low (≤Q1),0.35744,14.21986,0.43400,0.43749,0.00349
Ringg Squirrel TTS v1.0,easy,High (≥Q3),0.45405,18.32384,0.33370,0.33811,0.00441
"Resemble.ai (April 12th, 2025)",mid,Middle (Q1–Q3),0.43120,14.89569,0.45020,0.45899,0.00879
Higgs-Audio-V2,hard,Middle (Q1–Q3),0.40444,15.25706,0.46647,0.47573,0.00927
Kani-TTS-370M,mid,Middle (Q1–Q3),0.40014,16.69010,0.30570,0.31873,0.01303
Edge-TTS,mid,Middle (Q1–Q3),0.40620,15.11837,0.45073,0.47037,0.01964
NeuTTS-Air,mid,Middle (Q1–Q3),0.41132,15.60317,0.39285,0.41410,0.02125
FishTTS,mid,Low (≤Q1),0.38037,15.20743,0.38484,0.40668,0.02184
FireRedTTS-2.0,hard,Middle (Q1–Q3),0.39292,15.22304,0.58044,0.60329,0.02285
Mars5,mid,Low (≤Q1),0.39150,15.69052,0.51959,0.54470,0.02510
Nari Dia-1.6B,mid,Middle (Q1–Q3),0.42074,17.44015,0.37308,0.39943,0.02635
MiniCPM-o-2.6,mid,Middle (Q1–Q3),0.42124,14.56939,0.45125,0.47772,0.02647
Openaudio-S1-Mini,mid,Middle (Q1–Q3),0.39330,16.86842,0.31156,0.34165,0.03010
griffin_lim,hard,Low (≤Q1),0.35594,16.51631,0.43680,0.47067,0.03387
MeloTTS,mid,Middle (Q1–Q3),0.39181,17.46938,0.25908,0.30929,0.05021
Maya1 TTS,mid,High (≥Q3),0.44692,16.15771,0.24823,0.30143,0.05320
Cartesia.ai (Sonic-3),mid,High (≥Q3),0.46710,16.38426,0.25282,0.30845,0.05563
Marvis-TTS,mid,High (≥Q3),0.48995,19.25816,0.17911,0.24604,0.06692
suno_bark-small,mid,Low (≤Q1),0.34924,14.57749,0.48699,0.56251,0.07552
Kitten-TTS-Nano-0.1,easy,Low (≤Q1),0.37102,15.91347,0.17199,0.24845,0.07646
Voxtream,mid,Low (≤Q1),0.36690,15.47980,0.38461,0.46973,0.08513
parler_tts_mini_v0.1,mid,High (≥Q3),0.44149,18.32986,0.26658,0.35643,0.08984
OuteTTS,hard,Middle (Q1–Q3),0.41989,15.80200,0.36005,0.46264,0.10259
