epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-fnr,train-fpr,train-loss,train-tnr,train-tpr,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-fnr,val-fpr,val-loss,val-tnr,val-tpr
0,516,,,,,,,,,,,,0.515329122543335,0.6673727035522461,0.0,0.05369966849684715,1.0656253099441528,0.36789900064468384,0.07303877174854279,0.8963029980659485,1.092475414276123,0.0,1.0
0,516,0.6812379360198975,0.7548819780349731,0.12306565791368484,0.09877336025238037,0.5943212509155273,0.32005414366722107,0.38715916872024536,0.2503385543823242,0.7052408456802368,0.0,1.0,,,,,,,,,,,
1,1033,,,,,,,,,,,,0.6699729561805725,0.7510133385658264,0.0,0.051416728645563126,0.7352896332740784,0.31740307807922363,0.2073940485715866,0.45266005396842957,0.7609980702400208,0.0,1.0
1,1033,0.7402321100234985,0.8185414671897888,0.04479363188147545,0.041820455342531204,0.5210853219032288,0.260642409324646,0.2989172339439392,0.22058823704719543,0.5643926858901978,0.0,1.0,,,,,,,,,,,
2,1550,,,,,,,,,,,,0.628944993019104,0.6900025606155396,0.0,0.016273271292448044,0.8815848231315613,0.35527503490448,0.2281334549188614,0.5139765739440918,0.8897214531898499,0.0,1.0
2,1550,0.7611218690872192,0.8413918018341064,0.03163618594408035,0.03371907398104668,0.4914868175983429,0.2389705926179886,0.2772621810436249,0.2004643976688385,0.5241644978523254,0.0,1.0,,,,,,,,,,,
3,2067,,,,,,,,,,,,0.5595130920410156,0.7596498727798462,0.0,0.02714928425848484,1.1880987882614136,0.29576194286346436,0.036970242857933044,0.8440036177635193,1.2016736268997192,0.0,1.0
3,2067,0.7805609107017517,0.8597567677497864,0.027076177299022675,0.022292595356702805,0.4643127918243408,0.2247147560119629,0.25517508387565613,0.18371687829494476,0.48899713158607483,0.0,1.0,,,,,,,,,,,
4,2584,,,,,,,,,,,,0.5405771136283875,0.7222393751144409,0.0,0.014357445761561394,1.7426804304122925,0.35076645016670227,0.017132552340626717,0.9017132520675659,1.7498584985733032,0.0,1.0
4,2584,0.7895551323890686,0.8691773414611816,0.019996296614408493,0.019024914130568504,0.45206505060195923,0.2106790542602539,0.2360224425792694,0.1848772019147873,0.47157537937164307,0.0,1.0,,,,,,,,,,,
5,3101,,,,,,,,,,,,0.7028855085372925,0.7953281402587891,0.0,0.013158236630260944,0.5841256380081177,0.2795311212539673,0.4165915250778198,0.17763751745224,0.590704619884491,0.0,1.0
5,3101,0.7895551323890686,0.8727803230285645,0.019392427057027817,0.023980122059583664,0.442804753780365,0.214313343167305,0.24081237614154816,0.18007737398147583,0.4644908010959625,0.0,1.0,,,,,,,,,,,
6,3618,,,,,,,,,,,,0.6293958425521851,0.7422254085540771,0.0,0.009153120219707489,0.8455938696861267,0.31920650601387024,0.19386835396289825,0.547339916229248,0.8501705527305603,0.0,1.0
6,3618,0.7999032735824585,0.8813809752464294,0.017216045409440994,0.019062554463744164,0.4307362735271454,0.20317336916923523,0.22503869235515594,0.17517401278018951,0.44887563586235046,0.0,1.0,,,,,,,,,,,
