probe,acc,macro_f1,A01_precision,A01_recall,A01_f1-score,A02_precision,A02_recall,A02_f1-score,A03_precision,A03_recall,A03_f1-score,A04_precision,A04_recall,A04_f1-score,A05_precision,A05_recall,A05_f1-score,A06_precision,A06_recall,A06_f1-score
bilstm,0.7500,0.7492,0.6356,0.7500,0.6881,0.7436,0.5800,0.6517,0.7917,0.7600,0.7755,0.6857,0.7200,0.7024,0.8600,0.8600,0.8600,0.8058,0.8300,0.8177
gat_l0,0.9183,0.9180,0.8889,0.8800,0.8844,0.8737,0.8300,0.8513,0.9412,0.9600,0.9505,0.9500,0.9500,0.9500,0.9048,0.9500,0.9268,0.9495,0.9400,0.9447
gat_l1,0.8933,0.8926,0.8500,0.8500,0.8500,0.8667,0.7800,0.8211,0.8899,0.9700,0.9282,0.9579,0.9100,0.9333,0.9200,0.9200,0.9200,0.8774,0.9300,0.9029
gat_l2,0.8533,0.8522,0.8125,0.7800,0.7959,0.7872,0.7400,0.7629,0.8519,0.9200,0.8846,0.8936,0.8400,0.8660,0.8679,0.9200,0.8932,0.9020,0.9200,0.9109
head_l0_h0,0.8133,0.8131,0.7736,0.8200,0.7961,0.8191,0.7700,0.7938,0.8300,0.8300,0.8300,0.7895,0.7500,0.7692,0.8586,0.8500,0.8543,0.8113,0.8600,0.8350
head_l0_h1,0.8117,0.8113,0.7593,0.8200,0.7885,0.7826,0.7200,0.7500,0.8384,0.8300,0.8342,0.8041,0.7800,0.7919,0.8800,0.8800,0.8800,0.8077,0.8400,0.8235
head_l0_h2,0.8300,0.8301,0.7778,0.7700,0.7739,0.7723,0.7800,0.7761,0.8381,0.8800,0.8585,0.8283,0.8200,0.8241,0.9149,0.8600,0.8866,0.8529,0.8700,0.8614
head_l0_h3,0.8017,0.8008,0.7624,0.7700,0.7662,0.7204,0.6700,0.6943,0.8365,0.8700,0.8529,0.8495,0.7900,0.8187,0.8500,0.8500,0.8500,0.7890,0.8600,0.8230
head_l0_h4,0.8300,0.8297,0.7895,0.7500,0.7692,0.7921,0.8000,0.7960,0.8148,0.8800,0.8462,0.8247,0.8000,0.8122,0.9072,0.8800,0.8934,0.8529,0.8700,0.8614
head_l0_h5,0.8167,0.8163,0.7843,0.8000,0.7921,0.7742,0.7200,0.7461,0.8190,0.8600,0.8390,0.8617,0.8100,0.8351,0.8700,0.8700,0.8700,0.7925,0.8400,0.8155
head_l1_h0,0.8283,0.8285,0.7358,0.7800,0.7573,0.7789,0.7400,0.7590,0.8190,0.8600,0.8390,0.8627,0.8800,0.8713,0.8723,0.8200,0.8454,0.9082,0.8900,0.8990
head_l1_h1,0.8100,0.8077,0.7228,0.7300,0.7264,0.7875,0.6300,0.7000,0.7857,0.8800,0.8302,0.8333,0.8500,0.8416,0.8776,0.8600,0.8687,0.8505,0.9100,0.8792
head_l1_h2,0.8100,0.8102,0.7368,0.7000,0.7179,0.6667,0.7000,0.6829,0.8208,0.8700,0.8447,0.9195,0.8000,0.8556,0.9000,0.9000,0.9000,0.8318,0.8900,0.8599
head_l1_h3,0.8267,0.8252,0.7604,0.7300,0.7449,0.7717,0.7100,0.7396,0.8302,0.8800,0.8544,0.8454,0.8200,0.8325,0.8942,0.9300,0.9118,0.8476,0.8900,0.8683
head_l1_h4,0.7917,0.7922,0.7222,0.7800,0.7500,0.6571,0.6900,0.6732,0.8316,0.7900,0.8103,0.8295,0.7300,0.7766,0.8889,0.8800,0.8844,0.8381,0.8800,0.8585
head_l1_h5,0.8217,0.8203,0.8043,0.7400,0.7708,0.7419,0.6900,0.7150,0.8165,0.8900,0.8517,0.8155,0.8400,0.8276,0.8812,0.8900,0.8856,0.8627,0.8800,0.8713
head_l2_h0,0.8067,0.8063,0.7629,0.7400,0.7513,0.7447,0.7000,0.7216,0.7810,0.8200,0.8000,0.8019,0.8500,0.8252,0.9140,0.8500,0.8808,0.8381,0.8800,0.8585
head_l2_h1,0.8383,0.8366,0.7807,0.8900,0.8318,0.7882,0.6700,0.7243,0.8462,0.8800,0.8627,0.8889,0.8000,0.8421,0.8611,0.9300,0.8942,0.8687,0.8600,0.8643
head_l2_h2,0.8517,0.8497,0.7905,0.8300,0.8098,0.8171,0.6700,0.7363,0.8476,0.8900,0.8683,0.8878,0.8700,0.8788,0.8857,0.9300,0.9073,0.8762,0.9200,0.8976
head_l2_h3,0.7967,0.7949,0.7426,0.7500,0.7463,0.7011,0.6100,0.6524,0.7818,0.8600,0.8190,0.8660,0.8400,0.8528,0.8500,0.8500,0.8500,0.8286,0.8700,0.8488
head_l2_h4,0.8133,0.8123,0.7300,0.7300,0.7300,0.7143,0.6500,0.6806,0.7928,0.8800,0.8341,0.8660,0.8400,0.8528,0.9167,0.8800,0.8980,0.8571,0.9000,0.8780
head_l2_h5,0.8183,0.8172,0.7327,0.7400,0.7363,0.7582,0.6900,0.7225,0.8119,0.8200,0.8159,0.8646,0.8300,0.8469,0.9082,0.8900,0.8990,0.8319,0.9400,0.8826
