epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,0.5112714171409607,0.7751376032829285,0.0,0.007920853793621063,1.9833407402038574,0.29996994137763977,1.9873011112213135
0,516,0.7877175807952881,0.8670870065689087,0.017904672771692276,0.013562935404479504,0.4532075822353363,0.21349835395812988,0.4689409136772156,,,,,,,
1,1033,,,,,,,,0.6816952228546143,0.7937726974487305,0.0,0.011982274241745472,0.8838685154914856,0.2894499599933624,0.8898594975471497
1,1033,0.7952611446380615,0.880711555480957,0.013920883648097515,0.013536104001104832,0.4324527680873871,0.20398297905921936,0.44618162512779236,,,,,,,
2,1550,,,,,,,,0.5410279631614685,0.7551209926605225,0.0,0.010378622449934483,1.6274726390838623,0.30690455436706543,1.6326625347137451
2,1550,0.8052224516868591,0.8855865597724915,0.013399370014667511,0.010262700729072094,0.42419078946113586,0.19651837646961212,0.4360215961933136,,,,,,,
3,2067,,,,,,,,0.533363401889801,0.775100588798523,0.0,0.005201729480177164,2.2615113258361816,0.2967638373374939,2.2641122341156006
3,2067,0.8100579977035522,0.8916283249855042,0.010973727330565453,0.008334771730005741,0.41259077191352844,0.1918390989303589,0.4222453236579895,,,,,,,
4,2584,,,,,,,,0.6393147110939026,0.8109398484230042,0.0,0.0043977415189146996,1.084761381149292,0.26510369777679443,1.0869605541229248
4,2584,0.8186653852462769,0.9017150402069092,0.010232306085526943,0.00830752681940794,0.3944495916366577,0.18197640776634216,0.4037197232246399,,,,,,,
