sample_id,label,system_id,cos_pre_encoder,cos_encoder_feat,cos_gat_pre,cos_gat_l0,cos_gat_l1,cos_gat_l2,cos_bilstm
0,1,A02,1.000000,0.990873,0.969793,-0.024395,0.025329,0.012601,-0.029476
1,1,A04,1.000000,0.970791,0.951363,0.008285,0.011638,0.018910,-0.035103
2,1,A01,1.000000,0.977501,0.946153,-0.004424,0.016150,0.009037,-0.021882
3,1,A02,1.000000,0.981444,0.964889,0.016940,-0.016209,0.021192,-0.041068
4,1,A02,1.000000,0.982667,0.955999,0.041175,-0.015587,0.030055,-0.030910
5,1,A03,1.000000,0.975904,0.956599,0.067008,-0.010238,0.027155,-0.031345
6,1,A06,1.000000,0.981259,0.961592,0.029985,-0.046577,0.036738,-0.042906
7,1,A04,1.000000,0.989769,0.980887,0.020069,0.021711,0.032020,-0.027960
8,1,A05,1.000000,0.979695,0.948979,0.037677,0.051570,0.003525,-0.042107
9,1,A04,1.000000,0.976213,0.961701,0.069115,0.025839,0.034625,-0.015404
10,0,-,1.000000,0.988481,0.969318,0.087607,0.048482,-0.012053,0.030801
11,1,A04,1.000000,0.967511,0.941251,-0.034422,0.026395,0.029221,-0.031872
12,1,A02,1.000000,0.962960,0.938744,-0.000428,-0.013917,0.032541,-0.028685
13,1,A04,1.000000,0.980495,0.971786,0.017118,-0.014917,-0.003217,-0.028280
14,1,A01,1.000000,0.982653,0.965222,0.004683,-0.036044,0.013080,-0.018937
15,1,A06,1.000000,0.965429,0.950536,0.025373,0.036744,-0.019363,-0.054628
16,1,A03,1.000000,0.987073,0.980066,0.024972,0.008798,0.040348,-0.029720
17,1,A02,1.000000,0.976644,0.954536,0.015307,-0.007270,0.054297,-0.026101
18,0,-,1.000000,0.970156,0.952775,-0.034881,0.022730,-0.015120,-0.040621
19,1,A05,1.000000,0.926081,0.870002,-0.012300,0.025619,0.014266,-0.054896
20,1,A03,1.000000,0.992850,0.985053,0.026765,0.013692,0.019605,-0.019285
21,1,A06,1.000000,0.975732,0.932822,-0.004818,-0.006601,-0.023043,-0.043694
22,1,A05,1.000000,0.926968,0.884825,-0.000994,0.066687,0.006384,-0.043258
23,1,A02,1.000000,0.964158,0.932377,0.002351,-0.005044,0.040544,-0.033463
24,1,A05,1.000000,0.986378,0.976290,0.032371,-0.015234,0.025052,-0.041203
25,1,A06,1.000000,0.978204,0.949896,0.034927,-0.032579,0.015010,-0.032944
26,1,A04,1.000000,0.970000,0.954819,0.035319,0.013332,0.020144,-0.036504
27,1,A03,1.000000,0.987846,0.973316,0.039672,0.007193,0.036245,-0.015661
28,1,A05,1.000000,0.955874,0.926257,0.022199,0.034749,-0.030415,-0.037530
29,1,A05,1.000000,0.959975,0.901419,0.044042,-0.025498,-0.034713,-0.061579
30,1,A05,1.000000,0.969376,0.918973,0.004091,0.034423,-0.002057,-0.053978
31,1,A06,1.000000,0.985845,0.968231,0.048019,0.019101,-0.005923,-0.046847
32,1,A04,1.000000,0.968986,0.931671,-0.002049,-0.035182,0.022494,-0.020635
33,1,A02,1.000000,0.975065,0.920149,0.024450,-0.022887,0.022977,-0.023982
34,1,A01,1.000000,0.979568,0.953408,0.004434,-0.013712,0.052493,-0.024045
35,1,A04,1.000000,0.977399,0.948181,0.007673,0.051541,0.036641,-0.021442
36,1,A04,1.000000,0.980748,0.947904,0.074601,-0.017666,0.022525,-0.029377
37,1,A04,1.000000,0.978516,0.959109,-0.020081,-0.002314,0.031390,-0.034587
38,1,A05,1.000000,0.976037,0.961481,-0.001780,0.032553,0.019348,-0.023872
39,1,A05,1.000000,0.983906,0.975431,0.039421,0.027078,0.026535,-0.035917
40,1,A02,1.000000,0.979432,0.941054,0.008661,-0.066184,0.017238,-0.054103
41,1,A02,1.000000,0.987995,0.981235,0.045289,-0.003176,0.009059,-0.024423
42,1,A01,1.000000,0.985760,0.977025,0.055949,0.022218,0.042986,-0.020618
43,1,A01,1.000000,0.976606,0.960711,0.041198,0.018603,0.037169,-0.035402
44,1,A06,1.000000,1.000000,1.000000,-0.010864,0.010085,0.013530,-0.051845
45,1,A04,1.000000,0.982531,0.964035,0.038279,0.010264,0.033236,-0.023553
46,1,A04,1.000000,0.974490,0.956356,-0.001736,-0.002844,0.046318,-0.023148
47,1,A01,1.000000,0.971060,0.961972,0.062483,0.014514,0.042298,-0.023886
48,1,A02,1.000000,0.970472,0.930430,-0.001511,0.000121,0.035129,-0.021208
49,1,A01,1.000000,0.941670,0.914075,-0.011979,-0.021442,0.067881,-0.028999
50,1,A02,1.000000,0.989292,0.977394,0.060704,-0.036542,-0.006051,-0.032792
51,1,A01,1.000000,0.985032,0.963257,0.021808,0.014879,0.049172,-0.024518
52,1,A01,1.000000,0.982278,0.974663,0.033563,0.016494,0.027232,-0.031257
53,1,A05,1.000000,0.979218,0.951911,-0.042225,0.015402,-0.039056,-0.041319
54,1,A04,1.000000,0.982497,0.962978,0.018798,-0.010112,0.027052,-0.029716
55,1,A04,1.000000,0.978987,0.945780,0.013098,0.040418,-0.002273,-0.033541
56,1,A04,1.000000,0.967014,0.942674,0.036947,0.001300,0.022905,-0.039218
57,1,A02,1.000000,0.976126,0.958965,0.057769,0.010999,-0.035937,-0.028604
58,1,A04,1.000000,0.976548,0.959613,0.039185,0.011836,0.050029,-0.015013
59,1,A02,1.000000,0.991956,0.981895,0.061139,-0.005368,0.024502,-0.025470
60,1,A02,1.000000,0.983915,0.962516,0.047870,-0.029604,-0.019422,-0.043108
61,1,A01,1.000000,0.944203,0.911078,-0.000836,-0.010529,0.062651,-0.028541
62,0,-,1.000000,0.991089,0.975045,0.055356,0.014666,-0.024862,-0.027340
63,1,A05,1.000000,0.978531,0.938082,0.095155,0.044567,-0.012599,-0.047135
64,1,A04,1.000000,0.977993,0.945072,-0.006606,0.010255,0.040696,-0.032730
65,1,A03,1.000000,0.986333,0.967802,0.031676,0.000689,0.061774,-0.018386
66,1,A05,1.000000,0.971294,0.919401,0.035776,0.021799,0.000035,-0.053373
67,1,A04,1.000000,0.961228,0.929190,-0.007702,-0.000063,0.071248,-0.028332
68,1,A04,1.000000,0.975415,0.963340,-0.013862,0.029540,0.017164,-0.041923
69,1,A05,1.000000,0.983676,0.905832,0.032088,-0.025272,0.038536,-0.035198
70,1,A03,1.000000,0.983203,0.968162,0.059436,0.032025,0.013825,-0.025136
71,1,A04,1.000000,0.972701,0.928227,-0.008631,0.024419,0.013695,-0.040630
72,1,A01,1.000000,0.974002,0.955557,0.010830,-0.005398,0.046810,-0.030617
