system_id,category,top1,top1_prob,top2,top2_prob,A01,A02,A03,A04,A05,A06
-,bonafide,A06,0.8643,A02,0.0529,0.0027,0.0529,0.0368,0.0294,0.0139,0.8643
A01,trained,A01,1.0000,A02,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
A02,trained,A02,1.0000,A01,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
A03,trained,A03,1.0000,A01,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
A04,trained,A04,1.0000,A01,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
A05,trained,A05,1.0000,A02,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
A06,trained,A06,1.0000,A05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
A07,unseen,A01,0.4366,A03,0.3030,0.4366,0.0905,0.3030,0.1280,0.0101,0.0318
A08,unseen,A01,0.3869,A03,0.3826,0.3869,0.1100,0.3826,0.0758,0.0150,0.0298
A09,unseen,A03,0.4959,A01,0.3607,0.3607,0.0772,0.4959,0.0529,0.0008,0.0125
A10,unseen,A03,0.3221,A01,0.2705,0.2705,0.0436,0.3221,0.1769,0.0124,0.1744
A11,unseen,A03,0.4381,A01,0.2830,0.2830,0.0540,0.4381,0.1131,0.0025,0.1093
A12,unseen,A04,0.2707,A01,0.2285,0.2285,0.1222,0.2002,0.2707,0.1319,0.0465
A13,unseen,A01,0.3889,A04,0.3179,0.3889,0.1134,0.0779,0.3179,0.0949,0.0070
A14,unseen,A03,0.4531,A01,0.2878,0.2878,0.0677,0.4531,0.0896,0.0029,0.0989
A15,unseen,A03,0.4418,A01,0.2736,0.2736,0.0594,0.4418,0.0977,0.0056,0.1218
A16,unseen,A04,0.3963,A05,0.1655,0.1462,0.0720,0.1374,0.3963,0.1655,0.0825
A17,unseen,A05,0.7349,A06,0.1193,0.0202,0.0824,0.0121,0.0311,0.7349,0.1193
A18,unseen,A06,0.4272,A05,0.3272,0.0180,0.1465,0.0395,0.0417,0.3272,0.4272
A19,unseen,A06,0.7181,A05,0.1252,0.0108,0.0816,0.0323,0.0320,0.1252,0.7181
