system_id,split,n,acc,auc,eer,min_dcf
-,test,1000,0.9490,nan,nan,nan
A01,val,500,0.9960,0.9994,0.0110,0.0400
A02,val,500,0.8980,0.9828,0.0750,0.3160
A03,val,500,0.9900,0.9971,0.0220,0.1380
A04,val,500,0.9400,0.9918,0.0570,0.2140
A05,val,500,0.9780,0.9950,0.0310,0.1400
A06,val,500,0.4460,0.8897,0.1840,0.8860
A07,test,500,0.9920,0.9963,0.0240,0.2300
A08,test,500,0.9880,0.9953,0.0300,0.2480
A09,test,500,1.0000,0.9986,0.0160,0.1480
A10,test,500,0.8800,0.9772,0.0790,0.5240
A11,test,500,0.9480,0.9872,0.0530,0.4160
A12,test,500,0.9740,0.9938,0.0420,0.2520
A13,test,500,1.0000,0.9997,0.0090,0.0580
A14,test,500,0.9520,0.9889,0.0520,0.3800
A15,test,500,0.9760,0.9910,0.0440,0.3520
A16,test,500,0.9480,0.9873,0.0540,0.3560
A17,test,500,0.9660,0.9903,0.0470,0.3460
A18,test,500,0.7180,0.9495,0.1270,0.7740
A19,test,500,0.5660,0.9127,0.1620,0.9400
