model,intervention,alpha,energy,measured_C,EER,AUC,Acc
robust_GOAT,C_scale,0.25,0.75,3.725099802017212,0.28375000000000217,0.7776046875,0.728125
robust_GOAT,shift_control,0.25,0.75,14.890301704406738,0.0937500000000121,0.9679625,0.911875
robust_GOAT,C_scale,0.5,0.5,7.430696964263916,0.2975000000000002,0.7731875,0.72
robust_GOAT,shift_control,0.5,0.5,14.90120792388916,0.07375000000000125,0.97658125,0.926875
robust_GOAT,C_scale,0.75,0.25,11.206575393676758,0.08999999999884158,0.9728625,0.915
robust_GOAT,shift_control,0.75,0.25,14.86683464050293,0.06750000000117937,0.9814312500000001,0.933125
robust_GOAT,C_scale,1.0,0.0,14.864581108093262,0.06749999999993092,0.9829375000000001,0.933125
robust_GOAT,shift_control,1.0,0.0,14.888420104980469,0.07124999999999986,0.9804437500000001,0.9325
robust_GOAT,C_scale,1.5,0.5,22.222267150878906,0.05625000000002146,0.98523125,0.94625
robust_GOAT,shift_control,1.5,0.5,14.877513885498047,0.08000000000036862,0.9756953125000001,0.92375
robust_GOAT,C_scale,2.0,1.0,29.81032943725586,0.07874999999999886,0.9756093749999999,0.924375
robust_GOAT,shift_control,2.0,1.0,14.891561508178711,0.10374999999999839,0.9594421874999999,0.90125
robust_GOAT,C_scale,3.0,2.0,44.82231903076172,0.10625000000000065,0.9605640624999999,0.895
robust_GOAT,shift_control,3.0,2.0,14.87417984008789,0.20499999999855598,0.862409375,0.7975
robust_GOAT,C_scale,4.0,3.0,59.609840393066406,0.13375000000000012,0.9419421875,0.868125
robust_GOAT,shift_control,4.0,3.0,14.868624687194824,0.27250000000000074,0.80289375,0.7425
GOAT,C_scale,0.25,0.75,3.7305846214294434,0.275000000001306,0.7899593749999999,0.72625
GOAT,shift_control,0.25,0.75,14.868385314941406,0.18999999999960587,0.8921718750000001,0.82625
GOAT,C_scale,0.5,0.5,7.465010643005371,0.24375000000000005,0.8319328125,0.760625
GOAT,shift_control,0.5,0.5,14.90456485748291,0.12625000000158837,0.938034375,0.879375
GOAT,C_scale,0.75,0.25,11.195634841918945,0.12749999999999392,0.9427921874999999,0.875625
GOAT,shift_control,0.75,0.25,14.914762496948242,0.10999999999999807,0.951815625,0.895
GOAT,C_scale,1.0,0.0,14.885161399841309,0.11499999999998846,0.9583765625,0.890625
GOAT,shift_control,1.0,0.0,14.904364585876465,0.10999999999993136,0.95431875,0.8925
GOAT,C_scale,1.5,0.5,22.258987426757812,0.11749999999963405,0.9572265625,0.8875
GOAT,shift_control,1.5,0.5,14.870331764221191,0.13124999999999967,0.9363453125,0.87125
GOAT,C_scale,2.0,1.0,29.785730361938477,0.12250000000000008,0.9514671874999999,0.883125
GOAT,shift_control,2.0,1.0,14.944351196289062,0.20749999999882937,0.8656953124999999,0.801875
GOAT,C_scale,3.0,2.0,44.662025451660156,0.12875000000000006,0.93695,0.8725
GOAT,shift_control,3.0,2.0,14.90053939819336,0.34625000000000994,0.7090859375,0.66125
GOAT,C_scale,4.0,3.0,59.526527404785156,0.1374999999999999,0.9303875000000001,0.865625
GOAT,shift_control,4.0,3.0,14.863359451293945,0.4387500000002564,0.5900109375,0.565
