system,eer_before,eer_after,delta_eer,auc_before,auc_after,delta_auc,acc_before,acc_after,bal_acc_before,bal_acc_after
Spark-TTS-0.5B,0.625,0.625,0.0,0.3876651982378855,0.40625,0.018584801762114522,0.9155844155844156,0.9307359307359307,0.5272577092511013,0.534966960352423
FireRedTTS-2.0,0.6249999999999997,0.6249999999999997,0.0,0.30534140969162993,0.3138078193832599,0.008466409691629984,0.027056277056277056,0.024891774891774892,0.5049559471365639,0.5038546255506607
Index-TTS-1.5,0.5999999999999996,0.5333333333333328,0.06666666666666687,0.3758443465491923,0.4353891336270191,0.05954478707782679,0.06067172264355363,0.10292524377031419,0.5225770925110133,0.5440528634361234
VoxCPM-1.5,0.4779735682815185,0.5,-0.02202643171848151,0.5553807426054123,0.5570327249842668,0.0016519823788545551,0.8633405639913232,0.9045553145336226,0.6141441157960982,0.5999056010069226
Mars5,0.4374999999999708,0.4374999999999992,-2.842170943040401e-14,0.5824614537444934,0.5742015418502202,-0.00825991189427322,0.24783549783549783,0.5021645021645021,0.6172907488986784,0.623898678414097
Higgs-Audio-V2,0.43478260869569096,0.4347826086953237,3.672617765460018e-13,0.6046734342080062,0.6242578050181957,0.01958437081018949,0.7647690655209453,0.8356605800214822,0.6251436506416395,0.6614872629764412
Index-TTS-2.0,0.42841409691732707,0.39867841409636734,0.02973568282095973,0.6142135268204197,0.6228945322622441,0.008681005441824374,0.5308108108108108,0.6994594594594594,0.6455688002073076,0.6448885721689557
VoxCPM-0.5B,0.4140969162984599,0.41299559471500563,0.0011013215834542733,0.6096533231181767,0.6116165485539169,0.0019632254357402346,0.7636949516648764,0.5853920515574651,0.6245929898486879,0.6179371767860563
griffin_lim,0.4,0.4570484581494998,-0.05704845814949977,0.6585168869309839,0.630323054331865,-0.028193832599118895,0.8634886240520043,0.80931744312026,0.6355726872246696,0.6408223201174743
Openaudio-S1-Mini,0.39999999999995317,0.39757709251062734,0.0024229074893258318,0.6790748898678415,0.6657709251101323,-0.01330396475770923,0.7009646302250804,0.6988210075026795,0.6518722466960352,0.6507709251101321
OuteTTS,0.39317180616692676,0.40748898678390605,-0.014317180616979286,0.6662995594713657,0.6509811774128955,-0.015318382058470137,0.5709677419354838,0.5612903225806452,0.6472266720064077,0.6422707248698438
f5-tts,0.3898678414094841,0.38105726872326584,0.008810572686218265,0.6410987302409951,0.6298263798911635,-0.01127235034983154,0.9091891891891892,0.9232432432432433,0.6362723503498315,0.6434309406582016
Microsoft VibeVoice 1.5B,0.3846153846153616,0.38461538461538464,-2.3037127760971998e-14,0.646645205015249,0.6486784140969163,0.0020332090816672643,0.7676438653637351,0.7035830618892508,0.6546933242968485,0.6601152151812946
WhisperSpeech,0.3809523809525412,0.38095238095238093,1.6026069360464135e-13,0.6815082861338368,0.670967065240193,-0.010541220893643843,0.8019375672766416,0.4607104413347686,0.6428309209146214,0.6310834906649885
e2-tts,0.3711453744483705,0.37499999999999994,-0.0038546255516294647,0.7031938325991189,0.665748898678414,-0.037444933920704915,0.5768398268398268,0.4383116883116883,0.6925936123348018,0.6835077092511013
MegaTTS3,0.3571428571428213,0.3571428571428565,-3.519406988061746e-14,0.7709251101321586,0.7433134046570169,-0.02761170547514169,0.48156182212581344,0.45770065075921906,0.736784140969163,0.724669603524229
ZipVoice,0.34691629956057873,0.33333333333333376,0.013582966227244975,0.6422540381791483,0.6873164464023495,0.04506240822320118,0.6532608695652173,0.7402173913043478,0.6598751835535976,0.703928046989721
SoulX-Podcast,0.33333333333333376,0.33333333333333376,0.0,0.6994309838472834,0.7027349486049926,0.0033039647577092213,0.8358695652173913,0.8608695652173913,0.7523861967694567,0.7650513950073421
MiniCPM-o-2.6,0.3303964757709247,0.3000000000000029,0.030396475770921805,0.7543502202643172,0.7672907488986784,0.012940528634361237,0.8275862068965517,0.8362068965517241,0.7407488986784141,0.7451541850220265
Voxtream,0.3270925110123337,0.31938325991311967,0.007709251099214054,0.7098017621145374,0.7114537444933922,0.0016519823788547772,0.673866090712743,0.6814254859611231,0.6975648556045031,0.701419481155164
Chatterbox,0.28571428571438207,0.2857142857142857,9.636735853746359e-14,0.7168030207677785,0.7334015103838891,0.016598489616110657,0.7342733188720173,0.7180043383947939,0.7244336060415355,0.7161736941472625
RVC,0.28571428571428564,0.24889867841446692,0.036815607299818726,0.7556639395846445,0.7389081183134047,-0.016755821271239757,0.7603036876355749,0.7516268980477223,0.7376494650723726,0.7684078036500943
Metavoice-1B,0.28571428571409035,0.4285714285714274,-0.14285714285733703,0.776431718061674,0.6132001258653241,-0.16323159219634986,0.5780911062906724,0.47396963123644253,0.7857929515418502,0.6977658904971681
sesame_csm,0.2830396475764219,0.3259911894275231,-0.04295154185110117,0.800152490681125,0.7963402236529991,-0.003812267028125982,0.6959826275787188,0.6286644951140065,0.7699932226363944,0.7737631311419858
Nari Dia2,0.28193832599125357,0.27272727272733843,0.009211053263915137,0.7294753704445334,0.7153584301161393,-0.014116940328394056,0.7181719260065288,0.7812840043525572,0.722667200640769,0.7546055266319583
Qwen2.5-Omni,0.280837004404946,0.24779735682900866,0.03303964757593736,0.7711611076148521,0.802076777847703,0.03091567023285091,0.9598698481561823,0.7527114967462039,0.7686438011327879,0.7689584644430459
