system,eer,auc,acc,bal_acc,n_spoof
FireRedTTS-2.0,0.5374449339205691,0.49373623348017626,0.44805194805194803,0.5963656387665198,16
Index-TTS-1.5,0.4666666666666672,0.5101321585903084,0.6327193932827736,0.5838472834067547,15
Higgs-Audio-V2,0.4394273127763662,0.6147289791227735,0.9355531686358755,0.6279448381536104,23
Spark-TTS-0.5B,0.4374999999999708,0.5604350220264318,0.6861471861471862,0.6254129955947136,16
VoxCPM-1.5,0.4285714285717078,0.5851950912523599,0.27765726681127983,0.5980962869729389,14
griffin_lim,0.4,0.6504405286343612,0.7161430119176598,0.6590308370044053,15
WhisperSpeech,0.38095238095221634,0.6912104048667925,0.4327233584499462,0.663284036081393,21
OuteTTS,0.36363636363636614,0.6794653584301162,0.9129032258064517,0.6449239086904286,22
VoxCPM-0.5B,0.3623348017624168,0.753256081210496,0.5155746509129968,0.7092750430951924,23
Mars5,0.3623348017615772,0.6700165198237885,0.6114718614718615,0.6795154185022027,16
Index-TTS-2.0,0.35294117647024353,0.7334153925887535,0.7481081081081081,0.6985294117647058,17
f5-tts,0.3414096916294158,0.6888442601710288,0.7189189189189189,0.6836615703550143,17
FishTTS,0.3333333333333333,0.7516886930983847,0.7930660888407367,0.6981277533039647,15
microsoft_speecht5_tts,0.31718061673998216,0.7901064610866373,0.6663043478260869,0.7487151248164464,12
Metavoice-1B,0.3149779735694809,0.7686438011327879,0.5770065075921909,0.7852422907488987,14
vixTTS,0.3125000000000007,0.7478661894273128,0.6179653679653679,0.7749174008810573,16
e2-tts,0.31167400880900425,0.7362334801762115,0.7543290043290043,0.7215033039647577,16
Openaudio-S1-Mini,0.30176211453681057,0.777533039647577,0.6430868167202572,0.7388325991189427,25
Voxtream,0.2907488986790034,0.7454111600587371,0.652267818574514,0.7410058737151248,18
Nari Dia2,0.2885462555075627,0.7489987985582699,0.7116430903155604,0.7193632358830597,11
Qwen2.5-Omni,0.2857142857145241,0.8351164254247955,0.9490238611713666,0.7983008181246067,14
Chatterbox,0.28571428571438207,0.7968061674008811,0.8177874186550976,0.7316708621774701,14
Kani-TTS-370M,0.27272727272727265,0.7616139367240689,0.764961915125136,0.7463456147376852,11
ZipVoice,0.2676211453748314,0.7572503671071953,0.7326086956521739,0.7411894273127753,12
suno_bark,0.2632158590307635,0.8436910006293267,0.920824295010846,0.7839836375078666,14
RVC,0.2621145374444632,0.8039647577092511,0.7158351409978309,0.7853996224040276,14
SoulX-Podcast,0.25000000000025513,0.8210352422907489,0.8923913043478261,0.7810205580029368,12
MiniCPM-o-2.6,0.24999999999951303,0.8063325991189427,0.8146551724137931,0.7830396475770924,20
MegaTTS3,0.23127753304077156,0.8171019509125236,0.7689804772234273,0.777218376337319,14
sesame_csm,0.23076923076923084,0.8427651643510674,0.5635179153094463,0.7786343612334802,13
Microsoft VibeVoice 1.5B,0.23076923076904127,0.834717045069468,0.9337676438653637,0.8147661809556083,13
MatchaTTS,0.22797356828286705,0.8468061674008811,0.7723311546840959,0.7860132158590308,10
NeuTTS-Air,0.22797356828093868,0.8555892070484582,0.7727272727272727,0.7922632158590308,16
parler_tts_mini_v1,0.2235682819391048,0.8513215859030838,0.6980306345733042,0.8480176211453745,6
Llasa-8B,0.2222222222222244,0.857868330885952,0.7408207343412527,0.7861600587371513,18
Edge-TTS,0.22222222222179094,0.8256240822320118,0.9138495092693566,0.8464880078316201,9
Nari Dia-1.6B,0.21475770925143828,0.8346015218261914,0.7856365614798694,0.8017120544653584,11
Step-Audio-EditX,0.20154185022096865,0.8751501802162595,0.7116430903155604,0.8540748898678414,11
OpenVoiceV2,0.20000000000000207,0.8833333333333333,0.7984832069339112,0.8320117474302496,15
MeloTTS,0.19603524228997546,0.9125720094883091,0.751357220412595,0.873898678414097,13
Llasa-1B-Multilingual,0.17951541850180416,0.9339207048458149,0.8095238095238095,0.8723843612334802,16
Microsoft VibeVoice Large,0.17841409691753102,0.8927831044311998,0.7156756756756757,0.8263151075408137,17
Indri-TTS-0.1,0.1784140969170935,0.9156702328508496,0.7722342733188721,0.8491976085588421,14
Cartesia.ai (Sonic-3),0.1784140969156593,0.9247096515818982,0.7714907508161044,0.8843612334801763,11
parler_tts_mini_v0.1,0.17511013215816854,0.9063228815755376,0.825945945945946,0.8536214045089401,17
"Resemble.ai (April 12th, 2025)",0.169603524229621,0.9188081253059228,0.806695464362851,0.8742046010768478,18
minimax_speech-2.6-hd,0.16666666666666669,0.9030837004405287,0.8967391304347826,0.8654552129221733,12
facebook_mms-tts-eng,0.1666666666666666,0.9337983357807146,0.8801295896328294,0.8571953010279001,18
Ringg Squirrel TTS v1.0,0.1629955947128146,0.9440773372491434,0.8228941684665226,0.8824645129711208,18
DeepGram,0.15748898678516662,0.9369799314733236,0.9858233369683751,0.8828316201664219,9
kokoro,0.1574889867839545,0.9245884535126363,0.9881337648327939,0.8908822165546024,19
suno_bark-small,0.1431718061680107,0.9173222152297043,0.8405639913232104,0.8838892385147892,14
Kyutai-TTS,0.13876651982276214,0.943716670530953,0.837108953613808,0.9168502202643172,19
minimax_speech-02-turbo,0.13215859030953803,0.9572486984381257,0.8106637649619152,0.9041850220264317,11
Veena,0.125,0.9435572687224669,0.829004329004329,0.9129955947136563,16
Maya1 TTS,0.11764705882352917,0.9411764705882353,0.9589189189189189,0.892491578129049,17
Kitten-TTS-Nano-0.1,0.11674008810480162,0.9509911894273128,0.8839479392624728,0.9059156702328508,14
parler_tts_large_v1,0.10462555066184563,0.9548458149779735,0.89587852494577,0.9119729389553178,14
optispeech,0.07142857142852253,0.9830081812460667,0.8785249457700651,0.9383259911894273,14
Kitten-TTS-Nano-0.2,0.06250000000000007,0.9845126651982379,0.9632034632034632,0.9505781938325991,16
Supertonic,0.06250000000000001,0.983136013215859,0.9632034632034632,0.9505781938325991,16
Marvis-TTS,0.060572687225497045,0.9715859030837004,0.9397590361445783,0.9697136563876652,5
orpheus-tts-0.1-finetune,0.02092511013235118,0.9916900280336404,0.9793253536452666,0.9895374449339207,11
