rank,name,auc,ap,accuracy,f1,precision,recall,n_features,n_train,n_test,coef_l1,coef_max
1,head_l2_h2,0.9873333333333333,0.9979052979914204,0.9485714285714286,0.969283276450512,0.993006993006993,0.9466666666666667,128,2800,700,61.24674874120805,2.5333490061305177
2,gat_l1,0.9842500000000001,0.9973951655787028,0.9471428571428572,0.9688289806234203,0.979557069846678,0.9583333333333334,768,2800,700,200.23716457549511,1.1047340163647321
3,head_l2_h4,0.9838333333333333,0.9973076140329858,0.9314285714285714,0.9587628865979382,0.9893617021276596,0.93,128,2800,700,64.49042204246672,2.0669405484207237
4,head_l2_h1,0.9829,0.9972148437704462,0.9371428571428572,0.9623287671232876,0.9894366197183099,0.9366666666666666,128,2800,700,57.45244848619916,1.7648592017410092
5,bilstm,0.9814,0.9968600707102736,0.9428571428571428,0.9661016949152542,0.9827586206896551,0.95,768,2800,700,224.58962007021364,1.2992424388990287
6,head_l2_h0,0.9813166666666666,0.9969264990554407,0.9328571428571428,0.9597946963216424,0.9859402460456942,0.935,128,2800,700,60.362915520316704,1.5334610313558994
7,gat_l2,0.9808,0.9968116791698173,0.9485714285714286,0.9696969696969697,0.9795918367346939,0.96,768,2800,700,230.18521238943475,1.1566533319976282
8,head_l2_h5,0.98075,0.9968218404507682,0.93,0.9579399141630901,0.9876106194690265,0.93,128,2800,700,70.90272179898146,1.8980181727094458
9,head_l2_h3,0.9804833333333333,0.9967527234840012,0.9257142857142857,0.9554030874785592,0.9840989399293286,0.9283333333333333,128,2800,700,61.59042968783416,1.477661741362599
10,head_l1_h0,0.98005,0.9966216375248542,0.9214285714285714,0.9525452976704055,0.9874776386404294,0.92,128,2800,700,48.763115410065836,1.4406001709037088
11,head_l1_h4,0.97925,0.9966270468061498,0.9285714285714286,0.9570446735395188,0.9875886524822695,0.9283333333333333,128,2800,700,44.5994287357245,1.5896642438856157
12,head_l1_h2,0.979,0.9965078501207265,0.93,0.9580119965724079,0.9858906525573192,0.9316666666666666,128,2800,700,39.687103595974605,1.1417526031738046
13,head_l1_h1,0.9782833333333333,0.9962934134762992,0.9285714285714286,0.956896551724138,0.9910714285714286,0.925,128,2800,700,41.78864874843971,1.3035186700378525
14,gat_l0,0.9782666666666666,0.9960450869292352,0.9371428571428572,0.9628378378378378,0.976027397260274,0.95,768,2800,700,180.23942236102917,0.8957142797185323
15,head_l1_h3,0.9774666666666666,0.9961807305824459,0.9271428571428572,0.9559965487489216,0.9910554561717353,0.9233333333333333,128,2800,700,50.4847261952926,1.4029981788769141
16,head_l1_h5,0.977,0.9961508957920081,0.9257142857142857,0.9553264604810996,0.9858156028368794,0.9266666666666666,128,2800,700,43.622254248575175,2.495092785885776
17,head_l0_h1,0.9618166666666667,0.993422768163052,0.8914285714285715,0.9335664335664337,0.9816176470588235,0.89,128,2800,700,38.3840385127358,1.069918268065946
18,head_l0_h4,0.9591666666666666,0.9926989551461871,0.8942857142857142,0.9353146853146854,0.9834558823529411,0.8916666666666667,128,2800,700,39.96941912183463,1.4112347818373074
19,head_l0_h3,0.9572666666666666,0.9923720484829577,0.9,0.9395509499136442,0.974910394265233,0.9066666666666666,128,2800,700,40.81947234465855,1.0533339807723123
20,head_l0_h0,0.9552,0.9920156592287074,0.9042857142857142,0.9420916162489195,0.9784560143626571,0.9083333333333333,128,2800,700,39.65016128801301,1.0024953807737151
21,head_l0_h2,0.9541166666666667,0.9919865686577898,0.8985714285714286,0.9384215091066781,0.9783001808318263,0.9016666666666666,128,2800,700,36.936871010051924,0.937229895368824
22,head_l0_h5,0.9498333333333333,0.991258164568466,0.88,0.9270833333333334,0.967391304347826,0.89,128,2800,700,43.16878824291515,1.1534365438073104
