A,B,dAUC,ci_lo,ci_hi,p,seed_signs
iso_0.5,baseline,-0.0082124999999999,-0.011482225659988,-0.005275934155476,0.0,"[-1, 1, -1]"
iso_0.7,baseline,-0.0023364583333334,-0.0044958080204674,-0.0003932858254714,0.024,"[-1, 1, -1]"
iso_0.875,baseline,-0.0004880208333332,-0.00251280369113,0.0015727795489499,0.643,"[-1, 1, 1]"
iso_1.25,baseline,0.0019093749999999,-0.0003625229001788,0.004098500760218,0.107,"[1, 1, 1]"
shift_0.5,baseline,-0.0028890625,-0.0055108203493473,-0.0002373703244457,0.031,"[-1, 1, -1]"
shift_0.7,baseline,0.0012135416666666,-0.0010698562440982,0.0034752942258787,0.31,"[-1, 1, 1]"
shift_0.875,baseline,0.0007223958333332,-0.0013406618565873,0.0027149575196754,0.51,"[1, 1, 1]"
shift_1.25,baseline,0.0013796874999999,-0.0007637142305492,0.003497793584488,0.225,"[-1, 1, 1]"
iso_0.7_ungated,baseline,-0.0124234374999999,-0.0161599456575345,-0.008962936919868,0.0,"[-1, -1, -1]"
spec_0.6,baseline,-0.0058968749999999,-0.0085621161955139,-0.0034714383420946,0.0,"[-1, -1, -1]"
spec_0.8,baseline,-0.001075,-0.0031155093459724,0.0010236070500709,0.282,"[-1, 1, -1]"
spec_1.25,baseline,0.0032010416666666,0.0008215252361611,0.005275752740767,0.008,"[1, 1, 1]"
spec_1.6,baseline,0.005128125,0.0024568942464601,0.0078044088788212,0.0,"[1, 1, 1]"
smooth_3,baseline,0.0034901041666666,0.0013504484587542,0.0057687281476999,0.0,"[1, 1, 1]"
smooth_5,baseline,0.0019770833333333,-0.0003860890376596,0.0044212846567225,0.112,"[1, 1, 1]"
smooth_9,baseline,-0.0011177083333333,-0.0039482450768108,0.0016798132265526,0.463,"[-1, 1, -1]"
jitter_0.5,baseline,0.0012124999999999,-0.0009505151639563,0.0033172370682918,0.29,"[1, 1, 1]"
jitter_1.0,baseline,-0.0022229166666666,-0.004480132567998,-4.919366937410623e-05,0.046,"[-1, 1, -1]"
shuffle,baseline,-0.0170421875,-0.0230849455930646,-0.0114543577047229,0.0,"[-1, -1, -1]"
sub_top_0.7,baseline,-0.0319786458333333,-0.0378658543313124,-0.0260391213774781,0.0,"[-1, -1, -1]"
sub_res_0.7,baseline,0.003871875,0.0014665386927117,0.006364561488185,0.0,"[1, 1, 1]"
iso_0.7,shift_0.7,-0.00355,-0.0061288493868584,-0.0010323572257445,0.006,"[-1, -1, -1]"
iso_0.7,iso_0.7_ungated,0.0100869791666665,0.0069998717266344,0.0134160124189055,0.0,"[1, 1, 1]"
iso_0.7,smooth_3,-0.0058265625,-0.0086030563157122,-0.0031624287064877,0.0,"[-1, -1, -1]"
sub_top_0.7,sub_res_0.7,-0.0358505208333334,-0.042569419170589,-0.0293891168137904,0.0,"[-1, -1, -1]"
