feature,spearman,p_spearman,pearson,loo_r2,q_fdr
rog_L0,-0.3813855103120042,0.0024244569701977,-0.3381294370138659,0.0525672486173635,0.0727337091059329
part_ratio_L9,-0.3257535695399259,0.0104108353030902,-0.2481379805476752,-0.0202814808581086,0.0780812647731769
rog_L12,-0.3077736647276572,0.0158240846624768,-0.2417152670860604,-0.0151368724334834,0.0791204233123842
eff_rank_L9,-0.2655737704918032,0.0385842996078521,-0.2479682002818405,-0.0148728126792951,0.1446911235294454
eff_rank_L12,-0.2096245372818614,0.1049274957834857,-0.1589778137660433,-0.0360749031440215,0.2595726014578081
part_ratio_L12,-0.2085668958223162,0.1067327052843808,-0.1731480237837707,-0.0371504134923865,0.2595726014578081
rog_L9,-0.2056054997355896,0.111914947662266,-0.2724105967243045,0.0158029947219201,0.2595726014578081
vel_mean_L12,-0.1827075621364357,0.1587272575699931,-0.1908731466320776,-0.0204862459201524,0.3366050285519403
vel_mean_L9,-0.1760973030142781,0.1746076771907914,-0.2296798932578551,-0.0005124589014771,0.3366050285519403
vel_mean_L0,-0.157006874669487,0.2268912522645225,-0.2077782326772862,-0.0171480848230789,0.3582493456808251
tortuosity_L9,-0.147065044949762,0.2580487516927832,-0.1541218094653166,-0.030118910294079,0.3870731275391748
tortuosity_L12,-0.1341618191433104,0.3026209514477544,-0.1431347276838083,-0.0330116331217416,0.428325739601008
accel_mean_L12,-0.1098889476467477,0.3991937956428686,-0.0892409314876254,-0.0471365415488633,0.5063164606866954
accel_mean_L9,-0.1054468535166578,0.4186377606925993,-0.1097329777611987,-0.0482615926138778,0.5063164606866954
vel_cv_L9,-0.0167107350608143,0.8982884013118855,0.0772410333999555,-0.0581800984839135,0.9624518585484488
twonn_id_L12,-0.0109465891062929,0.9332716228004564,-0.1069837429207054,-0.0604899770097833,0.9654534028970236
curvature_L9,0.0041776837652035,0.9745088467650014,0.0755671985976593,-0.0584874147327341,0.9745088467650014
recurrence_L9,0.0250666318339743,0.8479329164300167,0.2231703198943139,-0.0335683052651822,0.9421476849222408
mu_norm_L9,0.0456372289793759,0.7269044291557398,-0.0004421634231396,-0.0520190804818483,0.8387358797950845
curvature_L12,0.1047065044949761,0.4219303839055794,0.1871690055272418,-0.0398153116631987,0.5063164606866954
twonn_id_L9,0.131041776837652,0.3141055423740725,-0.0352947815909816,-0.0777760992524039,0.428325739601008
dist_bona_centroid_L9,0.1615018508725541,0.2136996259716122,0.116942570835311,-0.0467162744434346,0.3561660432860203
recurrence_L12,0.1657134497414397,0.2018376723182331,0.0551298186237653,-0.1018660539175482,0.3561660432860203
vel_cv_L12,0.1741406663141194,0.1795226818943681,0.1840546542744061,-0.0372838537977664,0.3366050285519403
dist_bona_centroid_L12,0.205288207297726,0.1124814606317168,0.0956148824233396,-0.0560994504617449,0.2595726014578081
top1_frac_L12,0.2372818614489687,0.0655799380391488,0.1759739016688684,-0.0499226170682005,0.2185997934638296
mu_norm_L12,0.2894764674775251,0.0236482709834313,0.3179046344727705,0.0354788015387624,0.1013497327861344
vel_entropy_L12,0.309941829719725,0.0150641943508881,0.3850908429676675,0.0827831199338623,0.0791204233123842
top1_frac_L9,0.3320994182971972,0.0089283009102034,0.2198540778571558,-0.0452056034425292,0.0780812647731769
vel_entropy_L9,0.3518244315177154,0.0054277195715453,0.3881439306200451,0.0832801119428663,0.0780812647731769
