dataset,head,n_cal,EER,AUC,EER_det,dEER
asvspoof,centroid,5,0.0800225239503863,0.976264185515502,0.078125,0.0018975239503863
asvspoof,centroid,10,0.0796710680488282,0.9765501358278976,0.078125,0.0015460680488282
asvspoof,centroid,25,0.0850712811841267,0.9714328967816872,0.078125,0.0069462811841267
asvspoof,centroid,50,0.0896152360761741,0.968814535828792,0.078125,0.0114902360761741
asvspoof,centroid,100,0.0935121510267725,0.9648892101831238,0.078125,0.0153871510267725
asvspoof,centroid,250,0.0987498165450238,0.9627341261630143,0.078125,0.0206248165450237
asvspoof,lda,25,0.0803611368723239,0.9766174440861474,0.078125,0.0022361368723238
asvspoof,lda,50,0.0814568418603376,0.976242071825222,0.078125,0.0033318418603376
asvspoof,lda,100,0.0805429948730119,0.97573822558757,0.078125,0.0024179948730119
asvspoof,lda,250,0.0820604588594036,0.9757648186976629,0.078125,0.0039354588594036
asvspoof,pseudo_unsup,0,0.0760416666666666,0.9777078125,0.078125,-0.0020833333333333
itw,centroid,5,0.3490292400391195,0.7023899545443314,0.3633333333333333,-0.0143040932942137
itw,centroid,10,0.3443341271857409,0.7086678032013208,0.3633333333333333,-0.0189992061475923
itw,centroid,25,0.3119189444616008,0.7461163962214113,0.3633333333333333,-0.0514143888717325
itw,centroid,50,0.3385300788732888,0.7148566155608846,0.3633333333333333,-0.0248032544600444
itw,centroid,100,0.3096847546762369,0.7494644234746053,0.3633333333333333,-0.0536485786570963
itw,centroid,250,0.2871901018258981,0.7783000566226409,0.3633333333333333,-0.0761432315074351
itw,lda,25,0.2866370722022612,0.7839873762917018,0.3633333333333333,-0.076696261131072
itw,lda,50,0.2680233265433307,0.8052851645824639,0.3633333333333333,-0.0953100067900025
itw,lda,100,0.2546011488804878,0.821404701217799,0.3633333333333333,-0.1087321844528454
itw,lda,250,0.1922389969079225,0.8886730652569594,0.3633333333333333,-0.1710943364254107
itw,pseudo_unsup,0,0.365,0.6821359999999999,0.3633333333333333,0.0016666666666667
mlaad,centroid,5,0.2825560319338381,0.7844809501142302,0.2721125336188785,0.0104434983149596
mlaad,centroid,10,0.2904885898257985,0.7777244373175171,0.2721125336188785,0.01837605620692
mlaad,centroid,25,0.3270846089639994,0.7335590617858464,0.2721125336188785,0.0549720753451209
mlaad,centroid,50,0.2993851367270438,0.7660101531166958,0.2721125336188785,0.0272726031081653
mlaad,centroid,100,0.1941808764865611,0.8809760405592252,0.2721125336188785,-0.0779316571323174
mlaad,centroid,250,0.1658923563859105,0.9125179709193434,0.2721125336188785,-0.1062201772329679
mlaad,lda,25,0.323124373667864,0.7437882259334215,0.2721125336188785,0.0510118400489855
mlaad,lda,50,0.2398577627768675,0.8368288487265373,0.2721125336188785,-0.0322547708420109
mlaad,lda,100,0.1777275988307115,0.8973614630625638,0.2721125336188785,-0.0943849347881669
mlaad,lda,250,0.1360571520903313,0.9329850154106348,0.2721125336188785,-0.1360553815285471
mlaad,pseudo_unsup,0,0.2443149263124278,0.8183222496704646,0.2721125336188785,-0.0277976073064507
