system,s_along,sd_along,s_orth,vel_entropy_L12,rog_L12,hard_mlaad_gat,hard_aasist_zeroshot,hard_aasist_ft
Cartesia.ai (Sonic-3)|en,7.206027030944824,2.477801554527073,24.78179931640625,2.779823574745717,10.741512298583984,0.0614737685222266,0.2793352022426912,0.0345414497396876
Chatterbox|en,6.832940101623535,3.70531616972978,23.791837692260746,2.80342964994652,10.73007583618164,0.2594923431927837,0.2292322215229704,0.2087791063561987
DeepGram|en,7.171701908111572,2.613113028752205,25.2611141204834,2.7936055622527416,10.827760696411133,0.0427475934083863,0.5003671071953011,0.0744003915810083
Edge-TTS|en,5.014733791351318,4.496221167625422,31.521265029907227,2.7512740032333016,10.406357765197754,0.1464757709251101,0.1045031815956926,0.0550660792951541
FireRedTTS-2.0|en,2.785212755203247,6.234040835503214,26.567824363708496,2.8466397662354592,10.857375621795654,0.5228753671071953,0.5367566079295154,0.5079157488986784
FishTTS|en,7.147126197814941,3.657755152461108,25.08771324157715,2.801672619769398,10.865914344787598,0.2593734703866863,0.3955947136563876,0.0922907488986783
Higgs-Audio-V2|en,6.148266792297363,5.2816544784216655,25.67302131652832,2.8015422639971126,10.672139167785645,0.4754836238268531,0.441725723041563,0.1328289599693546
Index-TTS-1.5|en,9.05176830291748,5.1037135866799686,26.090059280395508,2.788401584812372,10.78337574005127,0.511086637298091,0.4766519823788546,0.3870778267254038
Index-TTS-2.0|en,8.27705192565918,2.726074174836312,24.79433822631836,2.786495991952504,10.826089859008787,0.3213267685928997,0.2754599637211712,0.3362917854366416
Indri-TTS-0.1|en,6.573573350906372,2.740330457935058,24.097180366516117,2.825799959694882,10.829505920410156,0.0364485001048877,0.2725770925110132,0.0771711768407804
Kani-TTS-370M|en,4.048766613006592,2.5469226657354964,25.53327751159668,2.763317104901938,10.81432819366455,0.2535709518088373,0.4111934321185423,0.0435522627152582
Kitten-TTS-Nano-0.1|en,7.298117876052856,2.459362505715568,23.806020736694336,2.7629948820632126,10.959823608398438,0.0123505349276273,0.2669131529263688,0.0002359974826935
Kitten-TTS-Nano-0.2|en,9.46077013015747,2.151585686155665,25.56725597381592,2.789183916662564,10.819292068481444,0.0284966960352422,0.210352422907489,0.003510462555066
Kyutai-TTS|en,6.27286434173584,2.3173186697808887,25.16894149780273,2.7975263085446214,10.970519065856934,0.0677602596800371,0.3945629492232785,0.0809181544168792
Llasa-1B-Multilingual|en,8.577775478363037,3.7653034882278007,27.22980308532715,2.799002282972036,10.653716087341309,0.1082736784140968,0.4661343612334803,0.1276156387665198
Llasa-8B|en,3.992802858352661,7.298357309931798,27.19132423400879,2.803257229165764,10.802917003631592,0.2577908304780552,0.4558859520313264,0.1297723935389133
