folder,file,size_kb
final_outputs2,build_package.py,40.1
final_outputs2,build_pdf.py,3.8
csv,cross_detector_agreement.csv,0.3
csv,i1_causal_contrasts.csv,2.3
csv,i2_feature_ranking.csv,3.3
csv,i7_fusion_eer_by_seed.csv,0.2
csv,j3_adaptive_head_calibration.csv,2.9
csv,j4_asvspoof21_per_attack.csv,2.2
csv,mlaad_hardness_master.csv,9.9
figures,fig1_hardness_vs_axis.pdf,35.1
figures,fig1_hardness_vs_axis.png,135.9
figures,fig2_cross_model_agreement.pdf,29.9
figures,fig2_cross_model_agreement.png,120.5
figures,fig3_predictive_strength.pdf,19.4
figures,fig3_predictive_strength.png,86.0
figures,fig4_domain_shift.pdf,32.7
figures,fig4_domain_shift.png,105.5
figures,fig5_fusion_ablation.pdf,18.5
figures,fig5_fusion_ablation.png,74.8
logs,i1_run.log,7.4
logs,i2_run.log,5.8
logs,i3_run.log,2.4
logs,i4_run.log,3.2
logs,i5_run.log,2.3
logs,i6_run.log,5.2
logs,j2_run.log,5.0
logs,j3_run.log,2.8
logs,j4_run.log,12.6
logs,j5_run.log,1.5
logs,j6_run.log,1.4
final_outputs2,paper_style_summary.pdf,11.6
report,paper_style_summary.md,12.9
summary_assets,key_numbers.json,1.0
tables,table1_fusion_eer.md,0.7
tables,table2_hardness_law.md,0.7
tables,table3_cross_detector_agreement.md,0.3
tables,table4_generality_decomp.md,0.8
