aug_set,model,file,position,insert_s0,insert_s1,n_in,n_out,logit_in,logit_out,logit_in_minus_out
asv19+bark,asv19,wavs/spoof_00272.wav,end,2.06,8.12,23,7,2.286980734571167,5.604261892182486,-3.3172811576113195
asv19+bark,mlaad_cal,wavs/spoof_00272.wav,end,2.06,8.12,23,7,7.263716511104418,8.773545946393694,-1.5098294352892765
asv19+bark,asv19,wavs/spoof_01103.wav,end,3.15,6.74,13,11,1.5440361929627566,0.9031853025609796,0.640850890401777
asv19+bark,mlaad_cal,wavs/spoof_01103.wav,end,3.15,6.74,13,11,9.9843095265902,6.904939413070679,3.0793701135195217
asv19+bark,asv19,wavs/spoof_01525.wav,start,0.0,14.32,56,4,4.4308784031974415,8.554195880889893,-4.123317477692451
asv19+bark,mlaad_cal,wavs/spoof_01525.wav,start,0.0,14.32,56,4,9.170531792300087,8.748120427131653,0.42241136516843447
asv19+bark,asv19,wavs/spoof_01424.wav,end,2.3,5.28,11,8,1.9697836634110322,3.2820538701489568,-1.3122702067379246
asv19+bark,mlaad_cal,wavs/spoof_01424.wav,end,2.3,5.28,11,8,7.578623468225652,3.5369649566709995,4.041658511554653
asv19+bark,asv19,wavs/spoof_00855.wav,start,0.0,8.39,32,16,4.273372585885227,8.334879651665688,-4.061507065780461
asv19+bark,mlaad_cal,wavs/spoof_00855.wav,start,0.0,8.39,32,16,8.05521772801876,7.592658460140228,0.4625592678785324
asv19+bark,asv19,wavs/spoof_00730.wav,start,0.0,2.97,10,5,2.4891364514827727,2.713655698299408,-0.22451924681663504
asv19+bark,mlaad_cal,wavs/spoof_00730.wav,start,0.0,2.97,10,5,7.870403480529785,9.408559036254882,-1.5381555557250968
asv19+bark,asv19,wavs/spoof_00318.wav,start,0.0,1.57,5,11,8.156057929992675,3.9124350331046363,4.24362289688804
asv19+bark,mlaad_cal,wavs/spoof_00318.wav,start,0.0,1.57,5,11,5.642337131500244,5.742507262663408,-0.1001701311631642
asv19+bark,asv19,wavs/spoof_00100.wav,start,0.0,4.83,18,16,0.46212781137890285,7.870144248008728,-7.408016436629826
