group,file_path,start_s,end_s,pair_id,speaker,source,source_split
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_train_00677_LA_0082.wav,0.4321,4.7046,0,LA_0082,ASVspoof2019_LA,train
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset4/m1735_0_laughter.wav,0.0,-1.0,0,m1735,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_validation_00112_LA_0106.wav,0.7987,6.6867,1,LA_0106,ASVspoof2019_LA,validation
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset1/f0593_0_laughter.wav,0.0,-1.0,1,f0593,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_01703_LA_0068.wav,0.416,6.304,2,LA_0068,ASVspoof2019_LA,test
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset4/m1569_0_laughter.wav,0.0,-1.0,2,m1569,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00883_LA_0022.wav,0.2107,4.3067,3,LA_0022,ASVspoof2019_LA,test
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset1/f0081_0_laughter.wav,0.0,-1.0,3,f0081,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00959_LA_0042.wav,0.6458,2.6085,4,LA_0042,ASVspoof2019_LA,test
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset2/f2535_1_laughter.wav,0.0,-1.0,4,f2535,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_01703_LA_0068.wav,3.9975,7.7127,5,LA_0068,ASVspoof2019_LA,test
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset4/m2477_0_laughter.wav,0.0,-1.0,5,m2477,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00085_LA_0013.wav,0.2242,5.8562,6,LA_0013,ASVspoof2019_LA,test
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset1/m3348_0_laughter.wav,0.0,-1.0,6,m3348,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_01615_LA_0013.wav,0.0012,2.4759,7,LA_0013,ASVspoof2019_LA,test
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset2/f3247_0_laughter.wav,0.0,-1.0,7,f3247,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_train_00677_LA_0082.wav,0.0214,2.5814,8,LA_0082,ASVspoof2019_LA,train
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset2/f1930_0_laughter.wav,0.0,-1.0,8,f1930,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_00161_LA_0059.wav,0.0622,6.3769,9,LA_0059,ASVspoof2019_LA,test
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset4/m1895_0_laughter.wav,0.0,-1.0,9,m1895,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_validation_00297_LA_0107.wav,0.9022,3.2915,10,LA_0107,ASVspoof2019_LA,validation
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset5/m2647_0_laughter.wav,0.0,-1.0,10,m2647,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_test_01404_LA_0050.wav,0.1587,3.7427,11,LA_0050,ASVspoof2019_LA,test
laugh-vs,laughsmi/data/vocalsound/audio_16k_raw/subset4/m2311_0_laughter.wav,0.0,-1.0,11,m2311,VocalSound,
speech-asv-bona,laughsmi/data/asvspoof2019_bonafide_wavs/asv2019_train_00004_LA_0084.wav,0.6863,4.0299,12,LA_0084,ASVspoof2019_LA,train
