group,file_path,start_s,end_s,pair_id,speaker
laugh-real,data/vocalsound/audio_16k_raw/subset4/m1736_0_laughter.wav,0,-1,,m1736
laugh-real,data/vocalsound/audio_16k_raw/subset3/m0875_0_laughter.wav,0,-1,,m0875
laugh-real,data/vocalsound/audio_16k_raw/subset1/m3358_0_laughter.wav,0,-1,,m3358
laugh-real,data/vocalsound/audio_16k_raw/subset2/f2868_0_laughter.wav,0,-1,,f2868
laugh-real,data/vocalsound/audio_16k_raw/subset5/m3140_0_laughter.wav,0,-1,,m3140
laugh-real,data/vocalsound/audio_16k_raw/subset4/m2082_0_laughter.wav,0,-1,,m2082
laugh-real,data/vocalsound/audio_16k_raw/subset4/m2081_0_laughter.wav,0,-1,,m2081
laugh-real,data/vocalsound/audio_16k_raw/subset4/m1555_0_laughter.wav,0,-1,,m1555
laugh-real,data/vocalsound/audio_16k_raw/subset2/f3222_0_laughter.wav,0,-1,,f3222
laugh-real,data/vocalsound/audio_16k_raw/subset3/m0011_0_laughter.wav,0,-1,,m0011
laugh-real,data/vocalsound/audio_16k_raw/subset2/f2942_0_laughter.wav,0,-1,,f2942
laugh-real,data/vocalsound/audio_16k_raw/subset1/f0271_0_laughter.wav,0,-1,,f0271
laugh-real,data/vocalsound/audio_16k_raw/subset5/m2995_0_laughter.wav,0,-1,,m2995
laugh-real,data/vocalsound/audio_16k_raw/subset1/f0348_0_laughter.wav,0,-1,,f0348
laugh-real,data/vocalsound/audio_16k_raw/subset3/m0713_0_laughter.wav,0,-1,,m0713
laugh-real,data/vocalsound/audio_16k_raw/subset2/f2771_0_laughter.wav,0,-1,,f2771
laugh-real,data/vocalsound/audio_16k_raw/subset5/m2967_0_laughter.wav,0,-1,,m2967
laugh-real,data/vocalsound/audio_16k_raw/subset3/m1178_0_laughter.wav,0,-1,,m1178
laugh-real,data/vocalsound/audio_16k_raw/subset4/m1848_0_laughter.wav,0,-1,,m1848
laugh-real,data/vocalsound/audio_16k_raw/subset1/f1047_0_laughter.wav,0,-1,,f1047
laugh-real,data/vocalsound/audio_16k_raw/subset4/m1958_0_laughter.wav,0,-1,,m1958
laugh-real,data/vocalsound/audio_16k_raw/subset4/m1503_0_laughter.wav,0,-1,,m1503
laugh-real,data/vocalsound/audio_16k_raw/subset1/f1327_0_laughter.wav,0,-1,,f1327
laugh-real,data/vocalsound/audio_16k_raw/subset2/f2462_0_laughter.wav,0,-1,,f2462
laugh-real,data/vocalsound/audio_16k_raw/subset1/f1559_0_laughter.wav,0,-1,,f1559
laugh-real,data/vocalsound/audio_16k_raw/subset5/m2690_0_laughter.wav,0,-1,,m2690
laugh-real,data/vocalsound/audio_16k_raw/subset1/f0859_0_laughter.wav,0,-1,,f0859
laugh-real,data/vocalsound/audio_16k_raw/subset3/m0880_0_laughter.wav,0,-1,,m0880
laugh-real,data/vocalsound/audio_16k_raw/subset2/f2351_0_laughter.wav,0,-1,,f2351
laugh-real,data/vocalsound/audio_16k_raw/subset2/f2257_0_laughter.wav,0,-1,,f2257
laugh-real,data/vocalsound/audio_16k_raw/subset2/f1786_0_laughter.wav,0,-1,,f1786
