group,file_path,start_s,end_s,pair_id,speaker
laugh-bona,data/in_the_wild/45.wav,9.875,13.675,0,Mark Zuckerberg
laugh-bona,data/in_the_wild/72.wav,0.9845,2.7347,1,Barack Obama
laugh-bona,data/in_the_wild/82.wav,9.0,9.5,2,Alec Guinness
laugh-bona,data/in_the_wild/113.wav,7.9466,10.2241,3,Donald Trump
laugh-bona,data/in_the_wild/113.wav,14.3336,15.1752,4,Donald Trump
laugh-bona,data/in_the_wild/129.wav,4.643,6.1722,5,Milton Friedman
laugh-bona,data/in_the_wild/158.wav,5.2319,7.7846,6,Donald Trump
laugh-bona,data/in_the_wild/223.wav,2.9853,5.6618,7,Barack Obama
laugh-bona,data/in_the_wild/244.wav,3.0361,4.7711,8,Barack Obama
laugh-bona,data/in_the_wild/330.wav,0.0,0.5,9,Bernie Sanders
laugh-bona,data/in_the_wild/358.wav,0.0,0.5091,10,Ayn Rand
laugh-bona,data/in_the_wild/365.wav,2.5143,3.431,11,Barack Obama
laugh-bona,data/in_the_wild/419.wav,0.0,0.5,12,Barack Obama
laugh-bona,data/in_the_wild/465.wav,0.0,0.5088,13,Barack Obama
laugh-bona,data/in_the_wild/564.wav,1.7643,2.6465,14,Mark Zuckerberg
laugh-bona,data/in_the_wild/575.wav,1.0024,2.3472,15,2Pac
laugh-bona,data/in_the_wild/575.wav,3.912,5.379,16,2Pac
laugh-bona,data/in_the_wild/575.wav,12.4939,16.357,17,2Pac
laugh-bona,data/in_the_wild/575.wav,18.8998,19.9756,18,2Pac
laugh-bona,data/in_the_wild/576.wav,0.0,0.5,19,Bernie Sanders
laugh-bona,data/in_the_wild/591.wav,0.0,0.5,20,Bernie Sanders
laugh-bona,data/in_the_wild/603.wav,0.8669,2.1402,21,Mark Zuckerberg
laugh-bona,data/in_the_wild/672.wav,9.24,10.0222,22,Barack Obama
laugh-bona,data/in_the_wild/672.wav,14.6667,15.3022,23,Barack Obama
laugh-bona,data/in_the_wild/672.wav,18.6756,20.8756,24,Barack Obama
laugh-bona,data/in_the_wild/719.wav,4.5709,6.456,25,Barack Obama
laugh-bona,data/in_the_wild/799.wav,0.0,1.1333,26,Bernie Sanders
laugh-bona,data/in_the_wild/830.wav,0.0,0.5252,27,Barack Obama
laugh-bona,data/in_the_wild/837.wav,1.317,2.1502,28,Bernie Sanders
laugh-bona,data/in_the_wild/907.wav,0.0,0.7413,29,Queen Elizabeth II
laugh-bona,data/in_the_wild/926.wav,1.4796,2.4951,30,Barack Obama
laugh-bona,data/in_the_wild/954.wav,0.0,0.7483,31,Bill Clinton
laugh-bona,data/in_the_wild/966.wav,4.4778,5.1711,32,Barack Obama
laugh-bona,data/in_the_wild/975.wav,0.0,0.5,33,Barack Obama
laugh-bona,data/in_the_wild/1016.wav,0.0,0.55,34,Bernie Sanders
laugh-bona,data/in_the_wild/1044.wav,7.9051,12.9577,35,Tucker Carlson
laugh-bona,data/in_the_wild/1044.wav,20.1134,24.8758,36,Tucker Carlson
laugh-bona,data/in_the_wild/1056.wav,3.8473,6.1723,37,Bill Clinton
laugh-bona,data/in_the_wild/1067.wav,0.0,0.5,38,Mark Zuckerberg
laugh-bona,data/in_the_wild/1134.wav,0.0,0.5,39,Barack Obama
laugh-bona,data/in_the_wild/1147.wav,2.1951,3.3659,40,Donald Trump
laugh-bona,data/in_the_wild/1166.wav,3.2949,5.0713,41,Donald Trump
laugh-bona,data/in_the_wild/1189.wav,1.7821,6.0992,42,Barack Obama
laugh-bona,data/in_the_wild/1200.wav,1.2234,1.8351,43,Bill Clinton
laugh-bona,data/in_the_wild/1206.wav,4.6253,5.8398,44,Bob Ross
laugh-bona,data/in_the_wild/1262.wav,0.0,0.7897,45,Bill Clinton
laugh-bona,data/in_the_wild/1278.wav,3.5971,5.7721,46,Donald Trump
laugh-bona,data/in_the_wild/1284.wav,3.6914,6.3061,47,Norm MacDonald
laugh-bona,data/in_the_wild/1349.wav,0.0,1.7516,48,Barack Obama
laugh-bona,data/in_the_wild/1357.wav,0.0,1.5902,49,Bill Clinton
laugh-bona,data/in_the_wild/1377.wav,0.0,0.5,50,Donald Trump
laugh-bona,data/in_the_wild/1468.wav,0.0,0.8194,51,Barack Obama
laugh-bona,data/in_the_wild/1504.wav,6.0961,9.6014,52,Adam Driver
laugh-bona,data/in_the_wild/1579.wav,0.0,0.5,53,JFK
laugh-bona,data/in_the_wild/1615.wav,1.9636,2.7636,54,Bill Clinton
laugh-bona,data/in_the_wild/1628.wav,0.0,0.6934,55,Arnold Schwarzenegger
laugh-bona,data/in_the_wild/1660.wav,0.0,0.5,56,Barack Obama
laugh-bona,data/in_the_wild/1673.wav,0.0,0.7225,57,Bill Clinton
laugh-bona,data/in_the_wild/1734.wav,3.1298,4.9679,58,Bill Burr
laugh-bona,data/in_the_wild/1734.wav,10.9792,12.246,59,Bill Burr
laugh-bona,data/in_the_wild/1806.wav,1.2082,2.5774,60,Bernie Sanders
laugh-bona,data/in_the_wild/1934.wav,0.0,0.5,61,Bernie Sanders
laugh-bona,data/in_the_wild/1939.wav,0.0,0.5,62,Barack Obama
laugh-bona,data/in_the_wild/1959.wav,15.4085,16.12,63,Malcolm X
laugh-bona,data/in_the_wild/1976.wav,0.0,0.5,64,Barack Obama
laugh-bona,data/in_the_wild/2230.wav,2.054,3.8973,65,Barack Obama
laugh-bona,data/in_the_wild/2293.wav,0.0,1.2385,66,2Pac
laugh-bona,data/in_the_wild/2317.wav,2.4962,3.9699,67,Barack Obama
laugh-bona,data/in_the_wild/2377.wav,2.0927,4.3348,68,Donald Trump
laugh-bona,data/in_the_wild/2387.wav,0.0,0.5,69,Alexandria Ocasio-Cortez
laugh-bona,data/in_the_wild/2501.wav,0.0,2.0914,70,Donald Trump
laugh-bona,data/in_the_wild/2553.wav,0.1728,1.9011,71,Arnold Schwarzenegger
laugh-bona,data/in_the_wild/2581.wav,2.3831,3.6686,72,Barack Obama
laugh-bona,data/in_the_wild/2619.wav,2.6729,3.72,73,Bernie Sanders
laugh-bona,data/in_the_wild/2643.wav,2.2,2.7,74,Boris Johnson
laugh-bona,data/in_the_wild/2663.wav,3.356,4.8058,75,Donald Trump
laugh-bona,data/in_the_wild/2710.wav,0.0,1.1343,76,Bill Clinton
laugh-bona,data/in_the_wild/2722.wav,0.0,0.8615,77,Bill Clinton
laugh-bona,data/in_the_wild/2773.wav,0.0,0.5,78,Bernie Sanders
laugh-bona,data/in_the_wild/2773.wav,6.3142,7.2734,79,Bernie Sanders
laugh-bona,data/in_the_wild/2789.wav,2.8943,3.9492,80,Barack Obama
laugh-bona,data/in_the_wild/2822.wav,5.6569,6.4728,81,Barack Obama
laugh-bona,data/in_the_wild/2906.wav,5.0292,7.0731,82,Jimmy Carter
laugh-bona,data/in_the_wild/3014.wav,0.0,0.5,83,Christopher Hitchens
laugh-bona,data/in_the_wild/3026.wav,0.0,0.5,84,Donald Trump
laugh-bona,data/in_the_wild/3065.wav,0.0,0.5667,85,Donald Trump
laugh-bona,data/in_the_wild/3083.wav,2.0046,4.1891,86,Barack Obama
laugh-bona,data/in_the_wild/3146.wav,10.6767,16.2752,87,Alan Watts
laugh-bona,data/in_the_wild/3221.wav,0.2281,1.8247,88,FDR
laugh-bona,data/in_the_wild/3301.wav,4.516,6.0941,89,FDR
laugh-bona,data/in_the_wild/3301.wav,8.0365,10.7558,90,FDR
laugh-bona,data/in_the_wild/3301.wav,14.6647,16.4614,91,FDR
laugh-bona,data/in_the_wild/3301.wav,17.0927,19.1807,92,FDR
laugh-bona,data/in_the_wild/3305.wav,0.0,2.2426,93,Donald Trump
laugh-bona,data/in_the_wild/3323.wav,0.6839,3.9009,94,Mark Zuckerberg
laugh-bona,data/in_the_wild/3460.wav,3.9219,6.4726,95,Bill Clinton
laugh-bona,data/in_the_wild/3463.wav,0.0,0.5,96,Bill Clinton
laugh-bona,data/in_the_wild/3479.wav,0.0,0.5,97,Barack Obama
laugh-bona,data/in_the_wild/3527.wav,0.0,3.2656,98,Mark Zuckerberg
laugh-bona,data/in_the_wild/3527.wav,9.2866,11.1745,99,Mark Zuckerberg
laugh-bona,data/in_the_wild/3570.wav,0.0,1.1717,100,Barack Obama
laugh-bona,data/in_the_wild/3583.wav,1.4073,1.9073,101,Barack Obama
laugh-bona,data/in_the_wild/3687.wav,3.39,4.17,102,Bill Clinton
laugh-bona,data/in_the_wild/3691.wav,8.8323,10.2743,103,Alexandria Ocasio-Cortez
laugh-bona,data/in_the_wild/3696.wav,0.0,0.8095,104,Adam Driver
laugh-bona,data/in_the_wild/3715.wav,0.0,0.7412,105,Donald Trump
laugh-bona,data/in_the_wild/3717.wav,0.0,0.5,106,Gilbert Gottfried
laugh-bona,data/in_the_wild/3758.wav,0.0,1.0713,107,Barack Obama
laugh-bona,data/in_the_wild/3806.wav,4.9537,5.9286,108,Barack Obama
laugh-bona,data/in_the_wild/3808.wav,0.0,1.2306,109,Donald Trump
laugh-bona,data/in_the_wild/3821.wav,2.2558,3.3673,110,Bill Clinton
