feature,feature_label,generator,n_real,n_synthetic,cliffs_delta,delta_ci_lo,delta_ci_hi,boot_se,p_raw,p_raw_ref,q_bh,bold_in_paper_p05,survives_fdr_q05,survives_fdr_q10
bout_duration_s,Bout duration,audioldm2,20,20,-0.58,-0.895,-0.2,0.1771,0.0017806005832907757,0.0017806005832907,0.007631145356960143,True,True,True
bout_duration_s,Bout duration,bark_laughs_inline,20,20,-0.885,-0.995,-0.725,0.0721,1.8029691721083094e-06,1.8029691721083092e-06,5.37953737891808e-05,True,True,True
bout_duration_s,Bout duration,bark_laughter_token,20,20,-0.25,-0.59,0.12,0.1816,0.1805773768084653,0.1805773768084653,0.31866595907376233,False,False,False
bout_duration_s,Bout duration,parler_tts,20,20,-0.005,-0.375,0.36,0.1868,0.9892089047911196,0.9892089047911196,0.9892089047911196,False,False,False
bout_duration_s,Bout duration,xtts,20,20,-0.14,-0.49,0.23,0.1845,0.4569506196695641,0.4569506196695641,0.6092674928927521,False,False,False
f0_mean_hz,F0 mean,audioldm2,19,20,-0.8211,-1.0,-0.5474,0.1234,1.2471804640506605e-05,1.2471804640506603e-05,0.00012471804640506602,True,True,True
f0_mean_hz,F0 mean,bark_laughs_inline,19,20,0.2211,-0.1789,0.5789,0.1927,0.24359449916703413,0.2435944991670341,0.3950181067573526,False,False,False
f0_mean_hz,F0 mean,bark_laughter_token,19,20,0.1211,-0.2422,0.4895,0.1909,0.5272591878694695,0.5272591878694695,0.6590739848368369,False,False,False
f0_mean_hz,F0 mean,parler_tts,19,19,-0.1745,-0.5346,0.2078,0.1893,0.3654456999043998,0.3654456999043998,0.522065285577714,False,False,False
f0_mean_hz,F0 mean,xtts,19,14,-0.2932,-0.6466,0.1053,0.1938,0.16079663075908746,0.1607966307590874,0.292357510471068,False,False,False
f0_range_hz,F0 range,audioldm2,19,20,-0.2789,-0.637,0.1053,0.1958,0.1401595042307657,0.1401595042307657,0.271276459801482,False,False,False
f0_range_hz,F0 range,bark_laughs_inline,19,20,-0.3316,-0.6842,0.0737,0.1937,0.07907160885075645,0.0790716088507564,0.17571468633501422,False,False,False
f0_range_hz,F0 range,bark_laughter_token,19,20,-0.2684,-0.6105,0.1105,0.1823,0.1559201526064689,0.1559201526064689,0.2923502861371292,False,False,False
f0_range_hz,F0 range,parler_tts,19,19,-0.5235,-0.8006,-0.1911,0.1554,0.006063894097557054,0.006063894097557,0.018191682292671,True,True,True
f0_range_hz,F0 range,xtts,19,14,-0.0526,-0.4662,0.3684,0.2131,0.8128364831578699,0.8128364831578699,0.8556173506924947,False,False,False
