file,basename,set,label,speaker,system_id,augmented,position,insert_file
wavs/bona_12704.wav,bona_12704.wav,base,bona-fide,LA_0008,-,0,,
wavs/bona_47922.wav,bona_47922.wav,base,bona-fide,LA_0012,-,0,,
wavs/bona_07855.wav,bona_07855.wav,base,bona-fide,LA_0061,-,0,,
wavs/bona_45026.wav,bona_45026.wav,base,bona-fide,LA_0018,-,0,,
wavs/bona_06438.wav,bona_06438.wav,base,bona-fide,LA_0027,-,0,,
wavs/bona_66038.wav,bona_66038.wav,base,bona-fide,LA_0066,-,0,,
wavs/bona_44756.wav,bona_44756.wav,base,bona-fide,LA_0021,-,0,,
wavs/bona_26816.wav,bona_26816.wav,base,bona-fide,LA_0061,-,0,,
wavs/bona_44984.wav,bona_44984.wav,base,bona-fide,LA_0034,-,0,,
wavs/bona_30714.wav,bona_30714.wav,base,bona-fide,LA_0033,-,0,,
wavs/bona_56447.wav,bona_56447.wav,base,bona-fide,LA_0033,-,0,,
wavs/bona_00916.wav,bona_00916.wav,base,bona-fide,LA_0004,-,0,,
wavs/bona_47256.wav,bona_47256.wav,base,bona-fide,LA_0020,-,0,,
wavs/bona_28555.wav,bona_28555.wav,base,bona-fide,LA_0031,-,0,,
wavs/bona_70231.wav,bona_70231.wav,base,bona-fide,LA_0033,-,0,,
wavs/bona_24444.wav,bona_24444.wav,base,bona-fide,LA_0045,-,0,,
wavs/bona_31058.wav,bona_31058.wav,base,bona-fide,LA_0022,-,0,,
wavs/bona_15097.wav,bona_15097.wav,base,bona-fide,LA_0067,-,0,,
wavs/bona_65336.wav,bona_65336.wav,base,bona-fide,LA_0056,-,0,,
wavs/bona_10055.wav,bona_10055.wav,base,bona-fide,LA_0034,-,0,,
wavs/bona_40245.wav,bona_40245.wav,base,bona-fide,LA_0039,-,0,,
wavs/bona_33220.wav,bona_33220.wav,base,bona-fide,LA_0017,-,0,,
wavs/bona_21795.wav,bona_21795.wav,base,bona-fide,LA_0024,-,0,,
wavs/bona_00690.wav,bona_00690.wav,base,bona-fide,LA_0066,-,0,,
wavs/bona_03487.wav,bona_03487.wav,base,bona-fide,LA_0055,-,0,,
wavs/bona_51681.wav,bona_51681.wav,base,bona-fide,LA_0068,-,0,,
wavs/bona_05376.wav,bona_05376.wav,base,bona-fide,LA_0065,-,0,,
wavs/bona_10770.wav,bona_10770.wav,base,bona-fide,LA_0024,-,0,,
wavs/bona_39588.wav,bona_39588.wav,base,bona-fide,LA_0004,-,0,,
wavs/bona_19511.wav,bona_19511.wav,base,bona-fide,LA_0051,-,0,,
wavs/bona_30429.wav,bona_30429.wav,base,bona-fide,LA_0014,-,0,,
wavs/bona_61160.wav,bona_61160.wav,base,bona-fide,LA_0044,-,0,,
wavs/bona_36949.wav,bona_36949.wav,base,bona-fide,LA_0068,-,0,,
wavs/bona_64729.wav,bona_64729.wav,base,bona-fide,LA_0019,-,0,,
wavs/bona_10896.wav,bona_10896.wav,base,bona-fide,LA_0002,-,0,,
wavs/bona_30600.wav,bona_30600.wav,base,bona-fide,LA_0049,-,0,,
wavs/bona_37529.wav,bona_37529.wav,base,bona-fide,LA_0033,-,0,,
wavs/bona_50647.wav,bona_50647.wav,base,bona-fide,LA_0043,-,0,,
wavs/bona_58902.wav,bona_58902.wav,base,bona-fide,LA_0065,-,0,,
wavs/bona_11912.wav,bona_11912.wav,base,bona-fide,LA_0034,-,0,,
wavs/bona_00212.wav,bona_00212.wav,base,bona-fide,LA_0007,-,0,,
wavs/bona_34815.wav,bona_34815.wav,base,bona-fide,LA_0044,-,0,,
wavs/bona_27264.wav,bona_27264.wav,base,bona-fide,LA_0055,-,0,,
wavs/bona_71235.wav,bona_71235.wav,base,bona-fide,LA_0052,-,0,,
wavs/bona_56587.wav,bona_56587.wav,base,bona-fide,LA_0041,-,0,,
wavs/bona_18541.wav,bona_18541.wav,base,bona-fide,LA_0067,-,0,,
wavs/bona_33453.wav,bona_33453.wav,base,bona-fide,LA_0027,-,0,,
wavs/bona_32560.wav,bona_32560.wav,base,bona-fide,LA_0011,-,0,,
wavs/bona_10543.wav,bona_10543.wav,base,bona-fide,LA_0047,-,0,,
wavs/bona_62858.wav,bona_62858.wav,base,bona-fide,LA_0048,-,0,,
wavs/bona_58455.wav,bona_58455.wav,base,bona-fide,LA_0010,-,0,,
wavs/bona_45245.wav,bona_45245.wav,base,bona-fide,LA_0054,-,0,,
wavs/bona_46754.wav,bona_46754.wav,base,bona-fide,LA_0004,-,0,,
wavs/bona_54861.wav,bona_54861.wav,base,bona-fide,LA_0010,-,0,,
wavs/bona_31377.wav,bona_31377.wav,base,bona-fide,LA_0063,-,0,,
wavs/bona_25258.wav,bona_25258.wav,base,bona-fide,LA_0026,-,0,,
