system,n_utts_base,s_along_mean_base,s_along_median_base,sd_along_base,s_orth_base,n_utts_aug,s_along_mean_aug,s_along_median_aug,sd_along_aug,s_orth_aug,delta_s_along_mean,delta_sd_along,layer
A07,11,27.984555851329457,27.952640533447266,4.093268779442098,25.752431349320844,8,22.98715367913246,20.560901641845703,14.087871398230382,58.32460284233093,-4.9974021721969955,9.994602618788285,12
A08,10,21.77231636047363,26.78919792175293,8.899842102680832,27.301768112182618,5,22.652384805679322,26.403470993041992,14.577062067486061,52.227761840820314,0.8800684452056906,5.677219964805229,12
A09,11,21.631663495844062,19.477746963500977,4.54696937606557,27.433957706798207,7,23.465734345572336,27.895828247070312,19.052331029285217,78.65642029898507,1.834070849728274,14.505361653219648,12
A10,10,24.992610931396484,23.992238998413086,5.867510978338363,27.63141498565674,6,24.175718625386555,21.52155876159668,10.597175679801069,78.38369496663411,-0.8168923060099296,4.729664701462705,12
A11,9,23.410271962483723,22.979646682739258,6.287971950742966,31.19857449001736,8,29.784655332565308,31.132898330688477,7.658562372353424,82.25628614425659,6.374383370081585,1.3705904216104585,12
A12,8,28.27960467338562,25.888017654418945,6.596884715941287,30.525875568389893,6,36.54001553853353,37.29496383666992,9.934587296497732,96.4690710703532,8.260410865147911,3.337702580556445,12
A13,12,30.427647749582928,30.06714153289795,6.346189215159881,30.419744332631428,8,34.84779405593872,32.65497303009033,8.30706831317532,99.80491590499878,4.420146306355793,1.9608790980154387,12
A14,13,18.415956277113693,17.642959594726562,3.090858151606235,30.29025884775015,11,21.849771087819878,19.635196685791016,14.20815907040336,73.92609596252441,3.4338148107061848,11.117300918797124,12
A15,8,16.40290641784668,15.737407684326172,3.951620092783866,29.11623454093933,7,23.141042249543325,19.624774932861328,14.911519494828347,57.65583828517369,6.7381358316966455,10.959899402044481,12
A16,14,20.460898194994247,19.790623664855957,7.309033537992321,33.56523936135428,7,21.253109046391078,18.050151824951172,14.803621679506142,70.28295298985073,0.7922108513968311,7.4945881415138205,12
A17,19,10.429485371238307,9.26161003112793,10.414779666017276,45.13747727243524,13,23.142016685926,25.072025299072266,9.88100781260945,102.90968498816856,12.712531314687691,-0.533771853407826,12
A18,14,6.709313137190683,9.535130977630615,10.269077614339134,35.1304863521031,11,22.863332098180596,24.411636352539062,14.945636868883701,80.07671685652299,16.154018960989912,4.676559254544568,12
A19,11,7.872181523929942,8.775321960449219,10.045630503667892,24.36963722922585,8,27.396921277046204,26.476149559020996,13.195113677438911,77.2888400554657,19.52473975311626,3.149483173771019,12
A07,11,33.979358499700375,33.86839294433594,2.8888319174265367,18.680689985101875,8,3.6871242225170135,1.6474403738975525,7.07699550545078,45.52598285675049,-30.29223427718336,4.188163588024244,9
A08,10,25.198034715652465,25.752464294433594,9.53050943427986,20.599113082885744,5,16.852263832092284,15.414064407348633,16.99259368386879,30.78386688232422,-8.345770883560181,7.46208424958893,9
A09,11,29.690733649513938,29.255794525146484,5.223607968219465,22.093784505670722,7,9.31483336857387,13.094230651855469,18.964282570110665,58.57731655665806,-20.375900280940066,13.7406746018912,9
A10,10,34.1446496963501,35.216238021850586,5.064979397365586,22.185302448272704,6,8.717959304650625,10.36996841430664,13.244228314401811,59.619399070739746,-25.426690391699474,8.179248917036226,9
A11,9,35.23286692301432,35.10904312133789,3.650038168670013,24.126965204874676,8,12.84796354174614,8.874878883361816,11.907931052352296,79.35741782188416,-22.38490338126818,8.257892883682283,9
A12,8,27.49516797065735,25.079545974731445,7.56901581177273,20.657437562942505,6,10.748284568389257,6.397542774677277,13.344694981345578,67.62905502319336,-16.74688340226809,5.7756791695728475,9
A13,12,33.33724149068197,34.36969184875488,4.4086430933451854,21.20249875386556,8,5.091602921485901,2.948833465576172,13.508657649673951,66.17715787887573,-28.245638569196068,9.100014556328766,9
A14,13,27.92379878117488,27.807788848876953,5.060144613635404,22.78453724200909,11,11.51021539352157,11.589908599853516,14.599946421690532,58.859953446821734,-16.41358338765331,9.539801808055127,9
A15,8,23.606507778167725,22.646818161010742,5.646961802800583,23.082341194152832,7,10.715469224112374,11.39188289642334,15.84571729380701,46.723777770996094,-12.891038554055351,10.198755491006427,9
A16,14,19.387149947030203,18.73832416534424,5.774346849743342,25.285796982901438,7,6.258938789367676,13.545767784118652,13.763609529955627,57.27639307294573,-13.128211157662527,7.989262680212285,9
A17,19,1.7778103669223033,1.7786622047424316,13.404569027828757,30.1786783117997,13,5.88822217629506,3.705845832824707,9.844292644659095,79.14238562950722,4.110411809372756,-3.5602763831696613,9
A18,14,0.926280038697379,-1.8632997274398804,13.463211448090282,28.36350611277989,11,6.139563311230052,9.264372825622559,16.027468679741137,57.44854146784002,5.213283272532673,2.5642572316508545,9
A19,11,6.362718538804487,8.692400932312012,14.231353500664353,21.003677021373402,8,10.623704880475998,10.107473969459534,12.90647394296938,57.55825972557068,4.260986341671511,-1.3248795576949721,9
A07,11,25.6472580649636,25.089374542236328,2.4377524260638577,30.816903374411844,8,14.0865997672081,8.828765630722046,10.106649070962883,44.88097596168518,-11.560658297755502,7.668896644899025,0
