wavlm_layer,held_out_generator,n_per_class,auc_mean,auc_std,repeats
0,audioldm2,10,0.6227999999999999,0.17877404733349864,50
0,bark_laughs_inline,10,0.7356,0.11013010487600564,50
0,bark_laughter_token,10,0.8283999999999999,0.08755249853659232,50
0,parler_tts,10,0.6294,0.18118951404537736,50
0,xtts,10,0.41340000000000005,0.10975627544701032,50
3,audioldm2,10,0.6890000000000001,0.19135568975078845,50
3,bark_laughs_inline,10,0.9289999999999999,0.07545197147855053,50
3,bark_laughter_token,10,0.9007999999999999,0.0798207992944195,50
3,parler_tts,10,0.8118000000000001,0.09817718675945038,50
3,xtts,10,0.6566000000000001,0.0892549158310062,50
12,audioldm2,10,0.6172,0.18693357108876937,50
12,bark_laughs_inline,10,0.916,0.0532916503778969,50
12,bark_laughter_token,10,0.8172,0.07093771916265704,50
12,parler_tts,10,0.9068,0.10060695800987128,50
12,xtts,10,0.7504000000000001,0.09182505104817532,50
