layer,real_vs_synth_auc
0,0.957
1,0.982
2,0.979
3,0.994
4,0.993
5,0.993
6,0.989
7,0.994
8,0.989
9,0.972
10,0.963
11,0.964
12,0.964
13,0.969
14,0.957
15,0.953
16,0.939
17,0.939
18,0.946
19,0.949
20,0.944
21,0.947
22,0.942
23,0.939
24,0.939

acoustic_descriptor_probe_auc,0.743
best_layer,3,auc,0.994

descriptor,corr_with_wavlm,single_feat_auc,real_mean,synth_mean
f0_mean,-0.104,0.575,230.497,194.883
f0_std,-0.028,0.437,33.14,29.418
voiced_frac,0.174,0.654,0.293,0.46
spec_flatness,0.055,0.465,0.042,0.048
cent_mean,-0.159,0.613,2001.517,1788.962
cent_std,-0.047,0.426,642.925,650.504
hnr,0.064,0.544,0.512,7.93
onset_rate,-0.265,0.669,7.433,6.242
rms_cv,0.063,0.401,0.853,0.905
