attack,n_spoof,C,T,EER_GOAT,AUC_GOAT,Acc_GOAT,EER_robust_GOAT,AUC_robust_GOAT,Acc_robust_GOAT
A07,300,-10.472748111089071,2.7365044706711092,0.06000000000000007,0.9847833333333333,0.9375757575757576,0.031333333334388105,0.9965255555555556,0.9624242424242424
A08,300,-10.815650924046833,2.774875090383088,0.050666666667137025,0.9864566666666666,0.9472727272727273,0.019999999999999768,0.9969233333333334,0.983030303030303
A09,300,-10.703390990893046,2.7547615765754063,0.07333333333285022,0.980971111111111,0.9245454545454546,0.015666666667404634,0.9986855555555555,0.9839393939393939
A10,300,-10.414781215985617,2.724683398197381,0.14800000000065971,0.9364644444444444,0.9151515151515152,0.06999999999999934,0.979028888888889,0.9445454545454546
A11,300,-10.62966065565745,2.7342357481206454,0.15000000000016828,0.9317344444444444,0.8857575757575757,0.048999999998577744,0.9885777777777778,0.9609090909090909
A12,300,-10.64293916384379,2.7313256839837305,0.046666666666666544,0.9928866666666666,0.9696969696969697,0.04299999999931174,0.99173,0.9545454545454546
A13,300,-10.392842594782511,2.7628241007474132,0.006666666666666677,0.9993455555555556,0.9915151515151515,0.006666666666668726,0.9997244444444444,0.993030303030303
A14,300,-10.873270756403604,2.754866812536951,0.15833333333378433,0.9124444444444444,0.8396969696969697,0.03800000000079201,0.9915655555555555,0.9596969696969697
A15,300,-10.860852403640747,2.757797499959974,0.2016666666660908,0.8938566666666667,0.7333333333333333,0.041999999999106634,0.99027,0.9533333333333334
A16,300,-10.713789246877035,2.723455099168308,0.06100000000061857,0.98625,0.9224242424242424,0.057333333334193395,0.9872088888888888,0.9515151515151515
A17,300,-10.992854331334431,2.7674046045973104,0.04333333333333817,0.9896966666666666,0.9609090909090909,0.049999999999697356,0.99024,0.9506060606060606
A18,300,-10.92429007212321,2.7473634768296287,0.1666666666663675,0.9152555555555555,0.8793939393939394,0.11900000000051794,0.9469533333333334,0.8793939393939394
A19,300,-10.917482296625773,2.7762833402356355,0.19333333333324898,0.8824955555555556,0.8427272727272728,0.16333333333335964,0.91005,0.8354545454545454
