attack,label,C,T,rog_L12,vel_L9,logit_GOAT,logit_robust_GOAT
A15,1,-10.759824752807617,2.641560301832834,10.759824752807617,2.641560301832834,-3.3037545680999756,3.7941596508026123
-,0,-10.434928894042969,2.768079411187702,10.434928894042969,2.768079411187702,-1.8106608390808105,0.5046707391738892
A13,1,-10.582140922546387,2.887978212302914,10.582140922546387,2.887978212302914,7.12035608291626,8.522109985351562
-,0,-10.51172161102295,2.7768200597736037,10.51172161102295,2.7768200597736037,-1.5193618535995483,-4.160804748535156
A09,1,-11.037771224975586,2.711400434835767,11.037771224975586,2.711400434835767,5.8430376052856445,6.614634037017822
-,0,-11.0866060256958,2.831905234222248,11.0866060256958,2.831905234222248,-3.4399876594543457,-1.8183071613311768
A10,1,-10.478880882263184,2.7865271389692197,10.478880882263184,2.7865271389692197,3.0064268112182617,1.5281333923339844
-,0,-10.75748062133789,2.7011578135802323,10.75748062133789,2.7011578135802323,-8.398886680603027,-2.233635425567627
A09,1,-10.898564338684082,2.7116878301239846,10.898564338684082,2.7116878301239846,3.8647847175598145,5.166285991668701
A09,1,-10.71100902557373,2.793292010067814,10.71100902557373,2.793292010067814,3.96234393119812,4.948822498321533
A11,1,-10.878161430358887,2.809783454468888,10.878161430358887,2.809783454468888,0.5777927041053772,4.1197309494018555
-,0,-11.347676277160645,2.790401511465036,11.347676277160645,2.790401511465036,-6.223652362823486,-3.189776659011841
A10,1,-9.93205451965332,2.6621890987243346,9.93205451965332,2.6621890987243346,7.993505477905273,6.94388484954834
-,0,-10.584014892578125,2.715982587249999,10.584014892578125,2.715982587249999,-4.977470874786377,-2.4988811016082764
A19,1,-10.173148155212402,2.7847738377102966,10.173148155212402,2.7847738377102966,0.833047091960907,-2.97811222076416
A12,1,-11.117727279663086,2.715960997255687,11.117727279663086,2.715960997255687,5.303713798522949,7.5994553565979
A18,1,-11.059206008911133,2.7472568192173585,11.059206008911133,2.7472568192173585,1.0175219774246216,2.4468326568603516
-,0,-11.166801452636719,2.782349950081443,11.166801452636719,2.782349950081443,-3.5452349185943604,-1.9996823072433472
-,0,-11.131806373596191,2.797297690382689,11.131806373596191,2.797297690382689,-11.269196510314941,-4.988325119018555
A16,1,-9.332320213317871,2.779011188914982,9.332320213317871,2.779011188914982,2.801900625228882,9.438169479370117
-,0,-10.601303100585938,2.755608903641873,10.601303100585938,2.755608903641873,-16.339155197143555,-8.536255836486816
-,0,-11.335227966308594,2.769404737615014,11.335227966308594,2.769404737615014,-2.5390617847442627,-1.4969635009765625
-,0,-11.053119659423828,2.7919409523785275,11.053119659423828,2.7919409523785275,0.3445460796356201,0.2348969578742981
A10,1,-10.783448219299316,2.7489366559689494,10.783448219299316,2.7489366559689494,4.685420036315918,0.4123818874359131
A12,1,-10.314172744750977,2.649475554560472,10.314172744750977,2.649475554560472,7.610157012939453,9.152105331420898
-,0,-11.156594276428223,2.708993384946096,11.156594276428223,2.708993384946096,-5.502406597137451,-6.313406467437744
A17,1,-11.122641563415527,2.702833004845859,11.122641563415527,2.702833004845859,6.4291534423828125,7.836143493652344
A19,1,-10.669244766235352,2.812527856384282,10.669244766235352,2.812527856384282,-3.2735893726348877,1.2996008396148682
A17,1,-10.50274658203125,2.8377356322021656,10.50274658203125,2.8377356322021656,5.579381942749023,5.8555216789245605
A12,1,-10.967061042785645,2.8351713322255887,10.967061042785645,2.8351713322255887,5.493613243103027,10.93136978149414
-,0,-9.896590232849121,2.632656642593275,9.896590232849121,2.632656642593275,-3.4427764415740967,-1.2728277444839478
-,0,-11.11967658996582,2.721287791561147,11.11967658996582,2.721287791561147,-7.9750237464904785,-5.077334403991699
-,0,-10.513466835021973,2.7735954067685316,10.513466835021973,2.7735954067685316,-2.844515085220337,-1.2740567922592163
A08,1,-10.369661331176758,2.7993111880040717,10.369661331176758,2.7993111880040717,4.084450721740723,6.736005783081055
A17,1,-11.411989212036133,2.6911364248786382,11.411989212036133,2.6911364248786382,6.425273418426514,8.450531005859375
A08,1,-11.124473571777344,2.847551178444674,11.124473571777344,2.847551178444674,1.1584903001785278,7.318382740020752
-,0,-10.846564292907715,2.701900102243565,10.846564292907715,2.701900102243565,0.9146643280982971,-0.3928457498550415
-,0,-10.50504207611084,2.8225245339410208,10.50504207611084,2.8225245339410208,-9.89156436920166,-3.025597333908081
A09,1,-10.54184627532959,2.7876306513589677,10.54184627532959,2.7876306513589677,7.930700302124023,7.843567848205566
-,0,-11.317764282226562,2.8799537850078147,11.317764282226562,2.8799537850078147,-6.0894622802734375,-2.150456190109253
A11,1,-10.815423965454102,2.731902079017781,10.815423965454102,2.731902079017781,-8.904746055603027,-1.5953086614608765
A19,1,-11.047892570495605,2.686481201279488,11.047892570495605,2.686481201279488,2.5828263759613037,2.7186007499694824
