model,intervention,param,measured_T,C_atL9,EER,AUC,Acc
robust_GOAT,T_smooth,3.0,2.626467357993971,4.123577117919922,0.11624999999999988,0.9564109375,0.893125
robust_GOAT,T_smooth,5.0,2.6742800973284373,3.6002211570739746,0.2287499999992249,0.8705625,0.775
robust_GOAT,T_smooth,9.0,2.6605359084497904,3.000473737716675,0.40625000000130274,0.6613984375,0.61375
robust_GOAT,T_smooth,15.0,2.621345259633358,2.4827513694763184,0.41249999999999926,0.6339250000000001,0.62875
robust_GOAT,T_jitter,0.5,2.7078427904505666,5.072563171386719,0.0799999999999994,0.9786625,0.920625
robust_GOAT,T_jitter,1.0,2.643588918984559,5.7580060958862305,0.08624999999949165,0.973025,0.915
robust_GOAT,T_jitter,2.0,2.6436642954301894,7.86954927444458,0.1387499999999998,0.9382171874999999,0.865
robust_GOAT,T_jitter,4.0,2.605833243324584,13.25220775604248,0.34750000000001663,0.7167593750000001,0.659375
GOAT,T_smooth,3.0,2.6439677804327553,4.11609411239624,0.12874999999999995,0.941928125,0.875625
GOAT,T_smooth,5.0,2.6883110406598343,3.597285270690918,0.1974999999999952,0.8842609375,0.80625
GOAT,T_smooth,9.0,2.666727904629658,2.990054130554199,0.34500000000000003,0.7478531250000001,0.6625
GOAT,T_smooth,15.0,2.599845511722351,2.4614460468292236,0.3449999999998932,0.7216437500000001,0.683125
GOAT,T_jitter,0.5,2.676598025041463,5.066752910614014,0.12000000000000038,0.953365625,0.885
GOAT,T_jitter,1.0,2.632052780198198,5.760966777801514,0.13249999999999995,0.9428203124999999,0.86875
GOAT,T_jitter,2.0,2.6783812498171873,7.869026184082031,0.17499999999969196,0.906846875,0.834375
GOAT,T_jitter,4.0,2.620524712689768,13.360426902770996,0.31125000000012265,0.7578765625,0.695625
