encoder,layer,rog_r,rog_p,rog_rho,rog_loo,vent_r,vent_p,vent_rho,vent_loo
WavLM,0,0.09126760350273097,0.47683976071970746,0.07229262672811061,-0.05892038768097563,0.021201563937692652,0.8689984150760952,0.0697484639016897,-0.08552167416856049
WavLM,1,0.16057401293699403,0.20869179796045456,0.07330069124423963,-0.048060638731235894,0.07674162697579998,0.5499714879846082,0.1112711213517665,-0.06233526337923134
WavLM,2,0.020198429851250897,0.8751458260494412,-0.05664362519201229,-0.08788491944750532,0.16864011089801065,0.1864278570388278,0.16282642089093705,-0.028016941102049886
WavLM,3,0.08853328826061035,0.4901965946525232,-0.020737327188940093,-0.08787027996956986,0.10059161124192163,0.4327905176778607,0.13143241167434716,-0.04802951596391658
WavLM,4,0.14834962397824905,0.2459090283605462,0.07358870967741937,-0.05798494569151158,0.20656218552854266,0.10431710866453664,0.1830357142857143,-0.019586208084112045
WavLM,5,0.22844034618411746,0.07173862067533522,0.18337173579109065,-0.014611269991286147,0.07854334389670861,0.5406165201536645,0.041282642089093706,-0.0519283877432839
WavLM,6,0.15721172874588835,0.21850603029637494,0.06730030721966207,-0.05888924629008829,-0.03765709120805376,0.7695126018887019,-0.05179531490015361,-0.061727725942764655
WavLM,7,0.13214405878041294,0.3018878432790042,0.03489823348694316,-0.07351537120245744,-0.07437560327277956,0.5623733633500198,-0.08016513056835638,-0.05570522667914424
WavLM,8,0.09106733233050228,0.4778114203501656,0.04123463901689708,-0.05327534154471847,-0.006365242244787566,0.9605118218116773,0.012432795698924732,-0.04998887280587616
WavLM,9,0.14393842948182034,0.26038971413016126,0.10402265745007681,-0.037380938065189495,0.2714843639220344,0.03137449194543777,0.30174731182795705,0.024352621911586048
WavLM,10,0.23338536363820342,0.0656427140937548,0.23396697388632876,-0.00531284555182121,0.10226673902788497,0.4251277771618733,0.10311059907834101,-0.03724500241687401
WavLM,11,0.21465713265795985,0.09113788201167777,0.11357526881720431,-0.01863159285023941,0.15459840067523517,0.22635421719465534,0.22758256528417822,-0.030799267586813173
WavLM,12,0.3479747953813867,0.0051968842506337504,0.23315092165898624,0.06936517277356358,0.013462088078015222,0.9166003638836211,0.08755760368663595,-0.07216413610868622
HuBERT,0,0.10810546079361597,0.39903083523722505,0.04579493087557604,-0.05826446069029334,-0.06604283058500017,0.6070676474171345,0.04008256528417819,-0.11508770294619564
HuBERT,1,0.16593490404877675,0.19369530394339166,0.07018049155145929,-0.048259090403959926,0.040687647868903665,0.7515377920413753,0.10023041474654379,-0.07936920963153149
