variant,type,pearson_r,spearman_rho,loo_r2,p,rho_vs_reference
T_l2_s1 (original),T,0.2714843639220344,0.30174731182795705,0.024352621911586048,0.03137449194543777,1.0
T_cosine_s1,T,0.01909708380008327,0.07910906298003072,-0.0860024329593887,0.8819035584333731,0.23823924731182797
T_l2_s2,T,0.31290265770111886,0.22393433179723501,0.026240760112224315,0.012528457199320529,0.3143721198156682
T_l2_s4,T,-0.05424791364896436,-0.05611559139784946,-0.056347890525890065,0.6728291867740609,0.08165322580645161
T_window5,T,-0.02560914853713497,-0.021505376344086023,-0.06602213257400913,0.8420839709715251,0.11295122887864824
T_window11,T,-0.3890888155677856,-0.4532930107526883,0.10001744136564805,0.0016235227409916412,-0.1112711213517665
T_kmeans40,T,-0.026274561997762576,0.003744239631336406,-0.060240249361017684,0.8380354967300234,0.04262672811059908
C_L9,C,0.14393842948182034,0.10402265745007681,-0.037380938065189495,0.26038971413016126,1.0
C_L10,C,0.23338536363820342,0.23396697388632876,-0.00531284555182121,0.0656427140937548,1.0
C_L11,C,0.21465713265795985,0.11357526881720431,-0.01863159285023941,0.09113788201167777,1.0
C_L12,C,0.3479747953813867,0.23315092165898624,0.06936517277356358,0.0051968842506337504,1.0
