perturbation,param,metric,mean_val,r_with_hardness,delta_mean,delta_r
none,original,C,-10.76007067967975,0.3479747953813867,0.0,0.0
none,original,T,2.7754690416762817,0.2714843639220344,0.0,0.0
smoothing,win=3,T,2.6221200690226514,0.17610398900679888,-0.15334897265363034,-0.09538037491523552
smoothing,win=3,C,-9.45432766657027,0.21675597715525424,1.3057430131094794,-0.13121881822613246
smoothing,win=5,T,2.4237515046590286,0.08589853686813134,-0.35171753701725317,-0.18558582705390306
smoothing,win=5,C,-8.36235060767522,0.08242210622843218,2.39772007200453,-0.2655526891529545
smoothing,win=11,T,2.4432792189749364,-0.31502445309330396,-0.33218982270134534,-0.5865088170153383
smoothing,win=11,C,-6.403832132854159,-0.031113419528983288,4.35623854682559,-0.37908821491037
smoothing,win=21,T,2.4808566546017596,-0.07763064802796714,-0.2946123870745221,-0.34911501195000155
smoothing,win=21,C,-4.866566508535355,-0.09990011800772285,5.893504171144395,-0.44787491338910956
pca_compress,k=32,C,-10.064021398150732,0.33407044037427874,0.6960492815290173,-0.01390435500710796
pca_compress,k=64,C,-10.656603427160354,0.359910979103958,0.10346725251939581,0.01193618372257127
pca_compress,k=128,C,-10.758859634399414,0.3479940463825537,0.0012110452803355543,1.925100116700884e-05
pca_compress,k=256,C,-10.760070641835531,0.34797492985021505,3.7844218425675535e-08,1.344688283499984e-07
pca_compress,k=512,C,-10.760070641835531,0.34797492985021505,3.7844218425675535e-08,1.344688283499984e-07
shuffle,mean3trials,T,2.268570485426248,0.012229515301304561,-0.5068985562500337,-0.25925484862072984
shuffle,mean3trials,C,-10.760070649404376,0.3479751046552441,3.027537331945496e-08,3.0927385741286173e-07
gaussian_noise,sigma=0.1,T,2.786895237647525,0.23872936667283215,0.011426195971243391,-0.03275499724920225
gaussian_noise,sigma=0.1,C,-10.77991872449426,0.3480922212335531,-0.019848044814510857,0.00011742585216639734
gaussian_noise,sigma=0.5,T,2.7108760683558475,0.10924449865895723,-0.06459297332043423,-0.16223986526307715
gaussian_noise,sigma=0.5,C,-11.242861335330982,0.348650422382605,-0.48279065565123247,0.0006756270012183152
gaussian_noise,sigma=1.0,T,2.664362577183994,0.09708037848004017,-0.11110646449228767,-0.17440398544199423
gaussian_noise,sigma=1.0,C,-12.579071113502486,0.34957412213954664,-1.8190004338227368,0.0015993267581599357
gaussian_noise,sigma=2.0,T,2.6537919947163777,0.24042243766866261,-0.121677046959904,-0.031061926253371785
gaussian_noise,sigma=2.0,C,-16.89661141299226,0.3514725354721997,-6.136540733312511,0.003497740090812995
