system,label,C,T,rog_L12,vel_L9
Cartesia.ai (Sonic-3),spoof,-10.743000030517578,2.646721928768864,10.743000030517578,2.646721928768864
Cartesia.ai (Sonic-3),spoof,-10.898625373840332,2.7717959484254493,10.898625373840332,2.7717959484254493
Cartesia.ai (Sonic-3),spoof,-10.442362785339355,2.8273633851785376,10.442362785339355,2.8273633851785376
Cartesia.ai (Sonic-3),spoof,-10.722016334533691,2.879286996085914,10.722016334533691,2.879286996085914
Cartesia.ai (Sonic-3),spoof,-10.443855285644531,2.8090205547189444,10.443855285644531,2.8090205547189444
Cartesia.ai (Sonic-3),spoof,-11.236910820007324,2.790101201189123,11.236910820007324,2.790101201189123
Cartesia.ai (Sonic-3),spoof,-10.920021057128906,2.8483887266387162,10.920021057128906,2.8483887266387162
Cartesia.ai (Sonic-3),spoof,-10.518776893615723,2.7458042784660934,10.518776893615723,2.7458042784660934
Cartesia.ai (Sonic-3),spoof,-10.776002883911133,2.7479890237011255,10.776002883911133,2.7479890237011255
Cartesia.ai (Sonic-3),spoof,-10.743210792541504,2.7595773398345846,10.743210792541504,2.7595773398345846
Cartesia.ai (Sonic-3),spoof,-10.64766788482666,2.753638254694953,10.64766788482666,2.753638254694953
Chatterbox,spoof,-10.661096572875977,2.753187365287524,10.661096572875977,2.753187365287524
Chatterbox,spoof,-10.496073722839355,2.738347202633138,10.496073722839355,2.738347202633138
Chatterbox,spoof,-10.722633361816406,2.78587829325638,10.722633361816406,2.78587829325638
Chatterbox,spoof,-10.768329620361328,2.825432771053062,10.768329620361328,2.825432771053062
Chatterbox,spoof,-10.857994079589844,2.8394164656189367,10.857994079589844,2.8394164656189367
Chatterbox,spoof,-10.788548469543457,2.7932684973606943,10.788548469543457,2.7932684973606943
Chatterbox,spoof,-10.450836181640625,2.781499943195111,10.450836181640625,2.781499943195111
Chatterbox,spoof,-10.621382713317871,2.6156628447486368,10.621382713317871,2.6156628447486368
Chatterbox,spoof,-10.856073379516602,2.8087240289375055,10.856073379516602,2.8087240289375055
Chatterbox,spoof,-10.653780937194824,2.8127866988312644,10.653780937194824,2.8127866988312644
Chatterbox,spoof,-10.737700462341309,2.752291277431132,10.737700462341309,2.752291277431132
Chatterbox,spoof,-10.985123634338379,2.721808686847584,10.985123634338379,2.721808686847584
Chatterbox,spoof,-10.81918716430664,2.83319687071934,10.81918716430664,2.83319687071934
Chatterbox,spoof,-10.5371732711792,2.8240873026709497,10.5371732711792,2.8240873026709497
DeepGram,spoof,-10.712268829345703,2.895799832460604,10.712268829345703,2.895799832460604
DeepGram,spoof,-10.948137283325195,2.828154368412457,10.948137283325195,2.828154368412457
DeepGram,spoof,-10.819982528686523,2.8398697232560592,10.819982528686523,2.8398697232560592
DeepGram,spoof,-10.756438255310059,2.7757843972107534,10.756438255310059,2.7757843972107534
DeepGram,spoof,-10.71658706665039,2.72992872375379,10.71658706665039,2.72992872375379
DeepGram,spoof,-10.994969367980957,2.872578761919366,10.994969367980957,2.872578761919366
DeepGram,spoof,-10.827799797058105,2.7734945937540076,10.827799797058105,2.7734945937540076
DeepGram,spoof,-10.851578712463379,2.7501761860071543,10.851578712463379,2.7501761860071543
DeepGram,spoof,-10.902063369750977,2.738811767690976,10.902063369750977,2.738811767690976
Edge-TTS,spoof,-10.297868728637695,2.8637654043959406,10.297868728637695,2.8637654043959406
Edge-TTS,spoof,-9.462307929992676,2.4146366078942476,9.462307929992676,2.4146366078942476
Edge-TTS,spoof,-11.133033752441406,2.7355174191821536,11.133033752441406,2.7355174191821536
Edge-TTS,spoof,-10.990103721618652,2.850027807594984,10.990103721618652,2.850027807594984
Edge-TTS,spoof,-10.408382415771484,2.7853250663027933,10.408382415771484,2.7853250663027933
Edge-TTS,spoof,-9.936517715454102,2.767535512910795,9.936517715454102,2.767535512910795
Edge-TTS,spoof,-10.73591423034668,2.7754456598056256,10.73591423034668,2.7754456598056256
Edge-TTS,spoof,-10.735836029052734,2.887864396446404,10.735836029052734,2.887864396446404
Edge-TTS,spoof,-10.112464904785156,2.601295059623172,10.112464904785156,2.601295059623172
FireRedTTS-2.0,spoof,-10.614313125610352,2.7911281110052424,10.614313125610352,2.7911281110052424
FireRedTTS-2.0,spoof,-10.850062370300293,2.8810368664670585,10.850062370300293,2.8810368664670585
FireRedTTS-2.0,spoof,-10.864291191101074,2.798440994800764,10.864291191101074,2.798440994800764
FireRedTTS-2.0,spoof,-10.953577995300293,2.842822786104991,10.953577995300293,2.842822786104991
FireRedTTS-2.0,spoof,-10.459216117858887,2.709798067717932,10.459216117858887,2.709798067717932
FireRedTTS-2.0,spoof,-10.444574356079102,2.886855408621897,10.444574356079102,2.886855408621897
