speaker,mean_C,mean_T,n_spoof,n_bona,eer_mlaad_robust_goat,eer_robust_goat,within_eer_mlaad_robust_goat,within_eer_robust_goat
Frank Sinatra,-10.262596321105956,2.4955499807265396,5,1,0.725333333333015,0.20000000000031073,,
Robert Kardashian,-10.119062900543213,2.6657004598673124,16,14,0.6433333333337489,0.3125,0.5000000000000939,0.1875000000002622
Nelson Mandela,-10.725778644149369,2.7588314811659678,74,12,0.581081081081081,0.3116666666662373,0.4999999999992954,0.4864864864864865
Alan Watts,-10.585161322041563,2.7117188620119554,76,14,0.5657894736842105,0.3026315789473668,0.3571428571422187,0.28571428571275814
Winston Churchill,-10.807817994731746,2.737753640981148,73,109,0.5329999999992754,0.1619999999988879,0.45205479452055075,0.2385321100918103
Richard Nixon,-10.634360994611468,2.746778642709636,35,39,0.5210000000013689,0.2285714285715966,0.4102564102548486,0.17948717948747583
Mr. Rogers,-10.6549935164275,2.648301150686146,27,6,0.5185185185185185,0.2962962962963145,0.3333333333337656,0.16666666666758662
JFK,-10.585421675129941,2.7842003645950286,76,61,0.5106666666656239,0.28947368421052627,0.4473684210530135,0.26229508196806206
Arnold Schwarzenegger,-10.92396141052246,2.758947523837132,25,44,0.4799999999999999,0.18233333333317653,0.52,0.27999999999995734
George W. Bush,-10.645232240358988,2.7353464120264768,48,3,0.47916666666666646,0.2196666666656309,,
Barack Obama,-10.63020633829051,2.7640279810710133,87,474,0.46899999999948216,0.31166666666681797,0.4409282700429675,0.2298850574712644
Bill Clinton,-10.733061181313081,2.7446719964975146,191,189,0.46866666666556395,0.31937172774869105,0.4136125654450262,0.3193717277486949
Bob Ross,-10.99501698811849,2.6999082907793297,15,10,0.4666666666666672,0.08200000000015845,0.4666666666666667,0.10000000000047592
Jerry Seinfeld,-10.775983076829176,2.771396990223113,13,0,0.4615384615384631,0.12033333333219517,,
Malcolm X,-10.790400187174479,2.762156903672207,18,15,0.45300000000057644,0.22966666666680632,0.5,0.5555555555555116
Orson Welles,-10.772032221158346,2.7212234001851274,48,5,0.4496666666656876,0.12133333333266028,0.40000000000035574,0.2000000000006843
Scarlett Johansson,-10.701546880933973,2.7809193237590124,9,6,0.44444444444447817,0.22222222222179094,0.44444444444439324,0.4999999999988963
Bernie Sanders,-10.804527930311254,2.7528661102512646,296,251,0.44333333333263336,0.3040540540540596,0.450199203187573,0.2988047808760531
Martin Luther King,-10.632804029517704,2.726455380540867,72,66,0.441666666666498,0.23611111111112065,0.3888888888888889,0.34848484848483974
