metric,layer,pearson_r,pearson_p,spearman_r,spearman_p,n
eff_rank,0,-0.07174,0.57633,-0.00134,0.99166,63
eff_rank,1,-0.03416,0.79043,0.00950,0.94106,63
eff_rank,2,-0.02945,0.81880,0.03187,0.80414,63
eff_rank,3,-0.05309,0.67945,0.00542,0.96635,63
eff_rank,4,-0.05953,0.64302,0.00859,0.94671,63
eff_rank,5,-0.06616,0.60641,0.00936,0.94196,63
eff_rank,6,-0.06103,0.63468,0.01003,0.93780,63
eff_rank,7,-0.08762,0.49471,-0.01949,0.87950,63
eff_rank,8,-0.09300,0.46849,-0.02074,0.87184,63
eff_rank,9,-0.10222,0.42535,-0.04344,0.73531,63
eff_rank,10,-0.09854,0.44228,-0.03768,0.76936,63
eff_rank,11,-0.07957,0.53533,-0.02107,0.86978,63
eff_rank,12,-0.07000,0.58566,-0.00677,0.95801,63
frame_cos_entropy,0,-0.03447,0.78853,-0.04968,0.69899,63
frame_cos_entropy,1,-0.04441,0.72964,-0.01291,0.91999,63
frame_cos_entropy,2,-0.03684,0.77437,-0.05232,0.68381,63
frame_cos_entropy,3,0.02874,0.82308,-0.01666,0.89690,63
frame_cos_entropy,4,0.04518,0.72514,0.01123,0.93037,63
frame_cos_entropy,5,0.05614,0.66212,-0.01435,0.91110,63
frame_cos_entropy,6,-0.04123,0.74836,-0.17315,0.17476,63
frame_cos_entropy,7,0.06150,0.63205,-0.03495,0.78569,63
frame_cos_entropy,8,0.01125,0.93025,-0.09193,0.47365,63
frame_cos_entropy,9,-0.00111,0.99313,-0.13700,0.28431,63
frame_cos_entropy,10,-0.07659,0.55076,-0.18342,0.15017,63
frame_cos_entropy,11,-0.04156,0.74637,-0.14070,0.27139,63
frame_cos_entropy,12,0.06409,0.61776,-0.04397,0.73221,63
knn_density,0,0.06700,0.60184,-0.04589,0.72099,63
knn_density,1,0.04141,0.74726,-0.07748,0.54614,63
knn_density,2,0.03602,0.77925,-0.09639,0.45235,63
knn_density,3,0.05771,0.65323,-0.08021,0.53202,63
knn_density,4,0.06367,0.62009,-0.05568,0.66468,63
knn_density,5,0.10285,0.42248,-0.00571,0.96456,63
knn_density,6,0.11723,0.36018,0.01973,0.87802,63
knn_density,7,0.11942,0.35120,0.03499,0.78541,63
knn_density,8,0.11430,0.37239,0.03835,0.76537,63
knn_density,9,0.10778,0.40044,0.04234,0.74180,63
knn_density,10,0.09024,0.48182,0.00850,0.94731,63
knn_density,11,0.07160,0.57710,0.00912,0.94344,63
knn_density,12,0.07294,0.56999,0.02271,0.85980,63
rog,0,-0.09575,0.45536,-0.04123,0.74831,63
rog,1,-0.19395,0.12773,-0.09644,0.45212,63
rog,2,-0.10040,0.43368,0.00072,0.99553,63
rog,3,-0.14995,0.24079,-0.06015,0.63959,63
rog,4,-0.17859,0.16140,-0.08789,0.49335,63
rog,5,-0.25943,0.04005,-0.17555,0.16877,63
rog,6,-0.26252,0.03765,-0.16715,0.19042,63
rog,7,-0.22206,0.08026,-0.13926,0.27638,63
rog,8,-0.23744,0.06096,-0.16979,0.18341,63
rog,9,-0.21836,0.08556,-0.16105,0.20733,63
rog,10,-0.28008,0.02620,-0.25110,0.04713,63
rog,11,-0.24328,0.05469,-0.17430,0.17186,63
rog,12,-0.32852,0.00857,-0.29258,0.01997,63
vel_mean,0,-0.11571,0.36651,-0.03211,0.80270,63
vel_mean,1,-0.13423,0.29425,-0.04315,0.73700,63
vel_mean,2,-0.09943,0.43816,-0.02496,0.84603,63
vel_mean,3,-0.14381,0.26083,-0.06672,0.60336,63
vel_mean,4,-0.16670,0.19163,-0.09946,0.43800,63
vel_mean,5,-0.22013,0.08299,-0.16523,0.19563,63
vel_mean,6,-0.25455,0.04409,-0.21976,0.08353,63
vel_mean,7,-0.24124,0.05682,-0.19451,0.12662,63
vel_mean,8,-0.24014,0.05799,-0.19868,0.11851,63
vel_mean,9,-0.26926,0.03284,-0.22902,0.07100,63
vel_mean,10,-0.28388,0.02415,-0.24270,0.05529,63
vel_mean,11,-0.22053,0.08243,-0.13326,0.29780,63
vel_mean,12,-0.19746,0.12085,-0.12207,0.34055,63
vel_cv,0,0.20712,0.10336,0.10527,0.41158,63
vel_cv,1,0.20780,0.10221,0.09476,0.46008,63
vel_cv,2,0.19770,0.12038,0.07397,0.56450,63
vel_cv,3,0.21239,0.09470,0.12116,0.34420,63
vel_cv,4,0.20113,0.11396,0.09029,0.48157,63
vel_cv,5,0.20968,0.09907,0.13292,0.29903,63
vel_cv,6,0.23854,0.05974,0.15961,0.21147,63
vel_cv,7,0.21742,0.08695,0.14891,0.24412,63
vel_cv,8,0.20642,0.10456,0.11732,0.35982,63
vel_cv,9,0.22378,0.07789,0.13734,0.28312,63
vel_cv,10,0.21500,0.09062,0.10950,0.39296,63
vel_cv,11,0.22059,0.08233,0.13585,0.28842,63
vel_cv,12,0.25513,0.04359,0.19931,0.11734,63
vel_autocorr_lag1,0,0.15445,0.22681,0.10090,0.43136,63
vel_autocorr_lag1,1,0.13208,0.30211,0.08929,0.48650,63
vel_autocorr_lag1,2,0.18993,0.13597,0.16575,0.19419,63
vel_autocorr_lag1,3,0.20269,0.11112,0.17972,0.15870,63
vel_autocorr_lag1,4,0.22023,0.08285,0.19854,0.11879,63
vel_autocorr_lag1,5,0.16620,0.19299,0.15342,0.22996,63
vel_autocorr_lag1,6,0.12163,0.34231,0.06404,0.61806,63
vel_autocorr_lag1,7,0.10629,0.40706,0.02491,0.84632,63
vel_autocorr_lag1,8,0.10944,0.39318,0.00557,0.96545,63
vel_autocorr_lag1,9,0.11405,0.37345,0.02213,0.86332,63
vel_autocorr_lag1,10,0.14808,0.24678,0.09202,0.47319,63
vel_autocorr_lag1,11,0.18728,0.14162,0.12994,0.31008,63
vel_autocorr_lag1,12,0.21460,0.09122,0.16431,0.19814,63
direction_persistence,0,-0.13063,0.30753,-0.06082,0.63585,63
direction_persistence,1,-0.14002,0.27371,-0.02011,0.87567,63
direction_persistence,2,-0.15235,0.23325,-0.04133,0.74774,63
direction_persistence,3,-0.13293,0.29898,-0.00350,0.97825,63
direction_persistence,4,-0.12128,0.34369,0.03187,0.80414,63
direction_persistence,5,-0.07431,0.56273,0.10743,0.40200,63
direction_persistence,6,-0.05304,0.67969,0.11463,0.37101,63
direction_persistence,7,-0.05874,0.64744,0.08612,0.50216,63
direction_persistence,8,-0.06899,0.59107,0.05938,0.64388,63
direction_persistence,9,-0.06744,0.59946,0.06384,0.61911,63
direction_persistence,10,-0.05522,0.66732,0.09015,0.48228,63
direction_persistence,11,-0.07821,0.54233,0.06490,0.61332,63
direction_persistence,12,-0.14479,0.25756,0.00235,0.98540,63
vel_entropy,0,0.07164,0.57688,0.15659,0.22037,63
vel_entropy,1,-0.02706,0.83324,0.02549,0.84281,63
vel_entropy,2,0.14465,0.25802,0.17252,0.17634,63
vel_entropy,3,0.08859,0.48993,0.10277,0.42282,63
vel_entropy,4,0.08216,0.52210,0.08194,0.52319,63
vel_entropy,5,0.03215,0.80250,0.02189,0.86479,63
vel_entropy,6,-0.01115,0.93089,-0.00326,0.97974,63
vel_entropy,7,0.03011,0.81477,0.00178,0.98898,63
vel_entropy,8,0.11577,0.36624,0.15534,0.22411,63
vel_entropy,9,0.27616,0.02846,0.32959,0.00834,63
vel_entropy,10,0.21949,0.08391,0.16811,0.18784,63
vel_entropy,11,0.13549,0.28970,0.12342,0.33522,63
vel_entropy,12,0.03456,0.78802,0.17392,0.17283,63
adj_neighbor_stability,0,0.02943,0.81892,0.05400,0.67422,63
adj_neighbor_stability,1,-0.04171,0.74551,0.00667,0.95861,63
adj_neighbor_stability,2,-0.03860,0.76392,-0.01978,0.87773,63
adj_neighbor_stability,3,-0.00306,0.98103,0.02208,0.86361,63
adj_neighbor_stability,4,0.02694,0.83398,0.04767,0.71065,63
adj_neighbor_stability,5,0.07923,0.53707,0.08324,0.51661,63
adj_neighbor_stability,6,0.16491,0.19651,0.16983,0.18328,63
adj_neighbor_stability,7,0.18335,0.15032,0.20502,0.10699,63
adj_neighbor_stability,8,0.14343,0.26210,0.17804,0.16270,63
adj_neighbor_stability,9,0.14706,0.25008,0.19019,0.13544,63
adj_neighbor_stability,10,0.15942,0.21202,0.18174,0.15400,63
adj_neighbor_stability,11,0.19234,0.13098,0.17622,0.16712,63
adj_neighbor_stability,12,0.15094,0.23768,0.12102,0.34477,63
