layer,r2_static,r2_traj,r2_combined,best_spearman
0,-0.14152,-0.06844,-0.19012,0.15659
1,-0.02260,-0.15147,-0.04922,0.09644
2,-0.16047,-0.14396,-0.10981,0.17252
3,-0.11242,-0.20589,-0.19524,0.17972
4,-0.05321,-0.17936,-0.13678,0.19854
5,0.02444,-0.17156,-0.07169,0.17555
6,0.04706,-0.14827,-0.03879,0.21976
7,-0.09861,-0.18154,-0.09230,0.20502
8,-0.09612,-0.17714,-0.16559,0.19868
9,-0.12390,-0.10648,-0.13760,0.32959
10,-0.07594,-0.28626,-0.11113,0.25110
11,-0.00171,-0.64538,-0.15063,0.17622
12,0.02664,-0.27604,-0.06380,0.29258
