Model,Metric,Axis,n,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,r2,loo_r2,r2_ci_lo,r2_ci_hi
GOAT,EER,C,63,0.02648748274104129,0.8367409325516257,-0.17819996468625485,0.26154918591869675,0.09380250598874333,0.46463280330037104,-0.19673996744085837,0.36204450574795993,,,,
GOAT,EER,T,63,0.008520055781429734,0.9471606243599255,-0.2524698996026352,0.2886499500360469,0.038356295949337725,0.7653543664584141,-0.2286849124033838,0.30806471851185846,,,,
GOAT,EER,C+T,63,,,,,,,,,0.0007321161596135495,-0.09756901124695849,0.0006308607961344164,0.12094612395771583
GOAT,AUC,C,63,-0.046202580457016695,0.7191686104751508,-0.2612909173043994,0.16577837470485152,-0.1007584485407066,0.4320238566294361,-0.36501843429204434,0.18329067063797053,,,,
GOAT,AUC,T,63,-0.02854910863537198,0.8242289748155831,-0.2996614480688917,0.22254880416016395,-0.046658986175115214,0.7165107843312745,-0.3129002444191949,0.21452646632577427,,,,
GOAT,AUC,C+T,63,,,,,,,,,0.00268298209405049,-0.08988821219768472,0.0009166987442187525,0.1233189882699364
GOAT,Accuracy,C,63,-0.18211656867813678,0.15313745795792022,-0.34757520560826216,-0.006785797511965975,-0.21191210533526433,0.09545214016579748,-0.4337120957458289,0.02849961371983339,,,,
GOAT,Accuracy,T,63,0.12472300454913003,0.3300843152121514,-0.1477990538356239,0.36119752584592846,0.060652609602697125,0.6367769089637858,-0.2231684198958177,0.3279493440001215,,,,
GOAT,Accuracy,C+T,63,,,,,,,,,0.05463614416632012,-0.03775725151666065,0.008537691156701211,0.2032229156682758
robust_GOAT,EER,C,63,0.17738219051710688,0.1642889256936588,-0.07136786893752826,0.3654868733013085,0.12068551691694,0.34610090777009495,-0.12996313001727253,0.37329232703290904,,,,
robust_GOAT,EER,T,63,0.13801077733942826,0.28073820866051485,-0.08057976697571985,0.3359139556511888,0.1591378236195927,0.2128451000819471,-0.08798915631767824,0.38607952382508204,,,,
robust_GOAT,EER,C+T,63,,,,,,,,,0.045504554723783674,-0.032107543930570026,0.0044893578251003485,0.18094493790494764
robust_GOAT,AUC,C,63,-0.19541518125622445,0.12482335343415978,-0.39480054466308023,0.07712713747071832,-0.14588133640552997,0.25394234973045693,-0.39379216570195497,0.10498267330972613,,,,
robust_GOAT,AUC,T,63,-0.09076423686110033,0.4792839605758389,-0.3125846831824553,0.12562972523024774,-0.11117511520737326,0.3856965675145473,-0.35933463811372085,0.14314374985515604,,,,
robust_GOAT,AUC,C+T,63,,,,,,,,,0.042928082505033105,-0.04448077026427977,0.003217783228135099,0.18612355007623926
robust_GOAT,Accuracy,C,63,-0.11401126226265931,0.3736157412250557,-0.34758369224788643,0.21570040373107488,0.03470622119815668,0.7871317012318371,-0.2163681369413596,0.2716835495565738,,,,
robust_GOAT,Accuracy,T,63,0.1957710996940296,0.12412444281504957,-0.05292713824637072,0.40728558252507296,0.13570468509984637,0.28893159111911854,-0.12358393771323813,0.3738043342124916,,,,
robust_GOAT,Accuracy,C+T,63,,,,,,,,,0.05718192339648798,-0.042234041141429035,0.0052797006531799615,0.2216420707222097
MLAAD_GOAT,EER,C,63,0.4865237582007554,5.2786327785885124e-05,0.22989562424225796,0.6610016628724651,0.3966829082101772,0.00128780927331684,0.1721960013285168,0.5875128327306868,,,,
MLAAD_GOAT,EER,T,63,0.2713109665046083,0.03148711854473253,0.04938453520432476,0.4760036555291078,0.31581979223268053,0.011687579639925902,0.07607232772232862,0.5170128120574216,,,,
MLAAD_GOAT,EER,C+T,63,,,,,,,,,0.28382174961468043,0.22129853755589524,0.09998169437009113,0.4892349654151862
MLAAD_GOAT,AUC,C,63,-0.47952109222276273,6.998428395654845e-05,-0.6857957171231422,-0.15595141772930068,-0.384744623655914,0.0018490811326654132,-0.5721292341368132,-0.1533835686385976,,,,
MLAAD_GOAT,AUC,T,63,-0.2937896539540402,0.019438281008758763,-0.5034609435360762,-0.06877251996558528,-0.3099078341013825,0.013445562469674516,-0.5220790829250261,-0.062190083778200775,,,,
MLAAD_GOAT,AUC,C+T,63,,,,,,,,,0.28777930081078806,0.1959528904159824,0.08316617940775249,0.5260078272596086
