pair,baseline,robust,delta_metric,Axis,n,pearson_r,pearson_perm_p,spearman_rho,spearman_perm_p
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,dEER,C,63,0.17197268117473305,0.1718828117188281,0.07248463901689708,0.5764423557644236
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,dEER,T,63,0.013612174210308792,0.9148085191480851,0.03835445468509985,0.7762223777622238
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,dAUC,C,63,0.14498654259947674,0.25037496250374963,-0.03355414746543779,0.8002199780021998
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,dAUC,T,63,0.034708140708721524,0.7876212378762124,0.03331413210445469,0.791920807919208
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,dAccuracy,C,63,-0.11495183782459009,0.34256574342565743,0.038546466973886334,0.7614238576142386
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,dAccuracy,T,63,-0.12301180756444574,0.3441655834416558,-0.05851574500768049,0.6485351464853515
cross-dataset,GOAT,robust_GOAT,dEER,C,63,-0.15647465247819384,0.22277772222777723,0.0375384024577573,0.7675232476752325
cross-dataset,GOAT,robust_GOAT,dEER,T,63,-0.1367308214579296,0.276972302769723,-0.202428955453149,0.11028897110288971
cross-dataset,GOAT,robust_GOAT,dAUC,C,63,-0.17076086021446168,0.1820817918208179,0.0179531490015361,0.89001099890011
cross-dataset,GOAT,robust_GOAT,dAUC,T,63,-0.06922232670026716,0.5869413058694131,-0.1655625960061444,0.193980601939806
cross-dataset,GOAT,robust_GOAT,dAccuracy,C,63,0.06381787238445806,0.5998400159984002,0.17530721966205837,0.1728827117288271
cross-dataset,GOAT,robust_GOAT,dAccuracy,T,63,0.051884624774722526,0.6868313168683132,-0.007296466973886329,0.954904509549045
