pair,baseline,robust,Metric,Axis,rho_baseline,rho_robust,abs_diff(base-rob),diff_ci_lo,diff_ci_hi,P(robust_weaker),steiger_Z,steiger_p
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,EER,C,0.3966829082101772,0.38701934661271686,0.009663561597460346,-0.12776346461172647,0.14453575766529211,0.558,0.8619650787427799,0.3887067348733322
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,EER,T,0.31581979223268053,0.2887523405948266,0.027067451637853956,-0.12244959351695721,0.16687220298510516,0.6406,-0.04253064735788726,0.966075680788234
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,AUC,C,-0.384744623655914,-0.3862327188940093,-0.0014880952380952883,-0.10917513100140523,0.10416667910764475,0.4796,-1.070141831233849,0.2845554724994652
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,AUC,T,-0.3099078341013825,-0.32085253456221197,-0.01094470046082946,-0.1391771062284239,0.1151097042065789,0.4348,-0.2933750198126892,0.7692355171470859
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,Accuracy,C,-0.17228302611367127,-0.10599078341013825,0.06629224270353302,-0.17025494019549106,0.29119520193622034,0.647,0.18703208472757638,0.8516354768232379
MLAAD (in-distribution),MLAAD_GOAT,MLAAD_robust_GOAT,Accuracy,T,-0.14237711213517665,-0.17876344086021506,-0.036386328725038414,-0.27627696720947054,0.21925152414656507,0.4192,0.5169139952943355,0.6052161974658852
cross-dataset,GOAT,robust_GOAT,EER,C,0.09380250598874333,0.12068551691694,-0.02688301092819667,-0.22906889469515532,0.21460561061402564,0.4624,-0.986807609312852,0.32373696368814975
cross-dataset,GOAT,robust_GOAT,EER,T,0.038356295949337725,0.1591378236195927,-0.12078152767025496,-0.2707183149608912,0.17999504744116834,0.3108,-0.8406440367307711,0.4005473807822153
cross-dataset,GOAT,robust_GOAT,AUC,C,-0.1007584485407066,-0.14588133640552997,-0.045122887864823366,-0.2281688776271541,0.18149036277557448,0.4078,1.1304704941584527,0.25827802453662585
cross-dataset,GOAT,robust_GOAT,AUC,T,-0.046658986175115214,-0.11117511520737326,-0.06451612903225805,-0.20942998379552535,0.1595603653152395,0.4064,0.46032102188313234,0.6452858142429942
cross-dataset,GOAT,robust_GOAT,Accuracy,C,-0.21191210533526433,0.03470622119815668,0.17720588413710764,-0.1681799769074617,0.3721748229336369,0.7996,-0.31720764345304925,0.7510860505520833
cross-dataset,GOAT,robust_GOAT,Accuracy,T,0.060652609602697125,0.13570468509984637,-0.07505207549714925,-0.28847826955269945,0.21769524488656486,0.406,-0.33184366220982536,0.7400073129402147
