Model,System,EER,AUC,Accuracy,C,T,n_spoof
GOAT,Cartesia.ai (Sonic-3),0.5011013215845386,0.4597517020424509,0.8596300326441785,-11.13107,2.77879,11
GOAT,Chatterbox,0.6428571428572373,0.4121302706104468,0.940347071583514,-11.13056,2.82544,14
GOAT,DeepGram,0.6552863436121986,0.29588839941262846,0.05779716466739367,-11.17381,2.62221,9
GOAT,Edge-TTS,0.3986784140954596,0.6842878120411161,0.9585605234460196,-10.92675,2.75393,9
GOAT,FireRedTTS-2.0,0.5,0.4746007709251101,0.23160173160173161,-9.67617,2.74047,16
GOAT,FishTTS,0.5022026431715787,0.5191629955947136,0.27410617551462624,-11.17461,2.7008,15
GOAT,Higgs-Audio-V2,0.6956521739130435,0.29146715188661176,0.027926960257787327,-11.109,2.80124,23
GOAT,Index-TTS-1.5,0.7610132158590335,0.22790014684287813,0.886240520043337,-11.09735,2.74406,15
GOAT,Index-TTS-2.0,0.7058823529411766,0.26379891163513863,0.07351351351351351,-11.02141,2.74238,17
GOAT,Indri-TTS-0.1,0.5,0.6006922592825676,0.7852494577006508,-11.05397,2.73531,14
GOAT,Kani-TTS-370M,0.6233480176200262,0.34251101321585903,0.10119695321001088,-11.07769,2.78509,11
GOAT,Kitten-TTS-Nano-0.1,0.3571428571428565,0.703351164254248,0.720173535791757,-11.27775,2.68213,14
GOAT,Kitten-TTS-Nano-0.2,0.5625,0.3800247797356828,0.11363636363636363,-11.13214,2.69919,16
GOAT,Kyutai-TTS,0.5789473684210527,0.39931602133086014,0.10679611650485436,-11.10458,2.69058,19
GOAT,Llasa-1B-Multilingual,0.6874999999999855,0.22281112334801764,0.027056277056277056,-11.06328,2.67872,16
GOAT,Llasa-8B,0.5555555555555116,0.37402104747919723,0.978401727861771,-11.13795,2.7481,18
GOAT,Mars5,0.3876651982386816,0.6375275330396475,0.9523809523809523,-11.32011,2.84054,16
GOAT,Marvis-TTS,0.40000000000012714,0.5596916299559471,0.5826944140197152,-11.07228,2.7861,5
GOAT,MatchaTTS,0.48788546255456566,0.43722466960352424,0.5130718954248366,-11.11983,2.76045,10
GOAT,Maya1 TTS,0.5859030836999503,0.40139932625032393,0.10378378378378378,-10.7007,2.72062,17
GOAT,MegaTTS3,0.36784140969165846,0.7271082441787288,0.5737527114967462,-10.87811,2.81748,14
GOAT,MeloTTS,0.5330396475759488,0.49457810911555405,0.15092290988056462,-11.02763,2.75371,13
GOAT,Metavoice-1B,0.3248898678414005,0.7441000629326621,0.613882863340564,-11.26542,2.78059,14
GOAT,Microsoft VibeVoice 1.5B,0.7444933920697266,0.2976956963741104,0.06406080347448426,-11.06696,2.72165,13
GOAT,Microsoft VibeVoice Large,0.7058823529411764,0.2591992744234257,0.9556756756756757,-11.20791,2.80826,17
GOAT,MiniCPM-o-2.6,0.48127753303808385,0.5530837004405286,0.33512931034482757,-10.42072,2.73015,20
GOAT,Nari Dia-1.6B,0.5209251101309552,0.5581698037645174,0.3003264417845484,-11.2362,2.78417,11
GOAT,Nari Dia2,0.36363636363636365,0.6782138566279536,0.7584330794341676,-11.16706,2.70401,11
