Model,Metric,R2_C,R2_T,R2_C+T,LOO_R2_C+T,R2_ci_lo,R2_ci_hi,unique_C,unique_T,common_CT,shapley_C,shapley_T
GOAT,EER,0.0007015867419570831,7.259135051873589e-05,0.0007321161596135495,-0.09756901124695849,0.0006308607961344164,0.12094612395771583,0.0006595248090948136,3.052941765646633e-05,4.206193286226956e-05,0.0006805557755259484,5.156038408760111e-05
GOAT,AUC,0.0021346784408868835,0.000815051603874295,0.00268298209405049,-0.08988821219768472,0.0009166987442187525,0.1233189882699364,0.001867930490176195,0.0005483036531636065,0.00026674795071068846,0.0020013044655315393,0.0006816776285189508
GOAT,Accuracy,0.03316644458709839,0.015555827863762417,0.05463614416632012,-0.03775725151666065,0.008537691156701211,0.2032229156682758,0.039080316302557705,0.021469699579221735,-0.005913871715459318,0.036123380444828046,0.018512763721492076
robust_GOAT,EER,0.03146444151264738,0.019046974661833138,0.045504554723783674,-0.032107543930570026,0.0044893578251003485,0.18094493790494764,0.026457580061950536,0.014040113211136296,0.005006861450696842,0.028961010787298958,0.016543543936484717
robust_GOAT,AUC,0.0381870930654028,0.008238146692977621,0.042928082505033105,-0.04448077026427977,0.003217783228135099,0.18612355007623926,0.034689935812055483,0.004740989439630305,0.003497157253347316,0.03643851443872914,0.0064895680663039634
robust_GOAT,Accuracy,0.012998567922724802,0.03832632347540954,0.05718192339648798,-0.042234041141429035,0.0052797006531799615,0.2216420707222097,0.018855599921078436,0.044183355473763175,-0.0058570319983536345,0.01592708392190162,0.04125483947458636
MLAAD_GOAT,EER,0.2367053672937871,0.07360964054566455,0.28382174961468043,0.22129853755589524,0.09998169437009113,0.4892349654151862,0.21021210906901588,0.047116382320893324,0.02649325822477122,0.2234587381814015,0.060363011433278935
MLAAD_GOAT,AUC,0.22994047788651162,0.08631236077043503,0.28777930081078806,0.1959528904159824,0.08316617940775249,0.5260078272596086,0.20146694004035304,0.057838822924276445,0.02847353784615858,0.21570370896343233,0.07207559184735574
MLAAD_GOAT,Accuracy,0.08250784604541295,0.0038908478449728445,0.08339006688504569,-0.013690296116910972,0.006888373931255823,0.31180789478409765,0.07949921904007284,0.0008822208396327413,0.003008627005340103,0.0810035325427429,0.002386534342302793
MLAAD_robust_GOAT,EER,0.17419236658621895,0.07565641892534225,0.2265420144192335,0.15839226220214486,0.07643403558707906,0.4189329912707758,0.15088559549389124,0.052349647833014545,0.023306771092327705,0.1625389810400551,0.0640030333791784
MLAAD_robust_GOAT,AUC,0.16499030515210422,0.07389035149801104,0.2164452608451577,0.1490158084790466,0.06652519358214308,0.4201541485627977,0.14255490934714665,0.05145495569305347,0.02243539580495757,0.15377260724962544,0.06267265359553226
MLAAD_robust_GOAT,Accuracy,0.10570678665463173,0.029921282527648363,0.12438568525115734,-0.06285262910912093,0.007935470130039392,0.4154249943528215,0.09446440272350898,0.018678898596525606,0.011242383931122757,0.10008559468907036,0.024300090562086984
