system,residual,rog_L12,vel_entropy_L9
Cartesia.ai (Sonic-3),-0.04897,11.13107,2.77879
Chatterbox,0.04081,11.13056,2.82544
DeepGram,-0.05850,11.17381,2.62221
Edge-TTS,-0.10595,10.92675,2.75393
FireRedTTS-2.0,0.19481,9.67617,2.74047
FishTTS,-0.02712,11.17461,2.70080
Higgs-Audio-V2,0.11265,11.10900,2.80124
Index-TTS-1.5,0.20955,11.09735,2.74406
Index-TTS-2.0,0.14659,11.02141,2.74238
Indri-TTS-0.1,-0.15422,11.05397,2.73531
Kani-TTS-370M,0.03656,11.07769,2.78509
Kitten-TTS-Nano-0.1,-0.23272,11.27775,2.68213
Kitten-TTS-Nano-0.2,-0.24405,11.13214,2.69919
Kyutai-TTS,-0.08308,11.10458,2.69058
Llasa-1B-Multilingual,-0.09299,11.06328,2.67872
Llasa-8B,0.06241,11.13795,2.74810
Mars5,0.01847,11.32011,2.84054
Marvis-TTS,0.04473,11.07228,2.78610
MatchaTTS,-0.08723,11.11983,2.76045
Maya1 TTS,-0.03891,10.70070,2.72062
MegaTTS3,-0.07452,10.87811,2.81748
MeloTTS,-0.02661,11.02763,2.75371
Metavoice-1B,0.12290,11.26542,2.78059
Microsoft VibeVoice 1.5B,0.16633,11.06696,2.72165
Microsoft VibeVoice Large,0.02669,11.20791,2.80826
MiniCPM-o-2.6,0.02297,10.42072,2.73015
Nari Dia-1.6B,0.01380,11.23620,2.78417
Nari Dia2,-0.00667,11.16706,2.70401
NeuTTS-Air,0.03137,11.09782,2.80331
OpenVoiceV2,-0.02460,11.36205,2.64720
Openaudio-S1-Mini,0.06292,10.82325,2.85961
OuteTTS,0.15337,10.98285,2.79802
Qwen2.5-Omni,0.01338,11.10027,2.65093
RVC,0.02445,11.10697,2.72935
"Resemble.ai (April 12th, 2025)",-0.02386,10.97008,2.89231
Ringg Squirrel TTS v1.0,-0.05489,11.25993,2.75387
SoulX-Podcast,0.09949,10.93597,2.76337
Spark-TTS-0.5B,0.18309,10.85044,2.80380
Step-Audio-EditX,-0.04720,11.19811,2.72185
Supertonic,-0.04192,11.13805,2.78536
Veena,-0.12536,11.30142,2.76771
VoxCPM-0.5B,0.10724,10.66426,2.74095
VoxCPM-1.5,0.20769,11.05028,2.80275
Voxtream,0.03913,10.93791,2.77738
WhisperSpeech,-0.03507,11.26201,2.76802
ZipVoice,0.14816,10.86822,2.80332
e2-tts,0.10146,10.92617,2.76124
f5-tts,0.08052,10.75229,2.70689
facebook_mms-tts-eng,-0.08630,11.25166,2.69950
griffin_lim,0.06035,10.82422,2.85660
kokoro,-0.12382,11.13242,2.85862
microsoft_speecht5_tts,0.00225,11.04778,2.79557
minimax_speech-02-turbo,-0.03592,11.02915,2.74086
minimax_speech-2.6-hd,-0.06055,11.40033,2.69219
optispeech,-0.04746,11.08127,2.75023
orpheus-tts-0.1-finetune,-0.14075,11.16202,2.73997
parler_tts_large_v1,-0.06410,10.88228,2.72001
parler_tts_mini_v0.1,-0.08386,10.93578,2.70200
parler_tts_mini_v1,-0.02267,11.02714,2.73203
sesame_csm,-0.05440,10.80728,2.79118
suno_bark,-0.08789,10.55239,2.80122
suno_bark-small,-0.08531,10.97017,2.74983
vixTTS,-0.04064,11.27667,2.78681
