metric,layer,pearson_r,pearson_p,spearman_r,spearman_p
vel_mean,0,-0.11571,0.36651,-0.03211,0.80270
vel_mean,1,-0.13423,0.29425,-0.04315,0.73700
vel_mean,2,-0.09943,0.43816,-0.02496,0.84603
vel_mean,3,-0.14381,0.26083,-0.06672,0.60336
vel_mean,4,-0.16670,0.19163,-0.09946,0.43800
vel_mean,5,-0.22013,0.08299,-0.16523,0.19563
vel_mean,6,-0.25455,0.04409,-0.21976,0.08353
vel_mean,7,-0.24124,0.05682,-0.19451,0.12662
vel_mean,8,-0.24014,0.05799,-0.19868,0.11851
vel_mean,9,-0.26926,0.03284,-0.22902,0.07100
vel_mean,10,-0.28388,0.02415,-0.24270,0.05529
vel_mean,11,-0.22053,0.08243,-0.13326,0.29780
vel_mean,12,-0.19746,0.12085,-0.12207,0.34055
vel_cv,0,0.20712,0.10336,0.10527,0.41158
vel_cv,1,0.20780,0.10221,0.09476,0.46008
vel_cv,2,0.19770,0.12038,0.07397,0.56450
vel_cv,3,0.21239,0.09470,0.12116,0.34420
vel_cv,4,0.20113,0.11396,0.09029,0.48157
vel_cv,5,0.20968,0.09907,0.13292,0.29903
vel_cv,6,0.23854,0.05974,0.15961,0.21147
vel_cv,7,0.21742,0.08695,0.14891,0.24412
vel_cv,8,0.20642,0.10456,0.11732,0.35982
vel_cv,9,0.22378,0.07789,0.13734,0.28312
vel_cv,10,0.21500,0.09062,0.10950,0.39296
vel_cv,11,0.22059,0.08233,0.13585,0.28842
vel_cv,12,0.25513,0.04359,0.19931,0.11734
vel_autocorr_lag1,0,0.15445,0.22681,0.10090,0.43136
vel_autocorr_lag1,1,0.13208,0.30211,0.08929,0.48650
vel_autocorr_lag1,2,0.18993,0.13597,0.16575,0.19419
vel_autocorr_lag1,3,0.20269,0.11112,0.17972,0.15870
vel_autocorr_lag1,4,0.22023,0.08285,0.19854,0.11879
vel_autocorr_lag1,5,0.16620,0.19299,0.15342,0.22996
vel_autocorr_lag1,6,0.12163,0.34231,0.06404,0.61806
vel_autocorr_lag1,7,0.10629,0.40706,0.02491,0.84632
vel_autocorr_lag1,8,0.10944,0.39318,0.00557,0.96545
vel_autocorr_lag1,9,0.11405,0.37345,0.02213,0.86332
vel_autocorr_lag1,10,0.14808,0.24678,0.09202,0.47319
vel_autocorr_lag1,11,0.18728,0.14162,0.12994,0.31008
vel_autocorr_lag1,12,0.21460,0.09122,0.16431,0.19814
direction_persistence,0,-0.13063,0.30753,-0.06082,0.63585
direction_persistence,1,-0.14002,0.27371,-0.02011,0.87567
direction_persistence,2,-0.15235,0.23325,-0.04133,0.74774
direction_persistence,3,-0.13293,0.29898,-0.00350,0.97825
direction_persistence,4,-0.12128,0.34369,0.03187,0.80414
direction_persistence,5,-0.07431,0.56273,0.10743,0.40200
direction_persistence,6,-0.05304,0.67969,0.11463,0.37101
direction_persistence,7,-0.05874,0.64744,0.08612,0.50216
direction_persistence,8,-0.06899,0.59107,0.05938,0.64388
direction_persistence,9,-0.06744,0.59946,0.06384,0.61911
direction_persistence,10,-0.05522,0.66732,0.09015,0.48228
direction_persistence,11,-0.07821,0.54233,0.06490,0.61332
direction_persistence,12,-0.14479,0.25756,0.00235,0.98540
vel_entropy,0,0.07164,0.57688,0.15659,0.22037
vel_entropy,1,-0.02706,0.83324,0.02549,0.84281
vel_entropy,2,0.14465,0.25802,0.17252,0.17634
vel_entropy,3,0.08859,0.48993,0.10277,0.42282
vel_entropy,4,0.08216,0.52210,0.08194,0.52319
vel_entropy,5,0.03215,0.80250,0.02189,0.86479
vel_entropy,6,-0.01115,0.93089,-0.00326,0.97974
vel_entropy,7,0.03011,0.81477,0.00178,0.98898
vel_entropy,8,0.11577,0.36624,0.15534,0.22411
vel_entropy,9,0.27616,0.02846,0.32959,0.00834
vel_entropy,10,0.21949,0.08391,0.16811,0.18784
vel_entropy,11,0.13549,0.28970,0.12342,0.33522
vel_entropy,12,0.03456,0.78802,0.17392,0.17283
adj_neighbor_stability,0,0.02943,0.81892,0.05400,0.67422
adj_neighbor_stability,1,-0.04171,0.74551,0.00667,0.95861
adj_neighbor_stability,2,-0.03860,0.76392,-0.01978,0.87773
adj_neighbor_stability,3,-0.00306,0.98103,0.02208,0.86361
adj_neighbor_stability,4,0.02694,0.83398,0.04767,0.71065
adj_neighbor_stability,5,0.07923,0.53707,0.08324,0.51661
adj_neighbor_stability,6,0.16491,0.19651,0.16983,0.18328
adj_neighbor_stability,7,0.18335,0.15032,0.20502,0.10699
adj_neighbor_stability,8,0.14343,0.26210,0.17804,0.16270
adj_neighbor_stability,9,0.14706,0.25008,0.19019,0.13544
adj_neighbor_stability,10,0.15942,0.21202,0.18174,0.15400
adj_neighbor_stability,11,0.19234,0.13098,0.17622,0.16712
adj_neighbor_stability,12,0.15094,0.23768,0.12102,0.34477
